Year,Survey Country,Geographic Area Name,Geographic Area Code,NPFMC Sablefish Mgmt Area,Species Code,Common Name,Depth Stratum,Stratum Description,Geographic Area Size (km) ,Exploitable,Count Stations,Count Index Stations ,Mean Length (cm),Mean Weight (kg),CPUE,RPN,RPW
2014,United States,Chirikof slope,30,Central Gulf of Alaska,310,"""Spiny dogfish""",1,0-100m,,1,1,1,,,0,,
2014,United States,Chirikof slope,30,Central Gulf of Alaska,310,"""Spiny dogfish""",2a,101-150m,,1,1,1,,,0,,
2014,United States,Chirikof slope,30,Central Gulf of Alaska,310,"""Spiny dogfish""",2b,151-200m,1462,1,4,4,62,1.92401346483162,0.014258147512865,20.8454116638079,40.1068527211244
2014,United States,Chirikof slope,30,Central Gulf of Alaska,310,"""Spiny dogfish""",3,201-300m,1533,1,7,7,78.946279105159,4.10884380544497,0.004707505645281,7.21660615421648,29.9906979738679
2014,United States,Chirikof slope,30,Central Gulf of Alaska,310,"""Spiny dogfish""",4,301-400m,817,1,6,6,,,0,0,0
2014,United States,Chirikof slope,30,Central Gulf of Alaska,310,"""Spiny dogfish""",5,401-600m,1766,1,6,6,,,0,0,0
2014,United States,Chirikof slope,30,Central Gulf of Alaska,310,"""Spiny dogfish""",6,601-800m,1955,1,4,4,,,0,0,0
2014,United States,Chirikof slope,30,Central Gulf of Alaska,310,"""Spiny dogfish""",7,801-1000m,2012,1,3,3,,,0,0,0
2014,United States,Kodiak slope,35,Central Gulf of Alaska,310,"""Spiny dogfish""",5,401-600m,2255,1,9,9,,,0,0,0
2014,United States,Kodiak slope,35,Central Gulf of Alaska,310,"""Spiny dogfish""",6,601-800m,1923,1,9,9,,,0,0,0
2014,United States,NE Aleutians slope,15,Aleutians,310,"""Spiny dogfish""",2b,151-200m,1596,1,5,5,,,0,0,0
2014,United States,NE Aleutians slope,15,Aleutians,310,"""Spiny dogfish""",3,201-300m,2141,1,5,5,,,0,0,0
2014,United States,NE Aleutians slope,15,Aleutians,310,"""Spiny dogfish""",4,301-400m,2085,1,5,5,,,0,0,0
2014,United States,SE Aleutians slope,18,Aleutians,310,"""Spiny dogfish""",1,0-100m,,1,1,1,,,0,,
2014,United States,SE Aleutians slope,18,Aleutians,310,"""Spiny dogfish""",2a,101-150m,,1,3,3,,,0,,
2014,United States,SE Aleutians slope,18,Aleutians,310,"""Spiny dogfish""",3,201-300m,2530,1,8,8,67,2.45455677791096,0.002604166666667,6.58854166666667,16.1719496044655
2014,United States,SE Aleutians slope,18,Aleutians,310,"""Spiny dogfish""",4,301-400m,2096,1,7,7,,,0,0,0
2014,United States,SE Aleutians slope,18,Aleutians,310,"""Spiny dogfish""",5,401-600m,2396,1,7,7,,,0,0,0
2014,United States,SE Aleutians slope,18,Aleutians,310,"""Spiny dogfish""",6,601-800m,1978,1,4,4,,,0,0,0
2014,United States,Shelikof Trough,31,Central Gulf of Alaska,310,"""Spiny dogfish""",2b,151-200m,4066,0,2,1,,,0.025,101.65,0
2014,United States,Shelikof Trough,31,Central Gulf of Alaska,310,"""Spiny dogfish""",3,201-300m,13076,0,8,8,76.001395538163,3.64651430823473,0.055658814128431,727.794653543362,2738.27442845208
2014,United States,Shumagin Slope,25,Western Gulf of Alaska,310,"""Spiny dogfish""",4,301-400m,1264,1,9,9,,,0,0,0
2014,United States,Shumagin Slope,25,Western Gulf of Alaska,310,"""Spiny dogfish""",5,401-600m,2269,1,8,8,,,0,0,0
2014,United States,Shumagin Slope,25,Western Gulf of Alaska,310,"""Spiny dogfish""",6,601-800m,1629,1,5,5,,,0,0,0
2013,United States,Chirikof slope,30,Central Gulf of Alaska,310,"""Spiny dogfish""",3,201-300m,1533,1,7,6,67.1900626500283,2.4764869659242,0.029530953373248,45.2709515211888,79.5643986179939
2013,United States,Kodiak slope,35,Central Gulf of Alaska,310,"""Spiny dogfish""",4,301-400m,1480,1,9,9,,,0,0,0
2013,United States,Kodiak slope,35,Central Gulf of Alaska,310,"""Spiny dogfish""",5,401-600m,2255,1,9,9,,,0,0,0
2013,United States,Kodiak slope,35,Central Gulf of Alaska,310,"""Spiny dogfish""",6,601-800m,1923,1,9,9,,,0,0,0
2013,United States,Shelikof Trough,31,Central Gulf of Alaska,310,"""Spiny dogfish""",3,201-300m,13076,0,8,8,72,3.07696276514422,0.001666666666667,21.7933333333333,67.057275195043
2013,United States,Shumagin Slope,25,Western Gulf of Alaska,310,"""Spiny dogfish""",6,601-800m,1629,1,6,6,,,0,0,0
2013,United States,Yakutat Valley,42,West Yakutat,310,"""Spiny dogfish""",4,301-400m,768,0,1,1,,,0.01219512195122,9.36585365853659,0
2012,United States,NE Aleutians slope,15,Aleutians,310,"""Spiny dogfish""",2a,101-150m,,1,2,2,,,0,,
2012,United States,NE Aleutians slope,15,Aleutians,310,"""Spiny dogfish""",3,201-300m,2141,1,4,4,,,0,0,0
2011,United States,Shumagin Slope,25,Western Gulf of Alaska,310,"""Spiny dogfish""",7,801-1000m,1248,1,1,1,,,0,0,0
2010,United States,NE Aleutians slope,15,Aleutians,310,"""Spiny dogfish""",4,301-400m,2085,1,5,5,,,0,0,0
2009,United States,Chirikof slope,30,Central Gulf of Alaska,310,"""Spiny dogfish""",2a,101-150m,,1,2,2,,,0.549607676309321,,
2009,United States,Shumagin Slope,25,Western Gulf of Alaska,310,"""Spiny dogfish""",2b,151-200m,2487,1,9,3,,,0.163019705957792,405.43000871703,0
2008,United States,NE Aleutians slope,15,Aleutians,310,"""Spiny dogfish""",2a,101-150m,,1,3,3,,,0,,
2007,United States,Chirikof slope,30,Central Gulf of Alaska,310,"""Spiny dogfish""",2a,101-150m,,1,2,2,,,0.135714285714286,,
2007,United States,Shumagin Slope,25,Western Gulf of Alaska,310,"""Spiny dogfish""",6,601-800m,1629,1,3,3,,,0,0,0
2005,United States,Shumagin Slope,25,Western Gulf of Alaska,310,"""Spiny dogfish""",4,301-400m,1264,1,6,6,,,0,0,0
2004,United States,NE Aleutians slope,15,Aleutians,310,"""Spiny dogfish""",4,301-400m,2085,1,5,5,,,0,0,0
2004,United States,NE Aleutians slope,15,Aleutians,310,"""Spiny dogfish""",5,401-600m,3800,1,6,6,,,0,0,0
2002,United States,NE Aleutians slope,15,Aleutians,310,"""Spiny dogfish""",2b,151-200m,1596,1,5,5,,,0,0,0
1996,United States,NE Aleutians slope,15,Aleutians,310,"""Spiny dogfish""",6,601-800m,3250,1,4,4,,,0,0,0
1994,Japan,NW Aleutians slope,16,Aleutians,310,"""Spiny dogfish""",5,401-600m,3100,1,3,3,,,0,0,0
1994,Japan,SW Aleutians slope,17,Aleutians,310,"""Spiny dogfish""",5,401-600m,3480,1,6,6,,,0,0,0
1991,Japan,SE Aleutians slope,18,Aleutians,310,"""Spiny dogfish""",3,201-300m,2530,1,9,8,,,0.0020964360587,5.30398322851153,0
1991,Japan,SW Aleutians slope,17,Aleutians,310,"""Spiny dogfish""",2b,151-200m,1368,1,5,5,,,0,0,0
1989,Japan,NW Aleutians slope,16,Aleutians,310,"""Spiny dogfish""",2b,151-200m,545,1,2,2,,,0,0,0
1988,Japan,NW Aleutians slope,16,Aleutians,310,"""Spiny dogfish""",5,401-600m,3100,1,4,4,,,0,0,0
1988,Japan,NW Aleutians slope,16,Aleutians,310,"""Spiny dogfish""",6,601-800m,2640,1,4,4,,,0,0,0
1987,Japan,NW Aleutians slope,16,Aleutians,310,"""Spiny dogfish""",3,201-300m,1130,1,3,3,,,0,0,0
1986,Japan,NW Aleutians slope,16,Aleutians,310,"""Spiny dogfish""",1,0-100m,,1,1,1,,,0,,
1982,Japan,NW Aleutians slope,16,Aleutians,310,"""Spiny dogfish""",2a,101-150m,,1,4,4,,,0,,
1981,Japan,NE Aleutians slope,15,Aleutians,310,"""Spiny dogfish""",5,401-600m,3800,1,4,4,,,0,0,0
1980,Japan,NE Aleutians slope,15,Aleutians,310,"""Spiny dogfish""",4,301-400m,2085,1,7,7,,,0,0,0
1979,Japan,NE Aleutians slope,15,Aleutians,310,"""Spiny dogfish""",2a,101-150m,,1,3,3,,,0,,
2014,United States,Amatuli Gully,36,Central Gulf of Alaska,310,"""Spiny dogfish""",2b,151-200m,5168,0,3,3,68.6439788298986,2.64868243166407,2.22161335207688,11481.2978035333,31270.1448366357
2014,United States,Amatuli Gully,36,Central Gulf of Alaska,310,"""Spiny dogfish""",3,201-300m,6346,0,9,8,65.9767359253044,2.33875858743075,2.41809555419925,15345.2343869485,41495.0184386417
2014,United States,Amatuli Gully,36,Central Gulf of Alaska,310,"""Spiny dogfish""",4,301-400m,0,0,1,1,,,0,0,0
