species,year,proj,n,kg,cpue_kg_nmi,cpue_kg_s.e,den_kg_sqnmi,ct,cpue_ct,cpue_ct_s.e,den_ct_sqnmi
690,1997,T04,16,0,0,0,0,0,0,0,0
690,1998,T04,16,0,0,0,0,0,0,0,0
690,1999,T04,16,0,0,0,0,0,0,0,0
690,2000,T04,16,0,0,0,0,0,0,0,0
690,2001,T04,16,0,0,0,0,0,0,0,0
690,2002,T04,14,0,0,0,0,0,0,0,0
690,2003,T04,16,0,0,0,0,0,0,0,0
690,2004,T04,16,0,0,0,0,0,0,0,0
690,2005,T04,15,0,0,0,0,0,0,0,0
690,2006,T04,16,0,0,0,0,0,0,0,0
690,2007,T04,16,0,0,0,0,0,0,0,0
690,2008,T04,16,0,0,0,0,0,0,0,0
690,2009,T04,15,0,0,0,0,0,0,0,0
690,2011,T04,37,0,0,0,0,0,0,0,0
690,2012,T04,37,0,0,0,0,0,0,0,0
690,2013,T04,37,0,0,0,0,0,0,0,0
690,2017,T04,38,0,0,0,0,0,0,0,0
690,2018,T04,39,0,0,0,0,0,0,0,0
690,2019,T04,38,0,0,0,0,0,0,0,0
691,1997,T04,16,0,0,0,0,0,0,0,0
691,1998,T04,16,5.399909167,0.337494323,0.330220105,51.26538765,1.19047619,0.074404762,0.072801071,11.30208333
691,1999,T04,16,0,0,0,0,0,0,0,0
691,2000,T04,16,0,0,0,0,0,0,0,0
691,2001,T04,16,0,0,0,0,0,0,0,0
691,2002,T04,14,2.72155422,0.19439673,0.192388979,29.52886329,1,0.071428571,0.070690849,10.85
691,2003,T04,16,0,0,0,0,0,0,0,0
691,2004,T04,16,0,0,0,0,0,0,0,0
691,2005,T04,15,2.02020202,0.134680135,0.13673362,20.45791246,1.01010101,0.067340067,0.06836681,10.22895623
691,2006,T04,16,2059.604315,128.7252697,48.25072112,19553.36846,779.3247474,48.70779671,20.31310017,7398.714321
691,2007,T04,16,376.697987,23.54362419,5.687116983,3576.276514,112.1212476,7.007577976,2.128530428,1064.451095
691,2008,T04,16,396.5469153,24.7841822,7.088905258,3764.717277,71.11719944,4.444824965,1.306638561,675.1689122
691,2009,T04,15,0,0,0,0,0,0,0,0
691,2011,T04,37,0,0,0,0,0,0,0,0
691,2012,T04,37,0,0,0,0,0,0,0,0
691,2013,T04,37,0,0,0,0,0,0,0,0
691,2017,T04,38,181.7331189,4.782450498,1.27718918,726.4542306,67.88774338,1.786519563,0.46902712,271.3723216
691,2018,T04,39,139.706548,3.582219179,1.13090379,544.1390933,49.86734128,1.278649776,0.380917168,194.226901
691,2019,T04,38,0,0,0,0,0,0,0,0
692,1997,T04,16,0,0,0,0,0,0,0,0
692,1998,T04,16,0,0,0,0,0,0,0,0
692,1999,T04,16,0,0,0,0,0,0,0,0
692,2000,T04,16,0,0,0,0,0,0,0,0
692,2001,T04,16,0,0,0,0,0,0,0,0
692,2002,T04,14,329.3080606,23.52200433,22.26205476,3572.992458,1,0.071428571,0.06760252,10.85
692,2003,T04,16,18.76933945,1.173083716,1.17892578,178.1914164,1.149425287,0.07183908,0.072196846,10.91235632
692,2004,T04,16,0,0,0,0,0,0,0,0
692,2005,T04,15,0,0,0,0,0,0,0,0
692,2006,T04,16,0,0,0,0,0,0,0,0
692,2007,T04,16,0,0,0,0,0,0,0,0
692,2008,T04,16,0,0,0,0,0,0,0,0
692,2009,T04,15,0,0,0,0,0,0,0,0
692,2011,T04,37,0,0,0,0,0,0,0,0
692,2012,T04,37,402.0677771,10.86669668,10.81059217,1650.651226,1.914608463,0.051746175,0.05147901,7.860243931
692,2013,T04,37,0,0,0,0,0,0,0,0
692,2017,T04,38,0,0,0,0,0,0,0,0
692,2018,T04,39,0,0,0,0,0,0,0,0
692,2019,T04,38,0,0,0,0,0,0,0,0
690,1997,T05,18,0,0,0,0,0,0,0,0
690,1998,T05,22,0,0,0,0,0,0,0,0
690,1999,T05,19,0,0,0,0,0,0,0,0
690,2000,T05,24,0,0,0,0,0,0,0,0
690,2001,T05,24,0,0,0,0,0,0,0,0
690,2002,T05,19,0,0,0,0,0,0,0,0
690,2003,T05,17,0,0,0,0,0,0,0,0
690,2004,T05,22,0,0,0,0,0,0,0,0
690,2005,T05,21,0,0,0,0,0,0,0,0
690,2006,T05,27,0,0,0,0,0,0,0,0
690,2007,T05,24,0,0,0,0,0,0,0,0
690,2010,T05,23,0,0,0,0,0,0,0,0
690,2012,T05,23,0,0,0,0,0,0,0,0
691,1997,T05,18,0,0,0,0,0,0,0,0
691,1998,T05,22,342.7963413,15.58165188,2.329213661,2366.85292,105.3031393,4.78650633,0.80602347,727.0703115
691,1999,T05,19,96.77114721,5.093218274,2.009491755,773.6598558,21.93062614,1.154243481,0.457597906,175.3295848
691,2000,T05,24,296.0957748,12.33732395,1.428860872,1874.039508,80.21722937,3.342384557,0.365978545,507.7082142
691,2001,T05,24,236.6133421,9.858889254,2.555294497,1497.565278,62.797459,2.616560792,0.629326625,397.4555843
691,2002,T05,19,225.6405214,11.87581691,2.234120868,1803.936589,59.29938212,3.121020112,0.600695836,474.082955
691,2003,T05,17,917.1361137,53.94918316,12.52330974,8194.880922,322.6423388,18.97896111,4.668663583,2882.904192
691,2004,T05,22,566.1824134,25.73556425,5.161761958,3909.232209,203.1574428,9.234429219,1.831937287,1402.709798
691,2005,T05,21,493.0198955,23.47713788,10.46350106,3566.177244,156.409641,7.448078141,2.823871065,1131.36307
691,2006,T05,27,136.8581686,5.068821058,1.155887758,769.9539187,49.13975616,1.819990969,0.406034302,276.4566282
691,2007,T05,24,662.8416984,27.6184041,5.013952955,4195.235583,215.3069237,8.971121822,1.726517584,1362.713405
691,2010,T05,23,670.0448645,29.13238541,3.693072754,4425.209344,234.1214121,10.17919183,1.454683581,1546.219239
691,2012,T05,23,649.7291413,28.2490931,12.56786871,4291.037242,317.8700157,13.82043547,6.081860701,2099.324147
692,1997,T05,18,0,0,0,0,0,0,0,0
692,1998,T05,22,0,0,0,0,0,0,0,0
692,1999,T05,19,72.93053792,3.838449364,3.705173003,583.0604584,0.980392157,0.051599587,0.049807977,7.837977296
692,2000,T05,24,0,0,0,0,0,0,0,0
692,2001,T05,24,0,0,0,0,0,0,0,0
692,2002,T05,19,0,0,0,0,0,0,0,0
692,2003,T05,17,360.1792879,21.18701693,21.16111646,3218.307872,0.99009901,0.058241118,0.05816992,8.846825859
692,2004,T05,22,0,0,0,0,0,0,0,0
692,2005,T05,21,0,0,0,0,0,0,0,0
692,2006,T05,27,0,0,0,0,0,0,0,0
692,2007,T05,24,0,0,0,0,0,0,0,0
692,2010,T05,23,0,0,0,0,0,0,0,0
692,2012,T05,23,0,0,0,0,0,0,0,0
690,1997,T06,39,111.8567592,2.868122031,2.827000283,435.6677365,0.970873786,0.0248942,0.024537279,3.781428927
690,1999,T06,40,0,0,0,0,0,0,0,0
690,2001,T06,40,0,0,0,0,0,0,0,0
690,2003,T06,40,0,0,0,0,0,0,0,0
690,2005,T06,40,0,0,0,0,0,0,0,0
690,2007,T06,32,0,0,0,0,0,0,0,0
690,2009,T06,43,0,0,0,0,0,0,0,0
