Alaska Sport Shark Catch Info,,,,,,,,,,,,,,,,,,,
SRW ADF&G 10/13/20,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Approximate Sport Shark (all species) Harvest by NMFS Area.,,,,,,,,,,,,,Approx. Sport Shark (all species) Releases by NMFS Area.,,,,,,
"All species, numbers of fish (source: SWHSa)",,,,,Approx. standard error,,,,Approx. CV,,,,"All species, numbers of fish (SWHSa)",,,,,,
Year,Western,Central,Eastern,,Western,Central,Eastern,,Western,Central,Eastern,,Year,Western,Central,Eastern,,,
1998,0,565,198,,--,93,52,,--,0.16,0.27,,1998,0,"10,300","4,569",,,
1999,0,457,216,,--,105,81,,--,0.23,0.38,,1999,0,"5,217","13,202",,,
2000,0,427,326,,--,101,154,,--,0.24,0.47,,2000,0,"8,790","16,189",,,
2001,17,478,484,,16,91,164,,0.94,0.19,0.34,,2001,20,"17,159","15,965",,,
2002,0,358,228,,--,95,92,,--,0.26,0.40,,2002,0,"7,071","4,539",,,
2003,0,754,444,,--,155,129,,--,0.21,0.29,,2003,30,"23,941","11,785",,,
2004,0,398,347,,--,89,114,,--,0.22,0.33,,2004,37,"16,261","9,283",,,
2005,0,950,633,,--,168,194,,--,0.18,0.31,,2005,108,"45,453","22,797",,,
2006,0,554,313,,--,122,76,,--,0.22,0.24,,2006,0,"38,538","19,565",,,
2007,0,555,567,,--,114,181,,--,0.21,0.32,,2007,0,"43,615","31,004",,,
2008,0,559,358,,--,124,141,,--,0.22,0.39,,2008,410,"22,604","29,069",,,
2009,0,213,183,,--,65,87,,--,0.31,0.48,,2009,0,"19,446","13,255",,,
2010,0,286,46,,--,89,34,,--,0.31,0.73,,2010,13,"18,424","11,004",,,
2011,0,469,62,,--,193,33,,--,0.41,0.53,,2011,9,"8,802","4,808",,,
2012,0,126,75,,--,61,37,,--,0.48,0.50,,2012,7,"6,512","6,536",,,
2013,0,538,173,,--,218,76,,--,0.40,0.44,,2013,16,"5,859","5,175",,,
2014,0,"1,353",748,,--,600,425,,--,0.44,0.57,,2014,0,"13,925","14,084",,,
2015,0,543,125,,--,179,58,,--,0.33,0.47,,2015,0,"10,549","9,226",,,
2016,0,235,24,,--,77,14,,--,0.33,0.58,,2016,0,"11,072","5,079",,,
2017,0,105,50,,--,32,22,,--,0.30,0.44,,2017,0,"6,179","3,316",,,
2018,0,328,60,,--,102,27,,--,0.31,0.45,,2018,0,"12,351","5,114",,,
2019,0,157,115,,--,48,45,,--,0.31,0.39,,2019,23,"7,182","4,280",,,
a ADF&G Statewide Harvest Survey (mail survey),,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Reported charter angler harvest of salmon sharks.,,,,,,,,,,,,,,,,,,,
Number of fish (source: ADF&G charter logbook data).,,,,,,,,,,,,,,,,,,,
Year,Western,Central,Eastern,,,,,,,,,,,,,,,,
1998,0,84,122,,,,,,,,,,,,,,,,
1999,no data,no data,no data,,,,,,,,,,,,,,,,
2000,0,99,76,,,,,,,,,,,,,,,,
2001,1,85,98,,,,,,,,,,,,,,,,
2002,0,90,110,,,,,,,,,,,,,,,,
2003,0,97,86,,,,,,,,,,,,,,,,
2004,1,56,103,,,,,,,,,,,,,,,,
2005,3,38,202,,,,,,,,,,,,,,,,
2006,1,37,246,,,,,,,,,,,,,,,,
2007,0,37,207,,,,,,,,,,,,,,,,
2008,0,13,81,,,,,,,,,,,,,,,,
2009,0,13,50,,,,,,,,,,,,,,,,
2010,0,7,20,,,,,,,,,,,,,,,,
2011,0,7,1,,,,,,,,,,,,,,,,
2012,0,10,11,,,,,,,,,,,,,,,,
2013,0,4,3,,,,,,,,,,,,,,,,
2014,0,5,17,,,,,,,,,,,,,,,,
2015,0,14,10,,,,,,,,,,,,,,,,
2016,0,7,3,,,,,,,,,,,,,,,,
2017,0,9,8,,,,,,,,,,,,,,,,
2018,0,8,6,,,,,,,,,,,,,,,,
2019,1,14,7,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Reported charter angler harvest of Pacific sleeper sharks.,,,,,,,,,,,,,,,,,,,
Number of fish (source: ADF&G creel sampling biological data).,,,,,,,,,,,,,,,,,,,
Year,Western,Central,Eastern,,,,,,,,,,,,,,,,
