=========================================================================
Parameter Value(s)
-------------------------------------------------------------------------
"Year: 2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010"
"Species Common Name: Spiny dogfish"
=========================================================================
"Year","Country","Vessel Number","Station Number","Geographic Area Name","Geographic Area Code","NPFMC Sablefish Mgmt Area","Geographic Area RPN Flag","Station Type Description","Active Flag","NMFS Area Code","Depth Stratum","Stratum Description","Haul Date","Start Latitude (DD)","Start Hemi NS","Start Longitude (DD)","Start Hemi EW","End Latitude (DD)","End Hemi NS","End Longitude (DD)","End Hemi EW","Species Code","Common Name","Sex","Length","Frequencey","Loaded to Repository"
2010,United States,96,72,Chirikof slope,30,Central Gulf of Alaska,1,Standard,1,620,2,101-200m,26-JUN-10,54.625,N,-158.58666666666667,W,54.498333333333335,N,-158.71966666666665,W,310,"Spiny dogfish",1,56,1,04-SEP-20
2010,United States,96,72,Chirikof slope,30,Central Gulf of Alaska,1,Standard,1,620,2,101-200m,26-JUN-10,54.625,N,-158.58666666666667,W,54.498333333333335,N,-158.71966666666665,W,310,"Spiny dogfish",2,65,1,04-SEP-20
2010,United States,96,81,Kodiak slope,35,Central Gulf of Alaska,1,Standard,1,630,5,401-600m,17-AUG-10,57.116666666666667,N,-151.22166666666666,W,56.973333333333336,N,-151.27466666666666,W,310,"Spiny dogfish",1,66,1,04-SEP-20
2010,United States,96,63,Shumagin Slope,25,Western Gulf of Alaska,1,Standard,1,610,2,101-200m,17-JUN-10,52.963333333333331,N,-168.13716666666667,W,52.843333333333334,N,-168.2465,W,310,"Spiny dogfish",2,59,1,04-SEP-20
2010,United States,96,63,Shumagin Slope,25,Western Gulf of Alaska,1,Standard,1,610,2,101-200m,17-JUN-10,52.963333333333331,N,-168.13716666666667,W,52.843333333333334,N,-168.2465,W,310,"Spiny dogfish",2,60,1,04-SEP-20
2010,United States,96,71,Shumagin Slope,25,Western Gulf of Alaska,1,Standard,1,610,2,101-200m,25-JUN-10,54.506666666666668,N,-159.26016666666666,W,54.380000000000003,N,-159.40516666666667,W,310,"Spiny dogfish",2,54,1,04-SEP-20
2010,United States,96,75,Chirikof slope,30,Central Gulf of Alaska,1,Standard,1,620,3,201-300m,29-JUN-10,55.640000000000001,N,-155.84916666666666,W,55.568333333333335,N,-155.85966666666667,W,310,"Spiny dogfish",1,72,1,04-SEP-20
2010,United States,96,75,Chirikof slope,30,Central Gulf of Alaska,1,Standard,1,620,3,201-300m,29-JUN-10,55.640000000000001,N,-155.84916666666666,W,55.568333333333335,N,-155.85966666666667,W,310,"Spiny dogfish",1,69,1,04-SEP-20
2010,United States,96,69,Shumagin Slope,25,Western Gulf of Alaska,1,Standard,1,610,3,201-300m,23-JUN-10,54.310000000000002,N,-161.06783333333334,W,54.204999999999998,N,-161.22383333333335,W,310,"Spiny dogfish",1,60,1,04-SEP-20
2010,United States,96,70,Shumagin Slope,25,Western Gulf of Alaska,1,Standard,1,610,2,101-200m,24-JUN-10,54.361666666666665,N,-160.24216666666666,W,54.229999999999997,N,-160.32483333333334,W,310,"Spiny dogfish",1,55,1,04-SEP-20
