Survey,Year,Regulatory Area Name,Species Code,Common Name,Scientific Name,Haul Count,Catch Count,Mean Weight CPUE,Var Weight CPUE,Mean Number CPUE,Var Number CPUE,Area Biomass,Area Biomass Var,Min Area Biomass,Max Area Biomass,Area Population,Area Population Var,Min Area Population,Max Area Population,AKFIN Load Date
AI,1980,ALEUTIANS,310,spiny dogfish,Squalus suckleyi,109,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-09-24 11:25:49
AI,1980,S BERING SEA,310,spiny dogfish,Squalus suckleyi,18,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-09-24 11:25:49
AI,1983,ALEUTIANS,310,spiny dogfish,Squalus suckleyi,256,2,0.021558404138909,0.000207419620465,0.014067013623695,0.000105279829171,1.1,0.539010202050097,0,3,686,273585.02472454,0,1790,2019-09-24 11:25:49
AI,1983,S BERING SEA,310,spiny dogfish,Squalus suckleyi,34,1,0.158269392782975,0.02526852243277,0.105512928521983,0.011275511357951,1.2,1.41437332758915,0,4,794,631132.372779024,0,2738,2019-09-24 11:25:49
AI,1986,ALEUTIANS,310,spiny dogfish,Squalus suckleyi,320,5,0.204634061144207,0.013903152608299,0.152334955201699,0.005880166477595,11.4,43.2120315751491,0,26,8442,18275994.4205225,0,18112,2019-09-24 11:25:49
AI,1986,S BERING SEA,310,spiny dogfish,Squalus suckleyi,63,1,0.320693374201821,0.104951135900371,0.250977423288381,0.060692585349143,2.4,5.87450602672207,0,9,1843,3397190.08614962,0,6582,2019-09-24 11:25:49
AI,1991,ALEUTIANS,310,spiny dogfish,Squalus suckleyi,276,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-09-24 11:25:49
AI,1991,S BERING SEA,310,spiny dogfish,Squalus suckleyi,55,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-09-24 11:25:49
AI,1994,ALEUTIANS,310,spiny dogfish,Squalus suckleyi,316,3,0.144865781326312,0.00575839139523,0.11971219582504,0.004159610588824,8.3,18.665341467417,0,17,6785,13483027.9296733,0,14500,2019-09-24 11:25:49
AI,1994,S BERING SEA,310,spiny dogfish,Squalus suckleyi,64,6,5.17514496644349,5.05623710690569,2.0521803811211,0.868365051586891,38.7,283.016425713103,4,73,15440,48605626.6583387,1204,29676,2019-09-24 11:25:49
AI,1997,ALEUTIANS,310,spiny dogfish,Squalus suckleyi,344,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-09-24 11:25:49
AI,1997,S BERING SEA,310,spiny dogfish,Squalus suckleyi,52,2,1.5382099907252,1.1631093744862,1.24794588935274,0.789341643503233,11.4,65.1035643543899,0,28,9337,44182392.1401316,0,22910,2019-09-24 11:25:49
AI,2000,ALEUTIANS,310,spiny dogfish,Squalus suckleyi,361,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-09-24 11:25:49
AI,2000,S BERING SEA,310,spiny dogfish,Squalus suckleyi,58,3,3.34585751445655,4.34780286140588,1.56096171934219,0.769704850624149,25,243.362722024984,0,57,11666,43083247.6942518,0,25069,2019-09-24 11:25:49
AI,2002,ALEUTIANS,310,spiny dogfish,Squalus suckleyi,353,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-09-24 11:25:49
AI,2002,S BERING SEA,310,spiny dogfish,Squalus suckleyi,61,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-09-24 11:25:49
