Collection Year,Collection Agency,Collection Name,OBS Gear Code,FMP Area,Reporting Area,ADFG Region,ADFG Statistical Area,Agency Species Code Type,Species Code,Species Group Code,Species Group Name,Number Animals,Weight,Record Count,Contact,Date Received from AKR
2010,ADFG,Large-Mesh Trawl Survey,1,BS,518,Westward,675332,AKR,691,USRK,Shark,3,4.05,1,"Kally Spalinger-Westward Region, ADFG, kally.spalinger@alaska.gov. Ken Goldman-Southcentral, ADFG, ken.goldman@alaska.gov",2020-10-18 19:00:01
2010,ADFG,Large-Mesh Trawl Survey,1,BS,519,Westward,665335,AKR,691,USRK,Shark,2,4.15,1,"Kally Spalinger-Westward Region, ADFG, kally.spalinger@alaska.gov. Ken Goldman-Southcentral, ADFG, ken.goldman@alaska.gov",2020-10-18 19:00:01
2010,ADFG,Large-Mesh Trawl Survey,1,GOA,610,Westward,625432,AKR,691,USRK,Shark,1,1.95,1,"Kally Spalinger-Westward Region, ADFG, kally.spalinger@alaska.gov. Ken Goldman-Southcentral, ADFG, ken.goldman@alaska.gov",2020-10-18 19:00:01
2010,ADFG,Large-Mesh Trawl Survey,1,GOA,620,Westward,545631,AKR,691,USRK,Shark,1,2.6,1,"Kally Spalinger-Westward Region, ADFG, kally.spalinger@alaska.gov. Ken Goldman-Southcentral, ADFG, ken.goldman@alaska.gov",2020-10-18 19:00:01
2010,ADFG,Large-Mesh Trawl Survey,1,GOA,620,Westward,545802,AKR,691,USRK,Shark,14,36.7,1,"Kally Spalinger-Westward Region, ADFG, kally.spalinger@alaska.gov. Ken Goldman-Southcentral, ADFG, ken.goldman@alaska.gov",2020-10-18 19:00:01
2010,ADFG,Large-Mesh Trawl Survey,1,GOA,620,Westward,585531,AKR,691,USRK,Shark,2,6.2,1,"Kally Spalinger-Westward Region, ADFG, kally.spalinger@alaska.gov. Ken Goldman-Southcentral, ADFG, ken.goldman@alaska.gov",2020-10-18 19:00:01
2010,ADFG,Large-Mesh Trawl Survey,1,GOA,620,Westward,585532,AKR,691,USRK,Shark,1,3.45,1,"Kally Spalinger-Westward Region, ADFG, kally.spalinger@alaska.gov. Ken Goldman-Southcentral, ADFG, ken.goldman@alaska.gov",2020-10-18 19:00:01
2010,ADFG,Large-Mesh Trawl Survey,1,GOA,620,Westward,585601,AKR,691,USRK,Shark,1,4.4,1,"Kally Spalinger-Westward Region, ADFG, kally.spalinger@alaska.gov. Ken Goldman-Southcentral, ADFG, ken.goldman@alaska.gov",2020-10-18 19:00:01
2010,ADFG,Large-Mesh Trawl Survey,1,GOA,620,Westward,585601,AKR,692,USRK,Shark,1,13,1,"Kally Spalinger-Westward Region, ADFG, kally.spalinger@alaska.gov. Ken Goldman-Southcentral, ADFG, ken.goldman@alaska.gov",2020-10-18 19:00:01
2010,ADFG,Large-Mesh Trawl Survey,1,GOA,630,Southcentral,525831,AKR,691,USRK,Shark,0,42.4,1,"Kally Spalinger-Westward Region, ADFG, kally.spalinger@alaska.gov. Ken Goldman-Southcentral, ADFG, ken.goldman@alaska.gov",2020-10-18 19:00:01
2010,ADFG,Large-Mesh Trawl Survey,1,GOA,630,Southcentral,525902,AKR,691,USRK,Shark,0,275.3,1,"Kally Spalinger-Westward Region, ADFG, kally.spalinger@alaska.gov. Ken Goldman-Southcentral, ADFG, ken.goldman@alaska.gov",2020-10-18 19:00:01
2010,ADFG,Large-Mesh Trawl Survey,1,GOA,630,Southcentral,525931,AKR,691,USRK,Shark,0,58.9,1,"Kally Spalinger-Westward Region, ADFG, kally.spalinger@alaska.gov. Ken Goldman-Southcentral, ADFG, ken.goldman@alaska.gov",2020-10-18 19:00:01
2010,ADFG,Large-Mesh Trawl Survey,1,GOA,630,Southcentral,535834,AKR,691,USRK,Shark,0,15.8,1,"Kally Spalinger-Westward Region, ADFG, kally.spalinger@alaska.gov. Ken Goldman-Southcentral, ADFG, ken.goldman@alaska.gov",2020-10-18 19:00:01
2010,ADFG,Large-Mesh Trawl Survey,1,GOA,630,Southcentral,535901,AKR,691,USRK,Shark,0,167.7,1,"Kally Spalinger-Westward Region, ADFG, kally.spalinger@alaska.gov. Ken Goldman-Southcentral, ADFG, ken.goldman@alaska.gov",2020-10-18 19:00:01
2010,ADFG,Large-Mesh Trawl Survey,1,GOA,630,Southcentral,535902,AKR,691,USRK,Shark,0,13.3,1,"Kally Spalinger-Westward Region, ADFG, kally.spalinger@alaska.gov. Ken Goldman-Southcentral, ADFG, ken.goldman@alaska.gov",2020-10-18 19:00:01
2010,ADFG,Large-Mesh Trawl Survey,1,GOA,630,Southcentral,535906,AKR,691,USRK,Shark,0,203.8,1,"Kally Spalinger-Westward Region, ADFG, kally.spalinger@alaska.gov. Ken Goldman-Southcentral, ADFG, ken.goldman@alaska.gov",2020-10-18 19:00:01
2010,ADFG,Large-Mesh Trawl Survey,1,GOA,630,Southcentral,535931,AKR,691,USRK,Shark,0,73.6,1,"Kally Spalinger-Westward Region, ADFG, kally.spalinger@alaska.gov. Ken Goldman-Southcentral, ADFG, ken.goldman@alaska.gov",2020-10-18 19:00:01
2010,ADFG,Large-Mesh Trawl Survey,1,GOA,630,Westward,515730,AKR,691,USRK,Shark,2,6.5,1,"Kally Spalinger-Westward Region, ADFG, kally.spalinger@alaska.gov. Ken Goldman-Southcentral, ADFG, ken.goldman@alaska.gov",2020-10-18 19:00:01
2010,ADFG,Large-Mesh Trawl Survey,1,GOA,630,Westward,515802,AKR,691,USRK,Shark,4,9.5,1,"Kally Spalinger-Westward Region, ADFG, kally.spalinger@alaska.gov. Ken Goldman-Southcentral, ADFG, ken.goldman@alaska.gov",2020-10-18 19:00:01
2010,ADFG,Large-Mesh Trawl Survey,1,GOA,630,Westward,525630,AKR,691,USRK,Shark,1,5.2,1,"Kally Spalinger-Westward Region, ADFG, kally.spalinger@alaska.gov. Ken Goldman-Southcentral, ADFG, ken.goldman@alaska.gov",2020-10-18 19:00:01
2010,ADFG,Large-Mesh Trawl Survey,1,GOA,630,Westward,525701,AKR,691,USRK,Shark,7,20.95,1,"Kally Spalinger-Westward Region, ADFG, kally.spalinger@alaska.gov. Ken Goldman-Southcentral, ADFG, ken.goldman@alaska.gov",2020-10-18 19:00:01
2010,ADFG,Large-Mesh Trawl Survey,1,GOA,630,Westward,525702,AKR,691,USRK,Shark,10,23.1,1,"Kally Spalinger-Westward Region, ADFG, kally.spalinger@alaska.gov. Ken Goldman-Southcentral, ADFG, ken.goldman@alaska.gov",2020-10-18 19:00:01
2010,ADFG,Large-Mesh Trawl Survey,1,GOA,630,Westward,525703,AKR,691,USRK,Shark,8,19.45,1,"Kally Spalinger-Westward Region, ADFG, kally.spalinger@alaska.gov. Ken Goldman-Southcentral, ADFG, ken.goldman@alaska.gov",2020-10-18 19:00:01
2010,ADFG,Large-Mesh Trawl Survey,1,GOA,630,Westward,525703,AKR,692,USRK,Shark,1,405,1,"Kally Spalinger-Westward Region, ADFG, kally.spalinger@alaska.gov. Ken Goldman-Southcentral, ADFG, ken.goldman@alaska.gov",2020-10-18 19:00:01
2010,ADFG,Large-Mesh Trawl Survey,1,GOA,630,Westward,525731,AKR,691,USRK,Shark,4,7.2,1,"Kally Spalinger-Westward Region, ADFG, kally.spalinger@alaska.gov. Ken Goldman-Southcentral, ADFG, ken.goldman@alaska.gov",2020-10-18 19:00:01
2010,ADFG,Large-Mesh Trawl Survey,1,GOA,630,Westward,525732,AKR,691,USRK,Shark,1,2.2,1,"Kally Spalinger-Westward Region, ADFG, kally.spalinger@alaska.gov. Ken Goldman-Southcentral, ADFG, ken.goldman@alaska.gov",2020-10-18 19:00:01
2010,ADFG,Large-Mesh Trawl Survey,1,GOA,630,Westward,525802,AKR,691,USRK,Shark,9,31.1,1,"Kally Spalinger-Westward Region, ADFG, kally.spalinger@alaska.gov. Ken Goldman-Southcentral, ADFG, ken.goldman@alaska.gov",2020-10-18 19:00:01
2010,ADFG,Large-Mesh Trawl Survey,1,GOA,630,Westward,525805,AKR,692,USRK,Shark,1,256,1,"Kally Spalinger-Westward Region, ADFG, kally.spalinger@alaska.gov. Ken Goldman-Southcentral, ADFG, ken.goldman@alaska.gov",2020-10-18 19:00:01
2010,ADFG,Large-Mesh Trawl Survey,1,GOA,630,Westward,525806,AKR,691,USRK,Shark,6,13.05,1,"Kally Spalinger-Westward Region, ADFG, kally.spalinger@alaska.gov. Ken Goldman-Southcentral, ADFG, ken.goldman@alaska.gov",2020-10-18 19:00:01
2010,ADFG,Large-Mesh Trawl Survey,1,GOA,630,Westward,535631,AKR,691,USRK,Shark,2,11.85,1,"Kally Spalinger-Westward Region, ADFG, kally.spalinger@alaska.gov. Ken Goldman-Southcentral, ADFG, ken.goldman@alaska.gov",2020-10-18 19:00:01
2010,ADFG,Large-Mesh Trawl Survey,1,GOA,630,Westward,535632,AKR,691,USRK,Shark,3,10.2,1,"Kally Spalinger-Westward Region, ADFG, kally.spalinger@alaska.gov. Ken Goldman-Southcentral, ADFG, ken.goldman@alaska.gov",2020-10-18 19:00:01
2010,ADFG,Large-Mesh Trawl Survey,1,GOA,630,Westward,535701,AKR,691,USRK,Shark,4,14.5,1,"Kally Spalinger-Westward Region, ADFG, kally.spalinger@alaska.gov. Ken Goldman-Southcentral, ADFG, ken.goldman@alaska.gov",2020-10-18 19:00:01
2010,ADFG,Large-Mesh Trawl Survey,1,GOA,630,Westward,535703,AKR,691,USRK,Shark,1,2.15,1,"Kally Spalinger-Westward Region, ADFG, kally.spalinger@alaska.gov. Ken Goldman-Southcentral, ADFG, ken.goldman@alaska.gov",2020-10-18 19:00:01
2010,ADFG,Large-Mesh Trawl Survey,1,GOA,630,Westward,535706,AKR,691,USRK,Shark,2,9.05,1,"Kally Spalinger-Westward Region, ADFG, kally.spalinger@alaska.gov. Ken Goldman-Southcentral, ADFG, ken.goldman@alaska.gov",2020-10-18 19:00:01
2010,ADFG,Large-Mesh Trawl Survey,1,GOA,630,Westward,535732,AKR,691,USRK,Shark,43,143.3,1,"Kally Spalinger-Westward Region, ADFG, kally.spalinger@alaska.gov. Ken Goldman-Southcentral, ADFG, ken.goldman@alaska.gov",2020-10-18 19:00:01
2010,ADFG,Large-Mesh Trawl Survey,1,GOA,630,Westward,535733,AKR,691,USRK,Shark,6,24,1,"Kally Spalinger-Westward Region, ADFG, kally.spalinger@alaska.gov. Ken Goldman-Southcentral, ADFG, ken.goldman@alaska.gov",2020-10-18 19:00:01
