=========================================================================
Parameter Value(s)
-------------------------------------------------------------------------
"Survey: AI,GOA,EBS_SHELF,EBS_SLOPE,NBS"
"Year: 2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1980"
"Common Name: spiny dogfish"
=========================================================================
"Survey","Year","Cruise Join ID","Haul Join ID","Catch Join ID","Cruise Number","Vessel Number","Haul Number","Starting Latitude (dd)","Starting Longitude (dd)","Ending Latitude (dd)","Ending Longitude (dd)","Stratum","Stratum INPFC Area","Stratum Min Depth (m)","Stratum Max Depth (m)","Stratum Description","Stratum Regulatory Area Name","Stratum Type","Domain","Density","Gear Performance","Satisfactory Gear Performance","Gear Performance Note","Gear Depth","Bottom Depth","Species Code","Common Name","Scientific Name","Length (mm)","Frequency","Sex","Sample Type","Length Type","akfin_load_date"
GOA,1984,265,25590,516768,198403,21,41,55.965,-134.695,55.961,-134.74017,251,Southeastern,201,300,"Prince of Wales Slope/Gullies",EASTERN GOA,SLOPE,,,0,Y,"Good performance",218,218,310,spiny dogfish,Squalus suckleyi,710,1,Unknown,1,1,24-SEP-19
GOA,1984,265,25677,517839,198403,21,128,59.57917,-141.518,59.5815,-141.569,141,Yakutat,101,200,"Yakataga Shelf",EASTERN GOA,SHELF,,,0,Y,"Good performance",130,130,310,spiny dogfish,Squalus suckleyi,800,1,Male,1,1,24-SEP-19
GOA,1984,265,25677,517839,198403,21,128,59.57917,-141.518,59.5815,-141.569,141,Yakutat,101,200,"Yakataga Shelf",EASTERN GOA,SHELF,,,0,Y,"Good performance",130,130,310,spiny dogfish,Squalus suckleyi,690,1,Female,1,1,24-SEP-19
GOA,1984,265,25680,517871,198403,21,131,59.6605,-141.67433,59.662,-141.72717,141,Yakutat,101,200,"Yakataga Shelf",EASTERN GOA,SHELF,,,0,Y,"Good performance",117,117,310,spiny dogfish,Squalus suckleyi,600,1,Unknown,1,1,24-SEP-19
GOA,1984,265,25681,517885,198403,21,132,59.7335,-141.676,59.73933,-141.72483,40,Yakutat,1,100,"Yakutat Shallows",EASTERN GOA,SHELF,,,0,Y,"Good performance",80,80,310,spiny dogfish,Squalus suckleyi,620,1,Unknown,1,1,24-SEP-19
GOA,1984,265,25684,517926,198403,21,135,59.59867,-141.0655,59.6045,-141.1165,141,Yakutat,101,200,"Yakataga Shelf",EASTERN GOA,SHELF,,,0,Y,"Good performance",117,117,310,spiny dogfish,Squalus suckleyi,660,1,Female,1,1,24-SEP-19
GOA,1984,265,25694,518056,198403,21,145,59.58533,-140.31117,59.60333,-140.344,141,Yakutat,101,200,"Yakataga Shelf",EASTERN GOA,SHELF,,,0,Y,"Good performance",102,102,310,spiny dogfish,Squalus suckleyi,580,1,Male,1,1,24-SEP-19
GOA,1984,265,25694,518056,198403,21,145,59.58533,-140.31117,59.60333,-140.344,141,Yakutat,101,200,"Yakataga Shelf",EASTERN GOA,SHELF,,,0,Y,"Good performance",102,102,310,spiny dogfish,Squalus suckleyi,730,1,Female,1,1,24-SEP-19
GOA,1999,978772,979025,983754,199901,23,25,54.09449,-161.6778,54.09537,-161.7036,210,Shumagin,201,300,"Shumagin Slope",WESTERN GOA,SLOPE,,,5.1,Y,"Net came off bottom",241,241,310,spiny dogfish,Squalus suckleyi,860,1,Unknown,1,1,24-SEP-19
GOA,1996,881074,881149,894064,199601,23,198,59.09132,-148.9675,59.08912,-148.9415,133,Kodiak,101,200,"Kenai Flats",CENTRAL GOA,SHELF,,,0,Y,"Good performance",140,140,310,spiny dogfish,Squalus suckleyi,1020,1,Unknown,1,1,24-SEP-19
GOA,1996,881074,881135,893752,199601,23,210,58.8889,-148.1343,58.89763,-148.1088,330,Kodiak,301,500,"Kodiak Slope",CENTRAL GOA,SLOPE,,,2.4,Y,"Belly damaged",412,412,310,spiny dogfish,Squalus suckleyi,690,1,Male,1,1,24-SEP-19
GOA,1996,881074,881135,893752,199601,23,210,58.8889,-148.1343,58.89763,-148.1088,330,Kodiak,301,500,"Kodiak Slope",CENTRAL GOA,SLOPE,,,2.4,Y,"Belly damaged",412,412,310,spiny dogfish,Squalus suckleyi,740,1,Male,1,1,24-SEP-19
GOA,1996,881074,881117,893579,199601,23,219,60.18567,-145.9614,60.17632,-145.9358,140,Yakutat,101,200,"Middleton Shelf",EASTERN GOA,SHELF,,,0,Y,"Good performance",109,109,310,spiny dogfish,Squalus suckleyi,640,1,Female,1,1,24-SEP-19
GOA,1996,881074,881126,893323,199601,23,228,59.64241,-141.1549,59.64376,-141.184,40,Yakutat,1,100,"Yakutat Shallows",EASTERN GOA,SHELF,,,0,Y,"Good performance",76,76,310,spiny dogfish,Squalus suckleyi,570,1,Female,1,1,24-SEP-19
GOA,1996,881074,881114,892784,199601,23,243,59.05568,-138.8753,59.06059,-138.8494,40,Yakutat,1,100,"Yakutat Shallows",EASTERN GOA,SHELF,,,0,Y,"Good performance",90,90,310,spiny dogfish,Squalus suckleyi,540,1,Female,1,1,24-SEP-19
GOA,1996,881074,881090,892758,199601,23,245,58.86239,-137.9784,58.84928,-137.973,40,Yakutat,1,100,"Yakutat Shallows",EASTERN GOA,SHELF,,,0,Y,"Good performance",20,20,310,spiny dogfish,Squalus suckleyi,730,1,Male,1,1,24-SEP-19
GOA,1996,881074,881098,892584,199601,23,253,56.66263,-135.6936,56.67609,-135.7044,150,Southeastern,101,200,"Baranof-Chichagof Shelf",EASTERN GOA,SHELF,,,0,Y,"Good performance",173,173,310,spiny dogfish,Squalus suckleyi,630,2,Male,1,1,24-SEP-19
GOA,1996,881074,881098,892584,199601,23,253,56.66263,-135.6936,56.67609,-135.7044,150,Southeastern,101,200,"Baranof-Chichagof Shelf",EASTERN GOA,SHELF,,,0,Y,"Good performance",173,173,310,spiny dogfish,Squalus suckleyi,620,1,Female,1,1,24-SEP-19
