Year,Sex,PCL,FL,TL,TLcm,TLbin,Weight,Frequency,Source,Gear,LAT,LONG,FMP
1983,1,1027.23,,1180,118,110,14.742,1,RACE_TWL,Bottom Trawl,51.67767,-175.76133,AI
1987,3,1474.473853,1630,1688.6941,168.86941,160,52.98,1,RACE_TWL,Bottom Trawl,57.2715,-155.98317,GOA
1990,3,1748.174,,2000,200,200,65.998,1,RACE_TWL,Bottom Trawl,59.4498,-140.18602,GOA
1996,2,1565.268837,1730,1791.9641,179.19641,170,45.1,1,RACE_TWL,Bottom Trawl,58.40144,-139.1967,GOA
1996,2,1628.825326,1800,1864.2531,186.42531,180,54,1,RACE_TWL,Bottom Trawl,59.57672,-140.4171,GOA
1996,2,1883.051281,2080,2153.4091,215.34091,210,102,1,RACE_TWL,Bottom Trawl,56.26888,-156.1455,GOA
1996,2,2255.310715,2490,2576.8161,257.68161,250,150,1,RACE_TWL,Bottom Trawl,57.16969,-155.944,GOA
1998,3,1299.782,,1490,149,140,34.2,1,RACE_TWL,Bottom Trawl,57.98967,-154.36917,GOA
1998,3,1466.83,,1680,168,160,38,1,RACE_TWL,Bottom Trawl,57.69083,-154.76133,GOA
1998,3,1484.414,,1700,170,170,52.55856338,1,RACE_TWL,Bottom Trawl,56.93383,-155.93117,GOA
1998,2,1748.174,,2000,200,200,86,1,RACE_TWL,Bottom Trawl,57.70777,-155.22433,GOA
1998,3,1809.718,,2070,207,200,150,1,RACE_TWL,Bottom Trawl,58.12867,-154.15817,GOA
1999,2,1265.64539,1400,1451.1731,145.11731,140,32.71864788,1,RACE_TWL,Bottom Trawl,54.63905,-160.3674,GOA
1999,3,1656.063821,1830,1895.2341,189.52341,180,72.78654062,1,RACE_TWL,Bottom Trawl,54.63905,-160.3674,GOA
1999,3,1692.381814,1870,1936.5421,193.65421,190,54,1,RACE_TWL,Bottom Trawl,56.84461,-151.6345,GOA
1999,2,2282.54921,2520,2607.7971,260.77971,260,156,1,RACE_TWL,Bottom Trawl,55.55198,-159.7522,GOA
1999,2,2337.026201,2580,2669.7591,266.97591,260,120,1,RACE_TWL,Bottom Trawl,56.99491,-155.7621,GOA
2000,2,1264.614,,1450,145,140,27.7,1,RACE_TWL,Bottom Trawl,53.1146,-169.8718,AI
2000,2,1572.334,,1800,180,180,68,1,RACE_TWL,Bottom Trawl,53.74445,-167.0025,AI
2000,2,1594.314,,1825,182.5,180,68,1,RACE_TWL,Bottom Trawl,53.74445,-167.0025,AI
2000,2,1607.502,,1840,184,180,68,1,RACE_TWL,Bottom Trawl,53.74445,-167.0025,AI
2000,1,793.5114727,880,914.1691,91.41691,90,5,1,RACE_TWL,Bottom Trawl,56.75338,-173.4548,BS
2000,1,807.43,,930,93,90,62,1,RACE_TWL,Bottom Trawl,59.80567,-175.9095,BS
2000,1,811.6704695,900,934.8231,93.48231,90,8.765435464,1,RACE_TWL,Bottom Trawl,58.52817,-174.66209,BS
2000,3,838.9089647,930,965.8041,96.58041,90,7.6,1,RACE_TWL,Bottom Trawl,54.28297,-167.66859,BS
2000,1,866.1474599,960,996.7851,99.67851,90,6.3,1,RACE_TWL,Bottom Trawl,56.75338,-173.4548,BS
2000,2,875.2269583,970,1007.1121,100.71121,100,10.95615459,1,RACE_TWL,Bottom Trawl,58.52817,-174.66209,BS
2000,3,893.3859551,990,1027.7661,102.77661,100,6.7,1,RACE_TWL,Bottom Trawl,56.06556,-168.795,BS
2000,1,893.3859551,990,1027.7661,102.77661,100,8,1,RACE_TWL,Bottom Trawl,56.50978,-172.0815,BS
2000,2,911.5449519,1010,1048.4201,104.84201,100,12.35788412,1,RACE_TWL,Bottom Trawl,58.524,-174.65511,BS
2000,1,912.934,,1050,105,100,9.8,1,RACE_TWL,Bottom Trawl,54.42094,-166.5864,BS
2000,2,929.7039487,1030,1069.0741,106.90741,100,13.10145398,1,RACE_TWL,Bottom Trawl,58.524,-174.65511,BS
2000,1,947.8629455,1050,1089.7281,108.97281,100,9.8,1,RACE_TWL,Bottom Trawl,56.22961,-171.5591,BS
2000,1,966.0219423,1070,1110.3821,111.03821,110,9.8,1,RACE_TWL,Bottom Trawl,56.06413,-168.7999,BS
2000,2,966.0219423,1070,1110.3821,111.03821,110,14.67681251,1,RACE_TWL,Bottom Trawl,54.91819,-167.65089,BS
2000,1,993.2604375,1100,1141.3631,114.13631,110,15.93773431,1,RACE_TWL,Bottom Trawl,58.524,-174.65511,BS
2000,2,993.2604375,1100,1141.3631,114.13631,110,15.93773431,1,RACE_TWL,Bottom Trawl,58.524,-174.65511,BS
2000,2,1002.339936,1110,1151.6901,115.16901,110,13.6,1,RACE_TWL,Bottom Trawl,58.52142,-176.0954,BS
2000,3,1011.419434,1120,1162.0171,116.20171,110,16.81721269,1,RACE_TWL,Bottom Trawl,56.06556,-168.795,BS
2000,2,1020.498933,1130,1172.3441,117.23441,110,17.26882159,1,RACE_TWL,Bottom Trawl,58.52817,-174.66209,BS
2000,2,1038.65793,1150,1192.9981,119.29981,110,18.19612975,1,RACE_TWL,Bottom Trawl,58.52817,-174.66209,BS
2000,1,1038.65793,1150,1192.9981,119.29981,110,18.19612975,1,RACE_TWL,Bottom Trawl,54.91819,-167.65089,BS
2000,1,1047.737428,1160,1203.3251,120.33251,120,14.8,1,RACE_TWL,Bottom Trawl,58.75324,-178.0578,BS
2000,2,1065.896425,1180,1223.9791,122.39791,120,14.7,1,RACE_TWL,Bottom Trawl,55.44953,-168.4234,BS
2000,2,1084.055422,1200,1244.6331,124.46331,120,18.9,1,RACE_TWL,Bottom Trawl,56.06413,-168.7999,BS
