"Year","PROJECT_CODE","n","species","Count","Count_CPUE","Count_CPUE_var","Kg_CPUE","Kg_CPUE_var","Kilograms"
1989,"T04",7,"Pacific Sleeper Shark",0,0,0,0,0,0
1989,"T04",7,"Salmon Shark",0,0,0,0,0,0
1989,"T04",7,"Spiny Dogfish",6,0.858699,2.184129,4.265719,34.368031,29.937096
1990,"T04",14,"Pacific Sleeper Shark",0,0,0,0,0,0
1990,"T04",14,"Salmon Shark",0,0,0,0,0,0
1990,"T04",14,"Spiny Dogfish",0,0,0,0,0,0
1990,"T05",24,"Pacific Sleeper Shark",0,0,0,0,0,0
1990,"T05",24,"Salmon Shark",0,0,0,0,0,0
1990,"T05",24,"Spiny Dogfish",0,0,0,0,0,0
1990,"T06",11,"Pacific Sleeper Shark",0,0,0,0,0,0
1990,"T06",11,"Salmon Shark",0,0,0,0,0,0
1990,"T06",11,"Spiny Dogfish",0,0,0,0,0,0
1991,"T04",15,"Pacific Sleeper Shark",0,0,0,0,0,0
1991,"T04",15,"Salmon Shark",0,0,0,0,0,0
1991,"T04",15,"Spiny Dogfish",0,0,0,0,0,0
1991,"T05",17,"Pacific Sleeper Shark",0,0,0,0,0,0
1991,"T05",17,"Salmon Shark",0,0,0,0,0,0
1991,"T05",17,"Spiny Dogfish",0,0,0,0,0,0
1991,"T06",29,"Pacific Sleeper Shark",0,0,0,0,0,0
1991,"T06",29,"Salmon Shark",0,0,0,0,0,0
1991,"T06",29,"Spiny Dogfish",0,0,0,0,0,0
1992,"T04",15,"Pacific Sleeper Shark",0,0,0,0,0,0
1992,"T04",15,"Salmon Shark",0,0,0,0,0,0
1992,"T04",15,"Spiny Dogfish",0,0,0,0,0,0
1992,"T05",30,"Pacific Sleeper Shark",0,0,0,0,0,0
1992,"T05",30,"Salmon Shark",0,0,0,0,0,0
1992,"T05",30,"Spiny Dogfish",0,0,0,0,0,0
1992,"T06",37,"Pacific Sleeper Shark",0,0,0,0,0,0
1992,"T06",37,"Salmon Shark",0,0,0,0,0,0
1992,"T06",37,"Spiny Dogfish",0,0,0,0,0,0
1993,"T04",16,"Pacific Sleeper Shark",0,0,0,0,0,0
1993,"T04",16,"Salmon Shark",0,0,0,0,0,0
1993,"T04",16,"Spiny Dogfish",0,0,0,0,0,0
1993,"T05",15,"Pacific Sleeper Shark",0,0,0,0,0,0
1993,"T05",15,"Salmon Shark",0,0,0,0,0,0
1993,"T05",15,"Spiny Dogfish",0,0,0,0,0,0
1993,"T06",38,"Pacific Sleeper Shark",0,0,0,0,0,0
