"Year","Species.Code","FMP","sumRPN"
1988,310,"GOA",8492.34961635269
1989,310,"GOA",13127.0403870103
1990,310,"GOA",7642.35676148377
1991,310,"GOA",50266.1300484589
1992,310,"GOA",85503.7944534555
1993,310,"GOA",72291.0937715303
1994,310,"GOA",29732.7253634079
1995,310,"GOA",31773.1821383822
1996,310,"BSAI",36.554126984127
1996,310,"GOA",24608.6023995473
1997,310,"BSAI",0
1997,310,"GOA",34074.9876203273
1998,310,"BSAI",31.4571428571429
1998,310,"GOA",107840.490942821
1999,310,"BSAI",0
1999,310,"GOA",17827.131261249
2000,310,"BSAI",73.0885416666667
2000,310,"GOA",10587.514689104
2001,310,"BSAI",22.2545454545455
2001,310,"GOA",13768.4218371095
2002,310,"BSAI",11.3913043478261
2002,310,"GOA",14790.704330438
2003,310,"BSAI",0
2003,310,"GOA",20616.0639437613
2004,310,"BSAI",6.72872340425532
2004,310,"GOA",25801.0856012122
2005,310,"BSAI",72.7886178861789
2005,310,"GOA",41201.3712889712
2006,310,"BSAI",23.7603174603174
2006,310,"GOA",64975.3555227288
2007,310,"BSAI",0
2007,310,"GOA",34829.009876101
2008,310,"BSAI",82.2021030920767
2008,310,"GOA",55514.5807481661
2009,310,"BSAI",38.25
2009,310,"GOA",44997.8649884882
2010,310,"BSAI",0
2010,310,"GOA",26243.2559291992
2011,310,"BSAI",0
2011,310,"GOA",25654.5021542921
2012,310,"BSAI",0
2012,310,"GOA",23154.2810026368
2013,310,"BSAI",0
2013,310,"GOA",9564.3360026186
2014,310,"BSAI",6.58854166666667
2014,310,"GOA",59188.6812667143
2015,310,"BSAI",0
2015,310,"GOA",26463.1345820784
2016,310,"BSAI",0
2016,310,"GOA",27591.8216273604
2017,310,"BSAI",0
2017,310,"GOA",45079.8940829467
2018,310,"BSAI",5.75
2018,310,"GOA",20095.9972104744
