Year,FMP.Area,NMFS.Area,Trip.Target.Name,Gear,Species,Sept24_Catch,Oct13_Catch,diff,pdiff
2016,BSAI,513,Pollock,PTR,Salmon Shark,9.715768318,19.17389127,9.458122948,97.35
2017,BSAI,509,Pollock,PTR,Salmon Shark,40.48452717,45.98426326,5.499736086,13.58
2018,BSAI,517,Pollock,PTR,Salmon Shark,20.24382211,22.10075023,1.856928112,9.17
2019,BSAI,517,Pollock,PTR,Salmon Shark,46.00255203,53.45155495,7.449002918,16.19
2018,GOA,610,Halibut,HAL,Spiny Dogfish,7.173812918,13.07297724,5.899164318,82.23
2018,GOA,620,Halibut,HAL,Spiny Dogfish,214.2041789,285.3252102,71.12103128,33.2
2018,GOA,640,Halibut,HAL,Spiny Dogfish,1034.816392,1036.993345,2.176952198,0.21
2018,GOA,640,Sablefish,HAL,Spiny Dogfish,155.2767556,158.9084951,3.631739443,2.34
2019,GOA,640,Sablefish,HAL,Spiny Dogfish,54.67428935,57.33584234,2.661552997,4.87
2019,INSD,659,Sablefish,HAL,Spiny Dogfish,17.58790862,19.92647473,2.338566108,13.3
