"year","proj","n","species","Count","Count_CPUE","Count_CPUE_var","Count_density","Kg_CPUE","Kg_CPUE_var","Kg_density","Kilograms"
1997,"T04",16,"Pacific Sleeper Shark",0,0,0,0,0,0,0,0
1997,"T04",16,"Salmon Shark",0,0,0,0,0,0,0,0
1997,"T04",16,"Spiny Dogfish",0,0,0,0,0,0,0,0
1997,"T05",18,"Pacific Sleeper Shark",0,0,0,0,0,0,0,0
1997,"T05",18,"Salmon Shark",0,0,0,0,0,0,0,0
1997,"T05",18,"Spiny Dogfish",0,0,0,0,0,0,0,0
1997,"T06",39,"Pacific Sleeper Shark",0,0,0,0,0,0,0,0
1997,"T06",39,"Salmon Shark",0.970873786,0.0248942,0.024537279,3.781428927,2.868122031,2.827000283,435.6677365,111.8567592
1997,"T06",39,"Spiny Dogfish",18.47749303,0.473781873,0.107191456,71.96746644,1.151366169,0.272230515,174.892521,44.90328058
1998,"T04",16,"Pacific Sleeper Shark",0,0,0,0,0,0,0,0
1998,"T04",16,"Salmon Shark",0,0,0,0,0,0,0,0
1998,"T04",16,"Spiny Dogfish",1.19047619,0.074404762,0.072801071,11.30208333,0.337494323,0.330220105,51.26538765,5.399909167
1998,"T05",22,"Pacific Sleeper Shark",0,0,0,0,0,0,0,0
1998,"T05",22,"Salmon Shark",0,0,0,0,0,0,0,0
1998,"T05",22,"Spiny Dogfish",105.3031393,4.78650633,0.80602347,727.0703115,15.58165188,2.329213661,2366.85292,342.7963413
1999,"T04",16,"Pacific Sleeper Shark",0,0,0,0,0,0,0,0
1999,"T04",16,"Salmon Shark",0,0,0,0,0,0,0,0
1999,"T04",16,"Spiny Dogfish",0,0,0,0,0,0,0,0
1999,"T05",19,"Pacific Sleeper Shark",0.980392157,0.051599587,0.049807977,7.837977296,3.838449364,3.705173003,583.0604584,72.93053792
1999,"T05",19,"Salmon Shark",0,0,0,0,0,0,0,0
1999,"T05",19,"Spiny Dogfish",21.93062614,1.154243481,0.457597906,175.3295848,5.093218274,2.009491755,773.6598558,96.77114721
1999,"T06",40,"Pacific Sleeper Shark",0,0,0,0,0,0,0,0
1999,"T06",40,"Salmon Shark",0,0,0,0,0,0,0,0
1999,"T06",40,"Spiny Dogfish",1.01010101,0.025252525,0.025911957,3.835858586,0.091634822,0.094027728,13.9193295,3.665392889
2000,"T04",16,"Pacific Sleeper Shark",0,0,0,0,0,0,0,0
2000,"T04",16,"Salmon Shark",0,0,0,0,0,0,0,0
2000,"T04",16,"Spiny Dogfish",0,0,0,0,0,0,0,0
2000,"T05",24,"Pacific Sleeper Shark",0,0,0,0,0,0,0,0
2000,"T05",24,"Salmon Shark",0,0,0,0,0,0,0,0
2000,"T05",24,"Spiny Dogfish",80.21722937,3.342384557,0.365978545,507.7082142,12.33732395,1.428860872,1874.039508,296.0957748
2001,"T04",16,"Pacific Sleeper Shark",0,0,0,0,0,0,0,0
2001,"T04",16,"Salmon Shark",0,0,0,0,0,0,0,0
2001,"T04",16,"Spiny Dogfish",0,0,0,0,0,0,0,0
2001,"T05",24,"Pacific Sleeper Shark",0,0,0,0,0,0,0,0
2001,"T05",24,"Salmon Shark",0,0,0,0,0,0,0,0
2001,"T05",24,"Spiny Dogfish",62.797459,2.616560792,0.629326625,397.4555843,9.858889254,2.555294497,1497.565278,236.6133421
2001,"T06",40,"Pacific Sleeper Shark",0,0,0,0,0,0,0,0
2001,"T06",40,"Salmon Shark",0,0,0,0,0,0,0,0
2001,"T06",40,"Spiny Dogfish",76.70266497,1.917566624,0.374548282,291.2783702,4.554985297,0.882086361,691.9022666,182.1994119
2002,"T04",14,"Pacific Sleeper Shark",1,0.071428571,0.06760252,10.85,23.52200433,22.26205476,3572.992458,329.3080606
2002,"T04",14,"Salmon Shark",0,0,0,0,0,0,0,0
2002,"T04",14,"Spiny Dogfish",1,0.071428571,0.070690849,10.85,0.19439673,0.192388979,29.52886329,2.72155422
2002,"T05",19,"Pacific Sleeper Shark",0,0,0,0,0,0,0,0
2002,"T05",19,"Salmon Shark",0,0,0,0,0,0,0,0
2002,"T05",19,"Spiny Dogfish",59.29938212,3.121020112,0.600695836,474.082955,11.87581691,2.234120868,1803.936589,225.6405214
2003,"T04",16,"Pacific Sleeper Shark",1.149425287,0.07183908,0.072196846,10.91235632,1.173083716,1.17892578,178.1914164,18.76933945
2003,"T04",16,"Salmon Shark",0,0,0,0,0,0,0,0
2003,"T04",16,"Spiny Dogfish",0,0,0,0,0,0,0,0
2003,"T05",17,"Pacific Sleeper Shark",0.99009901,0.058241118,0.05816992,8.846825859,21.18701693,21.16111646,3218.307872,360.1792879
2003,"T05",17,"Salmon Shark",0,0,0,0,0,0,0,0
2003,"T05",17,"Spiny Dogfish",322.6423388,18.97896111,4.668663583,2882.904192,53.94918316,12.52330974,8194.880922,917.1361137
2003,"T06",40,"Pacific Sleeper Shark",0,0,0,0,0,0,0,0
2003,"T06",40,"Salmon Shark",0,0,0,0,0,0,0,0
2003,"T06",40,"Spiny Dogfish",51.9240382,1.298100955,0.271933614,197.1815351,3.035907812,0.66667605,461.1543967,121.4363125
2004,"T04",16,"Pacific Sleeper Shark",0,0,0,0,0,0,0,0
2004,"T04",16,"Salmon Shark",0,0,0,0,0,0,0,0
2004,"T04",16,"Spiny Dogfish",0,0,0,0,0,0,0,0
2004,"T05",22,"Pacific Sleeper Shark",0,0,0,0,0,0,0,0
2004,"T05",22,"Salmon Shark",0,0,0,0,0,0,0,0
2004,"T05",22,"Spiny Dogfish",203.1574428,9.234429219,1.831937287,1402.709798,25.73556425,5.161761958,3909.232209,566.1824134
2005,"T04",15,"Pacific Sleeper Shark",0,0,0,0,0,0,0,0
2005,"T04",15,"Salmon Shark",0,0,0,0,0,0,0,0
2005,"T04",15,"Spiny Dogfish",1.01010101,0.067340067,0.06836681,10.22895623,0.134680135,0.13673362,20.45791246,2.02020202
2005,"T05",21,"Pacific Sleeper Shark",0,0,0,0,0,0,0,0
2005,"T05",21,"Salmon Shark",0,0,0,0,0,0,0,0
2005,"T05",21,"Spiny Dogfish",156.409641,7.448078141,2.823871065,1131.36307,23.47713788,10.46350106,3566.177244,493.0198955
2005,"T06",40,"Pacific Sleeper Shark",1.01010101,0.025252525,0.024951428,3.835858586,5.873737374,5.803702239,892.2207071,234.9494949
2005,"T06",40,"Salmon Shark",0,0,0,0,0,0,0,0
2005,"T06",40,"Spiny Dogfish",141.6784362,3.541960904,0.842290336,538.0238614,6.237447633,1.195382896,947.4682954,249.4979053
2006,"T04",16,"Pacific Sleeper Shark",0,0,0,0,0,0,0,0
2006,"T04",16,"Salmon Shark",0,0,0,0,0,0,0,0
2006,"T04",16,"Spiny Dogfish",779.3247474,48.70779671,20.31310017,7398.714321,128.7252697,48.25072112,19553.36846,2059.604315
2006,"T05",27,"Pacific Sleeper Shark",0,0,0,0,0,0,0,0
2006,"T05",27,"Salmon Shark",0,0,0,0,0,0,0,0
2006,"T05",27,"Spiny Dogfish",49.13975616,1.819990969,0.406034302,276.4566282,5.068821058,1.155887758,769.9539187,136.8581686
2007,"T04",16,"Pacific Sleeper Shark",0,0,0,0,0,0,0,0
2007,"T04",16,"Salmon Shark",0,0,0,0,0,0,0,0
2007,"T04",16,"Spiny Dogfish",112.1212476,7.007577976,2.128530428,1064.451095,23.54362419,5.687116983,3576.276514,376.697987
2007,"T05",24,"Pacific Sleeper Shark",0,0,0,0,0,0,0,0
2007,"T05",24,"Salmon Shark",0,0,0,0,0,0,0,0
2007,"T05",24,"Spiny Dogfish",215.3069237,8.971121822,1.726517584,1362.713405,27.6184041,5.013952955,4195.235583,662.8416984
2007,"T06",32,"Pacific Sleeper Shark",2,0.0625,0.041515668,9.49375,6.682814207,4.439580546,1015.119478,213.8500546
2007,"T06",32,"Salmon Shark",0,0,0,0,0,0,0,0
2007,"T06",32,"Spiny Dogfish",27.17421666,0.849194271,0.263320043,128.9926097,2.30109188,0.620139842,349.5358565,73.63494015
2008,"T04",16,"Pacific Sleeper Shark",0,0,0,0,0,0,0,0
2008,"T04",16,"Salmon Shark",0,0,0,0,0,0,0,0
2008,"T04",16,"Spiny Dogfish",71.11719944,4.444824965,1.306638561,675.1689122,24.7841822,7.088905258,3764.717277,396.5469153
2009,"T04",15,"Pacific Sleeper Shark",0,0,0,0,0,0,0,0
2009,"T04",15,"Salmon Shark",0,0,0,0,0,0,0,0
2009,"T04",15,"Spiny Dogfish",0,0,0,0,0,0,0,0
2009,"T06",43,"Pacific Sleeper Shark",0,0,0,0,0,0,0,0
2009,"T06",43,"Salmon Shark",0,0,0,0,0,0,0,0
2009,"T06",43,"Spiny Dogfish",3.020408163,0.07024205,0.039856238,10.66976744,0.157655434,0.094438151,23.94786047,6.779183673
2010,"T05",23,"Pacific Sleeper Shark",0,0,0,0,0,0,0,0
2010,"T05",23,"Salmon Shark",0,0,0,0,0,0,0,0
2010,"T05",23,"Spiny Dogfish",234.1214121,10.17919183,1.454683581,1546.219239,29.13238541,3.693072754,4425.209344,670.0448645
2011,"T04",37,"Pacific Sleeper Shark",0,0,0,0,0,0,0,0
2011,"T04",37,"Salmon Shark",0,0,0,0,0,0,0,0
2011,"T04",37,"Spiny Dogfish",0,0,0,0,0,0,0,0
2011,"T06",43,"Pacific Sleeper Shark",0,0,0,0,0,0,0,0
2011,"T06",43,"Salmon Shark",0,0,0,0,0,0,0,0
2011,"T06",43,"Spiny Dogfish",40.55122301,0.943051698,0.41215919,143.2495529,1.705244716,0.783919387,259.0266724,73.32552279
2012,"T04",37,"Pacific Sleeper Shark",1.914608463,0.051746175,0.05147901,7.860243931,10.86669668,10.81059217,1650.651226,402.0677771
2012,"T04",37,"Salmon Shark",0,0,0,0,0,0,0,0
2012,"T04",37,"Spiny Dogfish",0,0,0,0,0,0,0,0
2012,"T05",23,"Pacific Sleeper Shark",0,0,0,0,0,0,0,0
2012,"T05",23,"Salmon Shark",0,0,0,0,0,0,0,0
2012,"T05",23,"Spiny Dogfish",317.8700157,13.82043547,6.081860701,2099.324147,28.2490931,12.56786871,4291.037242,649.7291413
2013,"T04",37,"Pacific Sleeper Shark",0,0,0,0,0,0,0,0
2013,"T04",37,"Salmon Shark",0,0,0,0,0,0,0,0
2013,"T04",37,"Spiny Dogfish",0,0,0,0,0,0,0,0
2013,"T06",43,"Pacific Sleeper Shark",0,0,0,0,0,0,0,0
2013,"T06",43,"Salmon Shark",0,0,0,0,0,0,0,0
2013,"T06",43,"Spiny Dogfish",0.977326036,0.022728512,0.021696937,3.452461043,0.047729876,0.045563568,7.250168191,2.052384676
2014,"T06",41,"Pacific Sleeper Shark",0,0,0,0,0,0,0,0
2014,"T06",41,"Salmon Shark",0,0,0,0,0,0,0,0
2014,"T06",41,"Spiny Dogfish",104.769288,2.555348489,0.638426113,388.1574354,5.299481921,1.351361042,804.9913038,217.2787588
2015,"T06",43,"Pacific Sleeper Shark",0,0,0,0,0,0,0,0
2015,"T06",43,"Salmon Shark",0,0,0,0,0,0,0,0
2015,"T06",43,"Spiny Dogfish",485.1475823,11.28250191,4.945724076,1713.812041,20.90662392,9.122935487,3175.716174,898.9848287
2017,"T04",38,"Pacific Sleeper Shark",0,0,0,0,0,0,0,0
2017,"T04",38,"Salmon Shark",0,0,0,0,0,0,0,0
2017,"T04",38,"Spiny Dogfish",67.88774338,1.786519563,0.46902712,271.3723216,4.782450498,1.27718918,726.4542306,181.7331189
2017,"T06",43,"Pacific Sleeper Shark",0,0,0,0,0,0,0,0
2017,"T06",43,"Salmon Shark",0,0,0,0,0,0,0,0
2017,"T06",43,"Spiny Dogfish",1.928469494,0.044848128,0.046638958,6.812430607,0.053817753,0.055966749,8.174916728,2.314163392
