"Year","NMFS_Area","Nfish","Type","Species"
"1998","Western",0,"Retained","All Sharks"
"1999","Western",0,"Retained","All Sharks"
"2000","Western",0,"Retained","All Sharks"
"2001","Western",17,"Retained","All Sharks"
"2002","Western",0,"Retained","All Sharks"
"2003","Western",0,"Retained","All Sharks"
"2004","Western",0,"Retained","All Sharks"
"2005","Western",0,"Retained","All Sharks"
"2006","Western",0,"Retained","All Sharks"
"2007","Western",0,"Retained","All Sharks"
"2008","Western",0,"Retained","All Sharks"
"2009","Western",0,"Retained","All Sharks"
"2010","Western",0,"Retained","All Sharks"
"2011","Western",0,"Retained","All Sharks"
"2012","Western",0,"Retained","All Sharks"
"2013","Western",0,"Retained","All Sharks"
"2014","Western",0,"Retained","All Sharks"
"2015","Western",0,"Retained","All Sharks"
"2016","Western",0,"Retained","All Sharks"
"2017","Western",0,"Retained","All Sharks"
"2018","Western",0,"Retained","All Sharks"
"2019","Western",0,"Retained","All Sharks"
"1998","Central",565,"Retained","All Sharks"
"1999","Central",457,"Retained","All Sharks"
"2000","Central",427,"Retained","All Sharks"
"2001","Central",478,"Retained","All Sharks"
"2002","Central",358,"Retained","All Sharks"
"2003","Central",754,"Retained","All Sharks"
"2004","Central",398,"Retained","All Sharks"
"2005","Central",950,"Retained","All Sharks"
"2006","Central",554,"Retained","All Sharks"
"2007","Central",555,"Retained","All Sharks"
"2008","Central",559,"Retained","All Sharks"
"2009","Central",213,"Retained","All Sharks"
"2010","Central",286,"Retained","All Sharks"
"2011","Central",469,"Retained","All Sharks"
"2012","Central",126,"Retained","All Sharks"
"2013","Central",538,"Retained","All Sharks"
"2014","Central",1353,"Retained","All Sharks"
"2015","Central",543,"Retained","All Sharks"
"2016","Central",235,"Retained","All Sharks"
"2017","Central",105,"Retained","All Sharks"
"2018","Central",328,"Retained","All Sharks"
"2019","Central",157,"Retained","All Sharks"
"1998","Eastern",198,"Retained","All Sharks"
"1999","Eastern",216,"Retained","All Sharks"
"2000","Eastern",326,"Retained","All Sharks"
"2001","Eastern",484,"Retained","All Sharks"
"2002","Eastern",228,"Retained","All Sharks"
"2003","Eastern",444,"Retained","All Sharks"
"2004","Eastern",347,"Retained","All Sharks"
"2005","Eastern",633,"Retained","All Sharks"
"2006","Eastern",313,"Retained","All Sharks"
"2007","Eastern",567,"Retained","All Sharks"
"2008","Eastern",358,"Retained","All Sharks"
"2009","Eastern",183,"Retained","All Sharks"
"2010","Eastern",46,"Retained","All Sharks"
"2011","Eastern",62,"Retained","All Sharks"
"2012","Eastern",75,"Retained","All Sharks"
"2013","Eastern",173,"Retained","All Sharks"
"2014","Eastern",748,"Retained","All Sharks"
"2015","Eastern",125,"Retained","All Sharks"
"2016","Eastern",24,"Retained","All Sharks"
"2017","Eastern",50,"Retained","All Sharks"
"2018","Eastern",60,"Retained","All Sharks"
"2019","Eastern",115,"Retained","All Sharks"
"1998","Western",0,"Discarded","All Sharks"
"1999","Western",0,"Discarded","All Sharks"
"2000","Western",0,"Discarded","All Sharks"
"2001","Western",20,"Discarded","All Sharks"
"2002","Western",0,"Discarded","All Sharks"
"2003","Western",30,"Discarded","All Sharks"
"2004","Western",37,"Discarded","All Sharks"
"2005","Western",108,"Discarded","All Sharks"
"2006","Western",0,"Discarded","All Sharks"
"2007","Western",0,"Discarded","All Sharks"
"2008","Western",410,"Discarded","All Sharks"
"2009","Western",0,"Discarded","All Sharks"
"2010","Western",13,"Discarded","All Sharks"
"2011","Western",9,"Discarded","All Sharks"
"2012","Western",7,"Discarded","All Sharks"
"2013","Western",16,"Discarded","All Sharks"
"2014","Western",0,"Discarded","All Sharks"
"2015","Western",0,"Discarded","All Sharks"
"2016","Western",0,"Discarded","All Sharks"
"2017","Western",0,"Discarded","All Sharks"
"2018","Western",0,"Discarded","All Sharks"
"2019","Western",23,"Discarded","All Sharks"
"1998","Central",10300,"Discarded","All Sharks"
"1999","Central",5217,"Discarded","All Sharks"
"2000","Central",8790,"Discarded","All Sharks"
"2001","Central",17159,"Discarded","All Sharks"
"2002","Central",7071,"Discarded","All Sharks"
"2003","Central",23941,"Discarded","All Sharks"
"2004","Central",16261,"Discarded","All Sharks"
"2005","Central",45453,"Discarded","All Sharks"
"2006","Central",38538,"Discarded","All Sharks"
"2007","Central",43615,"Discarded","All Sharks"
"2008","Central",22604,"Discarded","All Sharks"
"2009","Central",19446,"Discarded","All Sharks"
"2010","Central",18424,"Discarded","All Sharks"
"2011","Central",8802,"Discarded","All Sharks"
"2012","Central",6512,"Discarded","All Sharks"
"2013","Central",5859,"Discarded","All Sharks"
"2014","Central",13925,"Discarded","All Sharks"
"2015","Central",10549,"Discarded","All Sharks"
"2016","Central",11072,"Discarded","All Sharks"
"2017","Central",6179,"Discarded","All Sharks"
