species,area_combo,year,area,n_stations,n_pos_catch,area_cpue,boot_area_cpue,boot_bias,boot_sd,boot_lci,boot_uci
Common sharks,FMP (with Inside waters),1998,BSAI,126,27,0.0019014810355836975,0.001911565692907447,1.0084657323749515e-5,3.896310391696135e-4,0.0012401059196250677,0.0028847639170772855
Common sharks,FMP (with Inside waters),1998,CAN,130,116,0.1271759085404323,0.12685390557970636,-3.2200296072593115e-4,0.012137800605992384,0.10528124784234265,0.15213861548223437
Common sharks,FMP (with Inside waters),1998,GOA,775,663,0.07769024287097107,0.07774019786687703,4.9954995905959754e-5,0.004719011538484412,0.06867540908542272,0.08713813276528837
Common sharks,FMP (with Inside waters),1999,BSAI,99,11,0.0019743354657386007,0.001987151826865824,1.2816361127223307e-5,8.168772135132904e-4,8.134315486686299e-4,0.00457858549677834
Common sharks,FMP (with Inside waters),1999,CAN,168,159,0.13008742085532712,0.13005618502255778,-3.123583276934405e-5,0.012443501305310219,0.10652997728210453,0.15759236174802685
Common sharks,FMP (with Inside waters),1999,GOA,772,510,0.040304917024056,0.040488353232558116,1.834362085021135e-4,0.0031921974390924316,0.034530111782272686,0.047150862453450654
Common sharks,FMP (with Inside waters),1999,WC,84,38,0.04723060158502426,0.046964331123170555,-2.6627046185370706e-4,0.012717465753319935,0.02723818745331227,0.07875894955007373
Common sharks,FMP (with Inside waters),2000,BSAI,193,62,0.004045994471451445,0.004034281585541932,-1.171288590951381e-5,5.459837095824392e-4,0.0031522765685450035,0.005444241552996745
Common sharks,FMP (with Inside waters),2000,CAN,130,119,0.10738193883644498,0.1074665352888277,8.459645238272084e-5,0.010592907293306638,0.088384256353492,0.12997821152825823
Common sharks,FMP (with Inside waters),2000,GOA,765,557,0.05446271406692558,0.05458309804004465,1.2038397311907312e-4,0.003542542380553655,0.04758437019994702,0.06157420987365061
Common sharks,FMP (with Inside waters),2001,BSAI,196,25,0.0016944904150166498,0.0016991818848005598,4.691469783909934e-6,3.7616964926325176e-4,0.0010802083623422378,0.002563988388789925
Common sharks,FMP (with Inside waters),2001,CAN,172,158,0.1293334916422858,0.12955138364496419,2.178920026783826e-4,0.009654969269598903,0.11207319779916117,0.149077125697922
Common sharks,FMP (with Inside waters),2001,GOA,753,569,0.08645805113807233,0.08653884308353013,8.079194545780599e-5,0.005017275873655841,0.07688738018121707,0.09689925680827033
Common sharks,FMP (with Inside waters),2001,WC,84,24,0.03172438516914178,0.03150568691913352,-2.1869825000826043e-4,0.008579661593509752,0.017984146154109565,0.05185535452721545
Common sharks,FMP (with Inside waters),2002,BSAI,196,25,0.0016525253178853428,0.001636548012133274,-1.5977305752068764e-5,3.3032773311387e-4,0.0011337856655589487,0.0024831984881834228
Common sharks,FMP (with Inside waters),2002,CAN,171,149,0.10304041474685237,0.10291136776384069,-1.2904698301167972e-4,0.007832384891747068,0.08836051838876982,0.12033416135159779
Common sharks,FMP (with Inside waters),2002,GOA,760,500,0.05663259632254707,0.05657748144902485,-5.5114873522221774e-5,0.00406277093727981,0.04862006786877536,0.06523378844750673
Common sharks,FMP (with Inside waters),2002,WC,84,20,0.030448022008798998,0.030770087523440227,3.220655146412288e-4,0.010049404766912195,0.01515881734995259,0.05538245833617003
Common sharks,FMP (with Inside waters),2003,BSAI,195,35,0.002355367568299733,0.0023502412653510665,-5.1263029486664155e-6,3.9500105337625434e-4,0.0016721876978048691,0.003301228920950403
Common sharks,FMP (with Inside waters),2003,CAN,170,167,0.10193517687479359,0.10195477101925876,1.9594144465173713e-5,0.01049586825532212,0.08302952556398575,0.1259407797241415
Common sharks,FMP (with Inside waters),2003,GOA,764,605,0.11177160121432288,0.11183794959872072,6.634838439784074e-5,0.0057318818900780185,0.10113858947825087,0.12346657534842452
Common sharks,FMP (with Inside waters),2003,WC,84,35,0.03455855490746107,0.034334141858120795,-2.2441304934027462e-4,0.007957089893543596,0.021680514174148846,0.05343062183083633
Common sharks,FMP (with Inside waters),2004,BSAI,196,38,0.0021750501961928857,0.002162781133174404,-1.2269063018481574e-5,3.9999172386140055e-4,0.0015280869326985173,0.0031619456682423336
Common sharks,FMP (with Inside waters),2004,CAN,171,163,0.0850631633223048,0.08460848473516014,-4.5467858714466625e-4,0.010815835717508484,0.06715463824220276,0.10978292357354875
Common sharks,FMP (with Inside waters),2004,GOA,753,475,0.08858848791174086,0.08905961008232728,4.7112217058642436e-4,0.0063417685027193,0.07626032278952143,0.10138884355371611
Common sharks,FMP (with Inside waters),2004,WC,84,27,0.0222588401894234,0.022195330811585024,-6.350937783837496e-5,0.006402661073439687,0.011929970504180848,0.03906023135561338
Common sharks,FMP (with Inside waters),2005,BSAI,198,32,0.0016572488390664685,0.0016728691235314338,1.56202844649653e-5,3.788840091511439e-4,0.0011022993816110817,0.0027433943291953317
Common sharks,FMP (with Inside waters),2005,CAN,169,171,0.12502291779052865,0.12516621618569412,1.4329839516546983e-4,0.008949968661613511,0.10797034402246002,0.14374789234780036
Common sharks,FMP (with Inside waters),2005,GOA,764,547,0.08081158546085372,0.08080672872806154,-4.85673279218557e-6,0.005241170998279747,0.07135801425440573,0.0918830914949435
Common sharks,FMP (with Inside waters),2005,WC,84,42,0.041226981031392836,0.04108349132878782,-1.4348970260501248e-4,0.008606081214937271,0.027434920046122368,0.06411431939908145
Common sharks,FMP (with Inside waters),2006,BSAI,311,30,0.0013889107760974761,0.0013898657550016806,9.549789042044999e-7,2.9021244201831434e-4,9.232405821446709e-4,0.0021122099783685865
Common sharks,FMP (with Inside waters),2006,CAN,171,172,0.13582321870829675,0.13566549835798972,-1.5772035030703346e-4,0.008625302402426852,0.11983927974798267,0.15337373115963698
Common sharks,FMP (with Inside waters),2006,GOA,769,536,0.09040812904281817,0.09054210855923872,1.339795164205515e-4,0.005865070228722873,0.07925549338979687,0.10228187265913798
Common sharks,FMP (with Inside waters),2006,WC,84,24,0.027906944094266768,0.027984269027544445,7.73249332776775e-5,0.008778873844792132,0.01434494668727381,0.05066426553162058
Common sharks,FMP (with Inside waters),2007,BSAI,225,29,0.0015343268136259653,0.0015274005002965337,-6.926313329431609e-6,2.811757452466276e-4,0.0010444343549047468,0.00215980045646866
Common sharks,FMP (with Inside waters),2007,CAN,172,178,0.15439774375135593,0.15455924326222376,1.6149951086782965e-4,0.009124228134261178,0.13684442245054743,0.17223443578652148
Common sharks,FMP (with Inside waters),2007,GOA,774,491,0.08807117917513706,0.0878796133474683,-1.9156582766875763e-4,0.0051173853692237405,0.0788038171843894,0.09891455036507457
Common sharks,FMP (with Inside waters),2007,WC,84,30,0.05887451300827931,0.05890062113847641,2.610813019710001e-5,0.015457887474293185,0.033845639446749086,0.09861394142980355
Common sharks,FMP (with Inside waters),2008,BSAI,225,30,0.0018971303256522878,0.0018871526619380875,-9.977663714200342e-6,3.568835026249877e-4,0.0013113127014518135,0.0027451571011574893
Common sharks,FMP (with Inside waters),2008,CAN,170,171,0.1071874234667102,0.10700668161356178,-1.8074185314842506e-4,0.009854958712239499,0.08854217830401306,0.12719334499199736
Common sharks,FMP (with Inside waters),2008,GOA,773,499,0.06278587827735922,0.06273477864935557,-5.109962800364798e-5,0.004026814635626281,0.055383547169376095,0.07129130134291944
Common sharks,FMP (with Inside waters),2008,WC,82,31,0.04060020772314641,0.040050365327950886,-5.498423951955239e-4,0.010123227130025473,0.02499802852125646,0.06704757629030196
Common sharks,FMP (with Inside waters),2009,BSAI,224,34,0.0015239001953345863,0.0015271795319466385,3.279336612052163e-6,2.8260012232366784e-4,0.001041385212942828,0.002169020749405081
Common sharks,FMP (with Inside waters),2009,CAN,172,182,0.16160850123182974,0.1617219237139648,1.1342248213505601e-4,0.009776497082462676,0.14412683087279157,0.18155955965758316
Common sharks,FMP (with Inside waters),2009,GOA,769,551,0.053466975957530506,0.05344465425447026,-2.2321703060247666e-5,0.0035945362976894913,0.04710683286717352,0.06127726303449379
Common sharks,FMP (with Inside waters),2009,WC,84,47,0.03516422589654967,0.034652021871210414,-5.122040253392537e-4,0.009372527013016463,0.0215130834711411,0.06519612663752553
Common sharks,FMP (with Inside waters),2010,BSAI,223,29,0.001212777873769644,0.0012196599259710632,6.882052201419124e-6,2.5234460119988723e-4,8.178168341588324e-4,0.0018377675165815838
Common sharks,FMP (with Inside waters),2010,CAN,172,174,0.12705525489939917,0.12704159788835134,-1.365701104782957e-5,0.010783005542478248,0.10742596359208945,0.14956849192955732
Common sharks,FMP (with Inside waters),2010,GOA,774,521,0.06715328166481838,0.06719944730052842,4.616563571004095e-5,0.0044931822756620445,0.05882553415503732,0.07668425540905156
Common sharks,FMP (with Inside waters),2010,WC,84,41,0.031042807651495148,0.030896821796011102,-1.4598585548404597e-4,0.007601660556996859,0.019802805251316547,0.0534141899404393
Common sharks,FMP (with Inside waters),2011,BSAI,222,18,6.80468610196567e-4,6.772130984786975e-4,-3.2555117178695433e-6,1.5246203129106072e-4,4.155521415968816e-4,0.0010191901337075861
Common sharks,FMP (with Inside waters),2011,CAN,172,169,0.12722341158347142,0.12719223725734258,-3.117432612884108e-5,0.010250149363504579,0.10758119448175849,0.1485930403342609
Common sharks,FMP (with Inside waters),2011,GOA,771,436,0.04280354663035051,0.04272116821177858,-8.237841857193506e-5,0.002918004153436939,0.03756784333574382,0.049287807756164134
Common sharks,FMP (with Inside waters),2011,WC,134,64,0.05740486128081576,0.057878105487479084,4.73244206663323e-4,0.010037348619080197,0.03934691620396359,0.07816281060764073
Common sharks,FMP (with Inside waters),2012,BSAI,228,10,7.216255702904681e-4,7.226195990967727e-4,9.940288063046022e-7,2.616254556830313e-4,3.328476444701409e-4,0.0014958560922458022
Common sharks,FMP (with Inside waters),2012,CAN,171,171,0.09193901981711715,0.0916727524405782,-2.662673765389534e-4,0.008378533202872848,0.07703049289700242,0.11014708092394897
Common sharks,FMP (with Inside waters),2012,GOA,775,391,0.0593118324625419,0.059420201136002875,1.0836867346097206e-4,0.004149242388799755,0.052026545834297666,0.06817940984554606
Common sharks,FMP (with Inside waters),2012,WC,94,41,0.04151701011748732,0.04162080849314566,1.0379837565833994e-4,0.010441386148190415,0.025415894667964026,0.06866647034542393
Common sharks,FMP (with Inside waters),2013,BSAI,222,16,6.836017326903002e-4,6.783466835425501e-4,-5.255049147750122e-6,1.7330582435358616e-4,4.1708695662205604e-4,0.0011208908706086729
Common sharks,FMP (with Inside waters),2013,CAN,171,154,0.10524409053320924,0.1053086100302808,6.451949707156346e-5,0.00887059333680322,0.0888691476064063,0.12456496598603757
Common sharks,FMP (with Inside waters),2013,GOA,769,415,0.03353513499869925,0.033618508260258986,8.337326155973684e-5,0.002716256190123067,0.028822993166188696,0.03948784505667056
Common sharks,FMP (with Inside waters),2013,WC,110,40,0.02667401428827426,0.02686182525158542,1.8781096331116007e-4,0.007198331737204714,0.015584839384691409,0.04436086586184227
Common sharks,FMP (with Inside waters),2014,BSAI,294,21,7.136454656534593e-4,7.179424216642596e-4,4.296956010800242e-6,1.60929954637922e-4,4.4258866961815785e-4,0.0010821196836004914
Common sharks,FMP (with Inside waters),2014,CAN,172,170,0.07545100174537997,0.07548673210185983,3.573035647985723e-5,0.0073666580293000735,0.06323295364096458,0.09144144266251797
Common sharks,FMP (with Inside waters),2014,GOA,781,413,0.03162893106370542,0.03172630298322996,9.737191952453872e-5,0.0024103161090097153,0.02708671759033019,0.0367090622972735
Common sharks,FMP (with Inside waters),2014,WC,162,57,0.028907699620982302,0.02879792731266121,-1.0977230832109192e-4,0.005915722770877881,0.019865706388513944,0.04443748135604526
Common sharks,FMP (with Inside waters),2015,BSAI,311,14,4.371372215739101e-4,4.378076281590699e-4,6.704065851598326e-7,1.2762270021502605e-4,2.353379272266831e-4,7.936573012418588e-4
Common sharks,FMP (with Inside waters),2015,CAN,172,170,0.05478128409334878,0.05481733332141027,3.6049228061489635e-5,0.004937126117972263,0.04580850127921311,0.06550008930020793
Common sharks,FMP (with Inside waters),2015,GOA,772,419,0.04839622061957038,0.04837009567922027,-2.6124940350105708e-5,0.0038299534402235643,0.041511316778345735,0.05655493516721601
Common sharks,FMP (with Inside waters),2015,WC,96,54,0.032585970315644724,0.03277313368346364,1.871633678189183e-4,0.008132093635214771,0.019604417992382387,0.05451695439674766
Common sharks,FMP (with Inside waters),2016,BSAI,308,17,5.174348652434692e-4,5.193519838822304e-4,1.9171186387611843e-6,1.2657033406349126e-4,2.9978960757907485e-4,8.162836850613326e-4
Common sharks,FMP (with Inside waters),2016,CAN,170,167,0.05681560911688674,0.05687904908098334,6.343996409659963e-5,0.007278596004839935,0.04464940349551607,0.07437101281326652
Common sharks,FMP (with Inside waters),2016,GOA,775,400,0.058396569621052274,0.05850482613262033,1.0825651156805283e-4,0.0044890320848028145,0.049784555973168124,0.06740710555765098
Common sharks,FMP (with Inside waters),2016,WC,95,27,0.022355073788449403,0.021924220963392707,-4.308528250566955e-4,0.006385426190295469,0.012831047693813083,0.03933462767686171
Common sharks,FMP (with Inside waters),2017,BSAI,340,19,9.599692210298027e-4,9.591087951513237e-4,-8.604258784790635e-7,2.6499280128939576e-4,5.752018986825997e-4,0.0016502617584103823
Common sharks,FMP (with Inside waters),2017,CAN,168,161,0.08713233995384767,0.08712477975549078,-7.5601983568901465e-6,0.009439028207229416,0.07154304687086664,0.10939265811070883
