species,area_combo,year,area,n_stations,n_pos_catch,area_cpue,boot_area_cpue,boot_bias,boot_sd,boot_lci,boot_uci
Spiny dogfish,FMP (with Inside waters),1998,BSAI,126,4,2.379680400236276e-4,2.4035182134704705e-4,2.3837813234194364e-6,1.1393511906658512e-4,5.9578606719090466e-5,5.372601047219945e-4
Spiny dogfish,FMP (with Inside waters),1998,CAN,130,114,0.12682858816733839,0.1266002277044578,-2.2836046288057799e-4,0.012059492820565202,0.10599802147422906,0.15468499996542617
Spiny dogfish,FMP (with Inside waters),1998,GOA,775,437,0.07371341433566389,0.07375919269609266,4.5778360428766485e-5,0.005271935345146839,0.06355277671670509,0.08449175004087756
Spiny dogfish,FMP (with Inside waters),1999,BSAI,99,4,2.901520508813539e-4,2.9389492237468157e-4,3.742871493327691e-6,1.421015048627552e-4,7.164749281594926e-5,6.806731007981263e-4
Spiny dogfish,FMP (with Inside waters),1999,CAN,168,153,0.13257073581378975,0.1324135653575069,-1.5717045628285686e-4,0.013465785264062929,0.10924646815375937,0.16309570422389483
Spiny dogfish,FMP (with Inside waters),1999,GOA,772,295,0.03402335909209156,0.033976475470900054,-4.688362119150552e-5,0.0034096305933878704,0.02807236966570661,0.041537354717483134
Spiny dogfish,FMP (with Inside waters),1999,WC,84,36,0.04706018935833133,0.04697931698356121,-8.087237477012038e-5,0.012532476379444064,0.027000679805321816,0.07997109232451212
Spiny dogfish,FMP (with Inside waters),2000,BSAI,193,2,7.676318165229104e-5,7.561532919621717e-5,-1.1478524560738638e-6,5.294504045866848e-5,0,2.690696125820009e-4
Spiny dogfish,FMP (with Inside waters),2000,CAN,130,114,0.10860601065338775,0.10799672373546881,-6.092869179189359e-4,0.010703276333682886,0.09058864211262647,0.133951146909617
Spiny dogfish,FMP (with Inside waters),2000,GOA,765,322,0.04689892342171857,0.04685005937823938,-4.8864043479195096e-5,0.0037547916843998137,0.04011824592979844,0.05489746603675274
Spiny dogfish,FMP (with Inside waters),2001,BSAI,196,4,2.0656940898003154e-4,2.0711730240321574e-4,5.478934231841956e-7,1.0012931822320652e-4,5.228228105345493e-5,5.148002655491595e-4
Spiny dogfish,FMP (with Inside waters),2001,CAN,172,152,0.13102685474908085,0.1313475187111313,3.206639620504381e-4,0.009257343203711188,0.11217118873216504,0.14908858181495244
Spiny dogfish,FMP (with Inside waters),2001,GOA,753,377,0.08169822185392538,0.08150188967849459,-1.963321754307884e-4,0.005181897787479832,0.0720140233119233,0.09277229988687126
Spiny dogfish,FMP (with Inside waters),2001,WC,84,24,0.03172438516914178,0.03170714460213704,-1.724056700473653e-5,0.008503460446144773,0.01743128525249004,0.052157763077854906
Spiny dogfish,FMP (with Inside waters),2002,BSAI,196,0,0,0,0,0,0,0
Spiny dogfish,FMP (with Inside waters),2002,CAN,171,149,0.10304041474685237,0.10293232523072043,-1.0808951613193452e-4,0.0076047075648666895,0.08918151983310661,0.11949318107583314
Spiny dogfish,FMP (with Inside waters),2002,GOA,760,294,0.048085190216685704,0.04818596028303324,1.007700663475386e-4,0.004137162644393802,0.040803134547634734,0.056895315628279555
Spiny dogfish,FMP (with Inside waters),2002,WC,84,19,0.03032907508270087,0.03029349217951979,-3.558290318108129e-5,0.010178830032569159,0.015160878695574314,0.057165536152321055
Spiny dogfish,FMP (with Inside waters),2003,BSAI,195,0,0,0,0,0,0,0
Spiny dogfish,FMP (with Inside waters),2003,CAN,170,162,0.10285239280055603,0.10260459484003329,-2.477979605227387e-4,0.010829758930318668,0.08344012952738432,0.12538703064255247
Spiny dogfish,FMP (with Inside waters),2003,GOA,764,416,0.10458868724830467,0.10445581709038472,-1.3287015791994816e-4,0.006153792390007831,0.09273327231267942,0.11700124699749699
Spiny dogfish,FMP (with Inside waters),2003,WC,84,32,0.03407950284452398,0.03454798609984071,4.684832553167248e-4,0.0079526921244571485,0.020789705811528936,0.052249537001980956
