species,year,FMP_sub_area,RPN_strata,n_stations,n_pos_catch,strata_rpn,boot_strata_rpn,boot_bias,boot_sd,boot_lci,boot_uci,fmp_rpn,fmp_lci,fmp_uci
Spiny dogfish,1998,AI,AI0,21,1,6.222032194581143,6.133307188275986,-0.08872500630515656,6.047430579426774,0,31.31856207229653,10.195639433306557,0,54.177092862457044
Spiny dogfish,1998,AI,AI100,36,1,3.78338548165017,4.0623322450305706,0.2789467633804006,4.006873417082103,0,22.858530790160515,10.195639433306557,0,54.177092862457044
Spiny dogfish,1998,AI,AI200,12,0,0,0,0,0,0,0,10.195639433306557,0,54.177092862457044
Spiny dogfish,1998,AI,AI300500,9,0,0,0,0,0,0,0,10.195639433306557,0,54.177092862457044
Spiny dogfish,1998,BS,BS0,3,2,1886.176932613701,1819.3099306854358,-66.86700192826515,550.3556949511777,0,2380.3824228028507,1819.3099306854358,0,2380.3824228028507
Spiny dogfish,1998,BS,BS100,24,0,0,0,0,0,0,0,1819.3099306854358,0,2380.3824228028507
Spiny dogfish,1998,BS,BS200400,18,0,0,0,0,0,0,0,1819.3099306854358,0,2380.3824228028507
Spiny dogfish,1998,BS,BS400600,3,0,0,0,0,0,0,0,1819.3099306854358,0,2380.3824228028507
Spiny dogfish,1998,CGOA,CG0,124,74,2575.000743112966,2586.6351351973312,11.634392084365118,429.5220727629893,1837.0308722770292,3579.748752881976,6178.160437542544,4409.873123179177,8665.424583510263
Spiny dogfish,1998,CGOA,CG100,181,99,2913.4013879012873,2911.542651257775,-1.8587366435122021,439.4712582612158,2178.46174596187,3961.3588397211397,6178.160437542544,4409.873123179177,8665.424583510263
Spiny dogfish,1998,CGOA,CG200,74,24,683.5921857429265,679.982651087438,-3.6095346554885737,184.27857839158185,394.38050494027806,1124.3169909071478,6178.160437542544,4409.873123179177,8665.424583510263
Spiny dogfish,1998,CGOA,CG300500,9,0,0,0,0,0,0,0,6178.160437542544,4409.873123179177,8665.424583510263
Spiny dogfish,1998,EY/SE,EY/SE0,19,15,1996.5762280497347,1990.5583361362685,-6.017891913466201,416.6156812152699,1241.9202473829898,2866.6508949644513,4124.344048825519,2869.3279300950708,5676.366768730034
Spiny dogfish,1998,EY/SE,EY/SE100,70,67,1905.0569465564524,1900.4149803350094,-4.641966221442999,251.85523480899278,1473.5277327876959,2444.7198035668994,4124.344048825519,2869.3279300950708,5676.366768730034
Spiny dogfish,1998,EY/SE,EY/SE200,24,22,197.6431487026566,197.7942610456615,0.15111234300491105,40.56276400842746,135.94380209022168,311.1775575197761,4124.344048825519,2869.3279300950708,5676.366768730034
Spiny dogfish,1998,EY/SE,EY/SE300500,8,6,35.76936286423644,35.576471308580096,-0.1928915556563453,9.209210653207789,17.936147834163584,53.818512678907474,4124.344048825519,2869.3279300950708,5676.366768730034
Spiny dogfish,1998,WGOA,WG0,64,7,47.01870725299988,47.19750914587036,0.17880189287048154,17.867827272556465,18.853552354042964,90.47792032909682,99.18956758355694,47.32578420577268,188.39247071563142
Spiny dogfish,1998,WGOA,WG100,50,16,45.34628043225239,45.60333704203672,0.2570566097843283,10.532353317739963,28.47223185172971,71.90389905770462,99.18956758355694,47.32578420577268,188.39247071563142
Spiny dogfish,1998,WGOA,WG200,8,1,2.626672579926848,2.5358155062232246,-0.09085707370362339,2.4500346902998067,0,11.477620408098446,99.18956758355694,47.32578420577268,188.39247071563142
Spiny dogfish,1998,WGOA,WG300500,5,1,3.7217577990015513,3.8529058894266295,0.13114809042507813,3.333725126028454,0,14.533030920731534,99.18956758355694,47.32578420577268,188.39247071563142
Spiny dogfish,1998,WY,WY0,19,19,7467.735132260543,7472.581237679376,4.846105418832849,581.5390620594741,6267.647714038545,8511.082503839374,16619.48169458176,13165.60555068775,20373.976401248347
Spiny dogfish,1998,WY,WY100,39,38,8272.04641639605,8267.427691276658,-4.618725119391456,916.8438425287264,6431.778910693832,10087.083605219923,16619.48169458176,13165.60555068775,20373.976401248347
Spiny dogfish,1998,WY,WY200,11,11,852.2791148576513,846.2143480675792,-6.064766790072099,294.8857603752349,449.65691337675656,1731.9355531493825,16619.48169458176,13165.60555068775,20373.976401248347
Spiny dogfish,1998,WY,WY300500,3,3,32.84561403508772,33.25841755814518,0.4128035230574625,7.805695238044951,16.52201257861635,43.874739039665975,16619.48169458176,13165.60555068775,20373.976401248347
Spiny dogfish,1999,AI,AI0,25,0,0,0,0,0,0,0,12.062975194779959,3.1506930812259326,27.639754917090627
Spiny dogfish,1999,AI,AI100,43,4,12.187054382558017,12.062975194779959,-0.12407918777805804,5.713169222646883,3.1506930812259326,27.639754917090627,12.062975194779959,3.1506930812259326,27.639754917090627
Spiny dogfish,1999,AI,AI200,15,0,0,0,0,0,0,0,12.062975194779959,3.1506930812259326,27.639754917090627
Spiny dogfish,1999,AI,AI300500,8,0,0,0,0,0,0,0,12.062975194779959,3.1506930812259326,27.639754917090627
Spiny dogfish,1999,BS,BS0,3,0,0,0,0,0,0,0,0,0,0
Spiny dogfish,1999,BS,BS100,1,0,0,0,0,0,0,0,0,0,0
Spiny dogfish,1999,BS,BS200400,3,0,0,0,0,0,0,0,0,0,0
Spiny dogfish,1999,BS,BS400600,1,0,0,0,0,0,0,0,0,0,0
Spiny dogfish,1999,CGOA,CG0,123,47,1251.781918363696,1241.3244987900068,-10.457419573689094,297.98148255249936,799.8729315184314,2105.295816970584,2437.7819909751092,1624.813162082182,3799.644231877287
Spiny dogfish,1999,CGOA,CG100,181,59,1100.6254090151585,1105.4743834330268,4.848974417868249,198.01647315101147,775.0962823997492,1544.146074932522,2437.7819909751092,1624.813162082182,3799.644231877287
Spiny dogfish,1999,CGOA,CG200,76,15,89.92169356114103,90.98310875207576,1.0614151909347385,24.999727451316094,49.843948164001596,150.20233997418123,2437.7819909751092,1624.813162082182,3799.644231877287
Spiny dogfish,1999,CGOA,CG300500,9,0,0,0,0,0,0,0,2437.7819909751092,1624.813162082182,3799.644231877287
Spiny dogfish,1999,EY/SE,EY/SE0,18,14,1288.8547957894973,1287.140165130132,-1.7146306593654117,351.3453674691982,685.6859997400012,2093.221699526872,2771.908131809377,1656.9628402650014,4295.46927824616
Spiny dogfish,1999,EY/SE,EY/SE100,69,55,1294.8688970302571,1303.4877082209478,8.618811190690622,246.5974082537127,869.7313361000118,1871.2194655393216,2771.908131809377,1656.9628402650014,4295.46927824616
Spiny dogfish,1999,EY/SE,EY/SE200,23,19,166.10704922544156,167.46274496866837,1.3556957432268177,44.84612354672696,99.02334386589816,291.48795739960445,2771.908131809377,1656.9628402650014,4295.46927824616
Spiny dogfish,1999,EY/SE,EY/SE300500,9,3,13.322765989442223,13.817513489629382,0.4947475001871595,8.495587519350243,2.522160559090211,39.540155780361516,2771.908131809377,1656.9628402650014,4295.46927824616
Spiny dogfish,1999,WGOA,WG0,63,1,4.515667750560262,4.389744898117941,-0.12592285244232038,4.411139870149581,0,27.35355316379592,18.342142733399143,0,71.55028370675714
Spiny dogfish,1999,WGOA,WG100,49,2,4.280289223626596,4.256356851272676,-0.023932372353920428,2.994228218221649,0,15.16199546495339,18.342142733399143,0,71.55028370675714
Spiny dogfish,1999,WGOA,WG200,7,2,9.709199582985493,9.696040984008528,-0.013158598976964697,6.287069617884278,0,29.034735078007838,18.342142733399143,0,71.55028370675714
Spiny dogfish,1999,WGOA,WG300500,3,0,0,0,0,0,0,0,18.342142733399143,0,71.55028370675714
Spiny dogfish,1999,WY,WY0,19,19,2682.5014050865707,2682.5389054344128,0.03750034784206946,298.54857087548436,2071.149843562285,3222.4004771278355,5045.591329009512,3198.5805107407577,7530.135012030742
Spiny dogfish,1999,WY,WY100,39,25,1831.1447108324187,1815.7222757450656,-15.422435087353051,425.98149850280134,1104.6126280171984,2856.533311985754,5045.591329009512,3198.5805107407577,7530.135012030742
Spiny dogfish,1999,WY,WY200,10,4,552.3688774558375,547.3301478300342,-5.038729625803285,333.31388808229354,22.81803916127435,1451.2012229171519,5045.591329009512,3198.5805107407577,7530.135012030742
Spiny dogfish,1999,WY,WY300500,4,0,0,0,0,0,0,0,5045.591329009512,3198.5805107407577,7530.135012030742
Spiny dogfish,2000,AI,AI0,32,1,3.964726815948947,4.064401542767606,0.0996747268186593,4.007778470883069,0,23.802275763655008,7.285362067797679,0,42.05483762047018
Spiny dogfish,2000,AI,AI100,45,1,3.0476703029406798,3.2209605250300726,0.17329022208939282,3.125025815332974,0,18.252561856815177,7.285362067797679,0,42.05483762047018
Spiny dogfish,2000,AI,AI200,14,0,0,0,0,0,0,0,7.285362067797679,0,42.05483762047018
Spiny dogfish,2000,AI,AI300500,7,0,0,0,0,0,0,0,7.285362067797679,0,42.05483762047018
Spiny dogfish,2000,BS,BS0,3,0,0,0,0,0,0,0,0,0,0
Spiny dogfish,2000,BS,BS100,56,0,0,0,0,0,0,0,0,0,0
Spiny dogfish,2000,BS,BS200400,29,0,0,0,0,0,0,0,0,0,0
Spiny dogfish,2000,BS,BS400600,7,0,0,0,0,0,0,0,0,0,0
Spiny dogfish,2000,CGOA,CG0,118,47,1918.9164519952565,1927.3716068560273,8.45515486077079,425.9328194169481,1242.4014434723315,2997.154304644642,4553.00849043541,3029.886679112365,6736.242307386488
Spiny dogfish,2000,CGOA,CG100,176,71,2281.838407247325,2285.603321084006,3.7649138366809893,363.14813406667946,1644.2749176758532,3088.0976373627927,4553.00849043541,3029.886679112365,6736.242307386488
Spiny dogfish,2000,CGOA,CG200,74,13,332.8924064706737,340.03356249537615,7.141156024702468,122.97112123024847,143.2103179641805,650.9903653790536,4553.00849043541,3029.886679112365,6736.242307386488
Spiny dogfish,2000,CGOA,CG300500,9,0,0,0,0,0,0,0,4553.00849043541,3029.886679112365,6736.242307386488
Spiny dogfish,2000,EY/SE,EY/SE0,18,13,1087.851910183661,1091.8028217407102,3.9509115570492668,353.08108516087634,470.0061678572225,1935.0703584528858,2858.405957203615,1703.2277925882174,4346.489928478936
Spiny dogfish,2000,EY/SE,EY/SE100,71,62,1486.5789765285642,1495.9518008406897,9.37282431212543,220.4733696729677,1078.3650960212055,1927.6714080044296,2858.405957203615,1703.2277925882174,4346.489928478936
Spiny dogfish,2000,EY/SE,EY/SE200,21,19,252.19135689983173,251.9020986285325,-0.289258271299218,67.69819217524069,151.10694641313955,450.0143101443688,2858.405957203615,1703.2277925882174,4346.489928478936
Spiny dogfish,2000,EY/SE,EY/SE300500,6,3,18.777711489533694,18.74923599368249,-0.028475495851203902,8.10409325486496,3.7495822966498893,33.73385187725191,2858.405957203615,1703.2277925882174,4346.489928478936
Spiny dogfish,2000,WGOA,WG0,66,8,35.6909862367172,35.95028912558766,0.25930288887045805,12.083668892836338,17.763831508052732,66.78861633018249,40.00703765970967,17.763831508052732,81.31024353568968
Spiny dogfish,2000,WGOA,WG100,51,2,4.157889866107318,4.056748534122004,-0.10114133198531405,2.754538927217231,0,14.521627205507182,40.00703765970967,17.763831508052732,81.31024353568968
Spiny dogfish,2000,WGOA,WG200,7,0,0,0,0,0,0,0,40.00703765970967,17.763831508052732,81.31024353568968
Spiny dogfish,2000,WGOA,WG300500,5,0,0,0,0,0,0,0,40.00703765970967,17.763831508052732,81.31024353568968
Spiny dogfish,2000,WY,WY0,19,19,4557.226486280266,4560.096034174817,2.869547894551033,371.2649327070724,3902.1388452439373,5361.573985582154,7339.457301804561,5655.107043879442,9658.838533009968
Spiny dogfish,2000,WY,WY100,38,29,2771.343723513164,2752.3991625383806,-18.9445609747836,601.3883521758438,1746.1817814274104,4229.966537569131,7339.457301804561,5655.107043879442,9658.838533009968
Spiny dogfish,2000,WY,WY200,11,4,27.065061150502878,26.96210509136421,-0.10295605913866623,13.381132078134858,6.786417208094042,67.29800985868387,7339.457301804561,5655.107043879442,9658.838533009968
Spiny dogfish,2000,WY,WY300500,3,0,0,0,0,0,0,0,7339.457301804561,5655.107043879442,9658.838533009968
Spiny dogfish,2001,AI,AI0,27,1,6.610126902934754,6.614353743913535,0.004226840978780899,6.52532929884007,0,39.65823100571393,10.730695289326892,0,60.55889561882151
Spiny dogfish,2001,AI,AI100,44,1,4.175472429950175,4.116341545413357,-0.059130884536817696,4.016906656273335,0,20.90066461310758,10.730695289326892,0,60.55889561882151
Spiny dogfish,2001,AI,AI200,15,0,0,0,0,0,0,0,10.730695289326892,0,60.55889561882151
Spiny dogfish,2001,AI,AI300500,10,0,0,0,0,0,0,0,10.730695289326892,0,60.55889561882151
Spiny dogfish,2001,BS,BS0,3,0,0,0,0,0,0,0,53.21642204495031,0,274.29844378017276
Spiny dogfish,2001,BS,BS100,58,1,50.39412482419836,49.47838596031813,-0.9157388638802288,48.83715691263791,0,251.79709675740986,53.21642204495031,0,274.29844378017276
Spiny dogfish,2001,BS,BS200400,31,1,3.745167714039937,3.7380360846321836,-0.007131629407753248,3.6802609876724817,0,22.50134702276293,53.21642204495031,0,274.29844378017276
Spiny dogfish,2001,BS,BS400600,8,0,0,0,0,0,0,0,53.21642204495031,0,274.29844378017276
Spiny dogfish,2001,CGOA,CG0,127,66,2979.709079406525,2981.1284814041296,1.4194019976048367,499.77769819970365,2165.1094515704344,4183.883290619402,8501.745296654093,6129.409743816347,11773.372047161782
Spiny dogfish,2001,CGOA,CG100,173,89,4632.809868171523,4663.108994625724,30.29912645420154,630.625268321231,3505.7972674534008,6045.298742495102,8501.745296654093,6129.409743816347,11773.372047161782
Spiny dogfish,2001,CGOA,CG200,70,19,859.0705326321684,857.5078206242393,-1.562712007929008,260.46066970350887,458.50302479251235,1544.1900140472783,8501.745296654093,6129.409743816347,11773.372047161782
Spiny dogfish,2001,CGOA,CG300500,7,0,0,0,0,0,0,0,8501.745296654093,6129.409743816347,11773.372047161782
Spiny dogfish,2001,EY/SE,EY/SE0,18,13,1913.3681785574975,1901.6794684915087,-11.688710065988744,487.4013685741472,1066.1703423256138,2939.49442437981,4957.266551985119,3481.2379651784113,6743.413495103276
Spiny dogfish,2001,EY/SE,EY/SE100,66,64,2587.777465995404,2587.917405757194,0.1399397617901741,267.2765916516271,2095.4918144675553,3150.487834353187,4957.266551985119,3481.2379651784113,6743.413495103276
Spiny dogfish,2001,EY/SE,EY/SE200,26,24,426.0387934695499,424.65167405276713,-1.3871194167827525,61.02702852773201,314.1557597329662,551.2757005865009,4957.266551985119,3481.2379651784113,6743.413495103276
Spiny dogfish,2001,EY/SE,EY/SE300500,7,3,43.34355117075809,43.018003683648736,-0.325547487109354,22.506049188564063,5.420048652276193,102.1555357837783,4957.266551985119,3481.2379651784113,6743.413495103276
Spiny dogfish,2001,WGOA,WG0,62,5,33.579033258974576,33.27637449064237,-0.30265876833220773,14.715159022901654,13.37773154737182,73.78871087418841,45.89596680629227,16.523940818855248,105.0608659687865
Spiny dogfish,2001,WGOA,WG100,47,4,12.538575841578526,12.619592315649903,0.08101647407137769,6.0316685195704585,3.1462092714834298,31.272155094598087,45.89596680629227,16.523940818855248,105.0608659687865
Spiny dogfish,2001,WGOA,WG200,7,0,0,0,0,0,0,0,45.89596680629227,16.523940818855248,105.0608659687865
Spiny dogfish,2001,WGOA,WG300500,3,0,0,0,0,0,0,0,45.89596680629227,16.523940818855248,105.0608659687865
Spiny dogfish,2001,WY,WY0,19,19,6304.331364308367,6297.111069256963,-7.220295051403809,431.10726718506845,5425.470202171638,7054.718727478502,12036.335464564761,9583.324204545665,14493.628572484644
Spiny dogfish,2001,WY,WY100,40,34,5232.715500943676,5270.023123223851,37.307622280175565,698.5431177215013,3956.244511781596,6586.6249023398595,12036.335464564761,9583.324204545665,14493.628572484644
Spiny dogfish,2001,WY,WY200,11,7,471.3697507308677,469.2012720839476,-2.168478646920107,162.61237494701095,201.60949059242944,852.2849426662822,12036.335464564761,9583.324204545665,14493.628572484644
Spiny dogfish,2001,WY,WY300500,3,0,0,0,0,0,0,0,12036.335464564761,9583.324204545665,14493.628572484644
Spiny dogfish,2002,AI,AI0,25,0,0,0,0,0,0,0,0,0,0
Spiny dogfish,2002,AI,AI100,42,0,0,0,0,0,0,0,0,0,0
Spiny dogfish,2002,AI,AI200,16,0,0,0,0,0,0,0,0,0,0
Spiny dogfish,2002,AI,AI300500,13,0,0,0,0,0,0,0,0,0,0
Spiny dogfish,2002,BS,BS0,3,0,0,0,0,0,0,0,0,0,0
Spiny dogfish,2002,BS,BS100,59,0,0,0,0,0,0,0,0,0,0
Spiny dogfish,2002,BS,BS200400,31,0,0,0,0,0,0,0,0,0,0
Spiny dogfish,2002,BS,BS400600,7,0,0,0,0,0,0,0,0,0,0
Spiny dogfish,2002,CGOA,CG0,116,43,1754.6808200459627,1747.5617695107683,-7.119050535194447,463.0337632407947,1050.501824287599,3023.7277422542243,3587.2183688354394,2205.0319996029384,6031.638740983591
Spiny dogfish,2002,CGOA,CG100,184,61,1615.9154452084383,1624.9180305199197,9.002585311481425,335.8900421123437,1073.088614749565,2432.9065843625813,3587.2183688354394,2205.0319996029384,6031.638740983591
