"Year","Source","FMP","Survey","Volume"
1977,"Assessment of the sharks in the Gulf of Alaska (Tribuzio et al. 2010)","GOA","AFSC_TWLt",0.14
1978,"Assessment of the sharks in the Gulf of Alaska (Tribuzio et al. 2010)","GOA","AFSC_TWLt",1.44
1979,"Assessment of the sharks in the Gulf of Alaska (Tribuzio et al. 2010)","GOA","AFSC_TWLt",1
1980,"Assessment of the sharks in the Gulf of Alaska (Tribuzio et al. 2010)","GOA","AFSC_TWLt",0.86
1981,"Assessment of the sharks in the Gulf of Alaska (Tribuzio et al. 2010)","GOA","AFSC_TWLt",2.23
1982,"Assessment of the sharks in the Gulf of Alaska (Tribuzio et al. 2010)","GOA","AFSC_TWLt",0.36
1983,"Assessment of the sharks in the Gulf of Alaska (Tribuzio et al. 2010)","GOA","AFSC_TWLt",1.03
1984,"Assessment of the sharks in the Gulf of Alaska (Tribuzio et al. 2010)","GOA","AFSC_TWLt",3.12
1985,"Assessment of the sharks in the Gulf of Alaska (Tribuzio et al. 2010)","GOA","AFSC_TWLt",0.96
1986,"Assessment of the sharks in the Gulf of Alaska (Tribuzio et al. 2010)","GOA","AFSC_TWLt",1.38
1987,"Assessment of the sharks in the Gulf of Alaska (Tribuzio et al. 2010)","GOA","AFSC_TWLt",3.55
1988,"Assessment of the sharks in the Gulf of Alaska (Tribuzio et al. 2010)","GOA","AFSC_TWLt",0.27
1989,"Assessment of the sharks in the Gulf of Alaska (Tribuzio et al. 2010)","GOA","AFSC_TWLt",0.87
1990,"Assessment of the sharks in the Gulf of Alaska (Tribuzio et al. 2010)","GOA","AFSC_TWLt",3.52
1991,"Assessment of the sharks in the Gulf of Alaska (Tribuzio et al. 2010)","GOA","AFSC_TWLt",0.15
1992,"Assessment of the sharks in the Gulf of Alaska (Tribuzio et al. 2010)","GOA","AFSC_TWLt",0.12
1993,"Assessment of the sharks in the Gulf of Alaska (Tribuzio et al. 2010)","GOA","AFSC_TWLt",5.03
1994,"Assessment of the sharks in the Gulf of Alaska (Tribuzio et al. 2010)","GOA","AFSC_TWLt",0.43
1995,"Assessment of the sharks in the Gulf of Alaska (Tribuzio et al. 2010)","GOA","AFSC_TWLt",0.57
1996,"Assessment of the sharks in the Gulf of Alaska (Tribuzio et al. 2010)","GOA","AFSC_TWLt",3.48
1997,"Assessment of the sharks in the Gulf of Alaska (Tribuzio et al. 2010)","GOA","AFSC_TWLt",0.52
1998,"Assessment of the sharks in the Gulf of Alaska (Tribuzio et al. 2010)","GOA","AFSC_TWLt",0.58
2001,"Assessment of the sharks in the Gulf of Alaska (Tribuzio et al. 2010)","GOA","AFSC_TWLt",0.45
2003,"Assessment of the sharks in the Gulf of Alaska (Tribuzio et al. 2010)","GOA","AFSC_TWLt",7.36
2005,"Assessment of the sharks in the Gulf of Alaska (Tribuzio et al. 2010)","GOA","AFSC_TWLt",7.13
