"Year","FMP.Area","NMFS.Area","Trip.Target.Name","Gear","Species","OLD_Catch","NEW_Catch","diff","pdiff"
2010,"GOA",610,"Pacific Cod","HAL","Pacific Sleeper Shark",7.2876088992,9.4943512602,2.206742361,30.28
2010,"GOA",630,"Halibut","HAL","Spiny Dogfish",15.1327113894,17.7906273029,2.6579159135,17.56
2011,"GOA",630,"Flatfish","NPT","Spiny Dogfish",86.3158369986,91.6712322841,5.35539528549999,6.2
2011,"GOA",630,"Halibut","HAL","Spiny Dogfish",25.5060902002,39.3155510538,13.8094608536,54.14
2011,"GOA",650,"Sablefish","HAL","Spiny Dogfish",151.6589896699,159.3948423015,7.73585263160001,5.1
2012,"GOA",620,"Flatfish","NPT","Spiny Dogfish",11.6327330152,13.9555198636,2.3227868484,19.97
2012,"GOA",630,"Flatfish","NPT","Pacific Sleeper Shark",79.7874347802,81.1981462454,1.4107114652,1.77
2012,"GOA",630,"Flatfish","NPT","Spiny Dogfish",85.9037629951,90.3955756793,4.4918126842,5.23
2013,"BSAI",541,"Halibut","HAL","Pacific Sleeper Shark",9.3120545006,12.6622942673,3.3502397667,35.98
2013,"GOA",610,"Halibut","HAL","Spiny Dogfish",22.0456803562,24.4787598677,2.4330795115,11.04
2013,"GOA",620,"Halibut","HAL","Spiny Dogfish",58.6164973316,62.4369289232,3.8204315916,6.52
2013,"INSD",659,"Halibut","HAL","Spiny Dogfish",52.6345075324,63.9835970873,11.3490895549,21.56
2014,"GOA",620,"Pacific Cod","HAL","Spiny Dogfish",15.2184827231,27.3224200833,12.1039373602,79.53
2014,"GOA",630,"Halibut","HAL","Spiny Dogfish",92.8315210962,100.5115727215,7.68005162530001,8.27
2014,"GOA",630,"Pollock","PTR","Salmon Shark",9.2389727884,11.7257846331,2.4868118447,26.92
2015,"GOA",630,"Pollock","NPT","Spiny Dogfish",17.8414754526,19.9417879047,2.1003124521,11.77
2016,"BSAI",513,"Pollock","PTR","Salmon Shark",9.7264519487,19.1738912666,9.4474393179,97.13
2016,"GOA",620,"Pollock","NPT","Spiny Dogfish",9.5345338351,21.8427404631,12.308206628,129.09
2016,"GOA",620,"Sablefish","HAL","Spiny Dogfish",5.5025426742,10.6955305511,5.1929878769,94.37
2016,"GOA",630,"Pollock","NPT","Spiny Dogfish",31.6961343026,38.688426479,6.9922921764,22.06
2016,"GOA",630,"Pollock","PTR","Salmon Shark",78.1326890176,87.5952803623,9.4625913447,12.11
2016,"GOA",640,"Halibut","HAL","Spiny Dogfish",74.8176758026,76.2040037341,1.38632793150001,1.85
2017,"BSAI",509,"Pollock","PTR","Salmon Shark",40.4729859431,45.9842632556,5.5112773125,13.62
2017,"GOA",620,"Halibut","HAL","Spiny Dogfish",45.5143482988,61.7197284774,16.2053801786,35.6
2017,"GOA",620,"Pacific Cod","HAL","Pacific Sleeper Shark",0.1037520883,1.3932855027,1.2895334144,1242.9
2017,"GOA",620,"Pollock","NPT","Spiny Dogfish",16.8474622127,23.6788553589,6.8313931462,40.55
2017,"GOA",630,"Halibut","HAL","Spiny Dogfish",115.7681745776,118.1411112068,2.37293662920001,2.05
2017,"GOA",640,"Halibut","HAL","Spiny Dogfish",114.684909296,150.157018505,35.472109209,30.93
2017,"GOA",650,"Halibut","HAL","Spiny Dogfish",237.4784674779,399.9685813174,162.4901138395,68.42
2017,"INSD",649,"Halibut","HAL","Spiny Dogfish",18.2678923816,20.0223666629,1.7544742813,9.6
