"Year","FMP.Area","NMFS.Area","Species","OLD_Catch","NEW_Catch","diff","pdiff"
2010,"GOA",630,"Spiny Dogfish",202.7185235866,206.2476848894,3.52916130280002,1.74
2011,"GOA",630,"Spiny Dogfish",162.6413858036,181.267475524,18.6260897204,11.45
2012,"GOA",620,"Spiny Dogfish",27.6936093997,30.1291009104,2.4354915107,8.79
2012,"GOA",630,"Pacific Sleeper Shark",79.9990044309,81.4104757677,1.41147133680001,1.76
2012,"GOA",630,"Spiny Dogfish",155.521770438,160.2744448112,4.75267437319999,3.06
2013,"BSAI",541,"Pacific Sleeper Shark",9.6420645006,12.9923042673,3.3502397667,34.75
2013,"GOA",610,"Spiny Dogfish",29.5672577067,32.0056301449,2.4383724382,8.25
2013,"GOA",620,"Spiny Dogfish",112.7432300038,116.5625455693,3.81931556550001,3.39
2013,"GOA",630,"Spiny Dogfish",1303.3825112578,1305.4448551951,2.06234393730006,0.16
2013,"INSD",659,"Spiny Dogfish",104.301832202,109.0501842076,4.7483520056,4.55
2014,"GOA",620,"Spiny Dogfish",151.9544488047,163.0365219765,11.0820731718,7.29
2014,"GOA",630,"Salmon Shark",9.2389727884,11.7257846331,2.4868118447,26.92
2014,"GOA",630,"Spiny Dogfish",612.6751984914,620.391886422,7.71668793059996,1.26
2016,"BSAI",513,"Salmon Shark",11.2776819487,21.5578804175,10.2801984688,91.16
2016,"BSAI",524,"Salmon Shark",0.28731,1.3801620848,1.0928520848,380.37
2016,"GOA",630,"Salmon Shark",78.4853129615,87.9477642322,9.4624512707,12.06
2016,"GOA",640,"Spiny Dogfish",114.0214386274,115.0864888094,1.06505018199999,0.93
2017,"BSAI",509,"Salmon Shark",40.7617159431,46.2728076251,5.511091682,13.52
2017,"GOA",620,"Pacific Sleeper Shark",84.1070352993,85.4272519963,1.32021669700001,1.57
2017,"GOA",620,"Spiny Dogfish",263.787863637,266.1015651205,2.31370148350004,0.88
2017,"GOA",640,"Spiny Dogfish",237.081727006,269.9546821602,32.8729551542,13.87
2017,"GOA",650,"Spiny Dogfish",314.9012583884,471.297324722,156.3960663336,49.67
2017,"INSD",649,"Spiny Dogfish",46.1329405607,47.8664942985,1.7335537378,3.76
