species,area_combo,year,area,n_stations,n_pos_catch,area_cpue,boot_area_cpue,boot_bias,boot_sd,boot_lci,boot_uci
Sleeper shark,FMP (with Inside waters),1998,BSAI,118,20,0.0022930404136463954,0.0023206864383673287,2.7646024720933294e-5,7.175713110506188e-4,0.0013307965020251898,0.004533839083927464
Sleeper shark,FMP (with Inside waters),1998,CAN,130,2,1.1057008542549135e-4,1.1194828716741358e-4,1.3782017419222258e-6,7.870263703522753e-5,0,3.756758960722673e-4
Sleeper shark,FMP (with Inside waters),1998,GOA,772,222,0.007154046507201112,0.007109260079398915,-4.47864278021971e-5,6.741805840757177e-4,0.006048672193728793,0.00875285821178213
Sleeper shark,FMP (with Inside waters),1999,BSAI,99,7,0.0016841834148572468,0.0017097437394243801,2.5560324567133362e-005,8.113559939576878e-4,5.817261222513148e-4,0.0042988819964084974
Sleeper shark,FMP (with Inside waters),1999,CAN,169,6,2.6226323142576364e-4,2.6533325561840164e-4,3.0700241926380012e-6,1.1679209957812927e-4,1.1194445982336807e-4,6.158439467079381e-4
Sleeper shark,FMP (with Inside waters),1999,GOA,771,213,0.007284980649535913,0.007287294538080481,2.313888544568099e-6,6.53788404974368e-4,0.006115409076642157,0.008680359625609042
Sleeper shark,FMP (with Inside waters),1999,WC,84,2,1.7041222669293127e-4,1.6166500012717176e-4,-8.74722656575951e-6,1.1379860836193378e-4,0,5.73128167510481e-4
Sleeper shark,FMP (with Inside waters),2000,BSAI,193,63,0.005313183188818036,0.005306092949399222,-7.090239418814162e-6,0.0010204557766059254,0.0038630392853594713,0.008234736813670561
Sleeper shark,FMP (with Inside waters),2000,CAN,129,5,3.9095482561283916e-4,3.8597000717789957e-4,-4.98481843493959e-6,1.8276576771696624e-4,1.121527794397041e-4,9.077427041046103e-4
Sleeper shark,FMP (with Inside waters),2000,GOA,760,228,0.007645404892261044,0.007639616166500692,-5.788725760352484e-6,6.830054414139173e-4,0.006448008705989038,0.00914516852759703
Sleeper shark,FMP (with Inside waters),2001,BSAI,194,20,0.0014506455093960583,0.0014568614779075725,6.2159685115142135e-6,3.380892503756725e-4,8.799681671734896e-4,0.002236929775145234
Sleeper shark,FMP (with Inside waters),2001,CAN,170,6,3.6119340426667157e-4,3.5819153786633155e-4,-3.0018664003400152e-6,1.432531777779903e-4,1.2292866889367953e-4,7.26102565727064e-4
Sleeper shark,FMP (with Inside waters),2001,GOA,749,190,0.008770342254497621,0.008792843633039822,2.250137854220048e-5,8.254424831865944e-4,0.0071953827016471555,0.01045835240726128
Sleeper shark,FMP (with Inside waters),2001,WC,84,0,0,0,0,0,0,0
Sleeper shark,FMP (with Inside waters),2002,BSAI,196,25,0.0016525253178853428,0.001648680558776717,-3.844759108625811e-6,3.3562497460452406e-4,0.0010796289007724347,0.0023272479735135685
Sleeper shark,FMP (with Inside waters),2002,CAN,171,0,0,0,0,0,0,0
Sleeper shark,FMP (with Inside waters),2002,GOA,758,206,0.009178857062023725,0.009180546414948181,1.6893529244561833e-6,8.288810402833615e-4,0.007640436957437477,0.010925211425823811
Sleeper shark,FMP (with Inside waters),2002,WC,84,1,1.1894692609812814e-4,1.222783717673732e-4,3.331445669245065e-6,1.1902202468452596e-4,0,5.945939018680654e-4
Sleeper shark,FMP (with Inside waters),2003,BSAI,196,35,0.0023467100493386175,0.0023436961853238935,-3.013864014723977e-6,4.002825490186961e-4,0.0016557798066304166,0.003256751476503299
Sleeper shark,FMP (with Inside waters),2003,CAN,170,5,5.960988904215253e-5,5.9619452537857074e-5,9.563495704544337e-9,2.867208288653532e-5,2.2333265908777993e-5,1.56405854704219e-4
Sleeper shark,FMP (with Inside waters),2003,GOA,761,187,0.008405290963077908,0.008413012063972668,7.721100894760025e-6,7.941863121539099e-4,0.007031399147837865,0.010356005088198247
Sleeper shark,FMP (with Inside waters),2003,WC,84,3,4.7905206293708647e-4,4.7864164031656374e-4,-4.1042262052272925e-7,2.9100462936383197e-4,1.1894806768609474e-4,0.0014415632322916112
Sleeper shark,FMP (with Inside waters),2004,BSAI,191,30,0.0019419162395070823,0.0019439602641483148,2.0440246412325048e-6,3.8601968073338327e-4,0.001319735033133198,0.0028717122083491567
Sleeper shark,FMP (with Inside waters),2004,CAN,170,7,1.5757011870282277e-4,1.5710411793518953e-4,-4.660007676332361e-7,7.013294445566191e-5,5.284099502753432e-5,3.688886649769339e-4
Sleeper shark,FMP (with Inside waters),2004,GOA,748,144,0.006546519324083439,0.006542868656075354,-3.650668008084619e-6,7.463820679732036e-4,0.005250348727133139,0.008240179357092368
Sleeper shark,FMP (with Inside waters),2004,WC,83,1,1.0063622219672771e-4,9.842019805975854e-5,-2.216024136969164e-6,9.69149016318752e-5,0,6.052902366684825e-4
