species,year,FMP_sub_area,RPN_strata,n_stations,n_pos_catch,strata_rpn,boot_strata_rpn,boot_bias,boot_sd,boot_lci,boot_uci,fmp_rpn,fmp_lci,fmp_uci
Sleeper shark,1998,AI,AI0,21,1,6.222032194581143,6.408018638578146,0.18598644399700337,6.313902363017143,0,31.178108058601612,13.722188324025506,0,76.87897675102226
Sleeper shark,1998,AI,AI100,36,1,7.56677096330034,7.314169685447361,-0.25260127785297914,7.455929625162538,0,45.70086869242065,13.722188324025506,0,76.87897675102226
Sleeper shark,1998,AI,AI200,11,0,0,0,0,0,0,0,13.722188324025506,0,76.87897675102226
Sleeper shark,1998,AI,AI300500,9,0,0,0,0,0,0,0,13.722188324025506,0,76.87897675102226
Sleeper shark,1998,BS,BS0,3,2,11317.061595682206,10931.666955493298,-385.39464018890794,5159.341088563157,0,17023.65392880023,12156.89925407867,602.9214589101712,19022.991933886733
Sleeper shark,1998,BS,BS100,23,10,1058.6780764678206,1052.2117111929012,-6.466365274919326,290.73705809761736,591.038927320547,1792.7617718010686,12156.89925407867,602.9214589101712,19022.991933886733
Sleeper shark,1998,BS,BS200400,13,5,34.269672949416076,34.249938652380735,-0.019734297035341797,12.998085447323003,11.882531589624174,64.22159359759918,12156.89925407867,602.9214589101712,19022.991933886733
Sleeper shark,1998,BS,BS400600,2,1,142.3546396878346,138.77064874008963,-3.5839909477449794,97.64692189952905,0,142.3546396878346,12156.89925407867,602.9214589101712,19022.991933886733
Sleeper shark,1998,CGOA,CG0,124,25,250.55290461845692,251.5986620120273,1.0457573935703692,77.291775964665,144.4162270107156,481.99002414560545,1085.1961901341194,729.4357890980051,1700.040312372195
Sleeper shark,1998,CGOA,CG100,180,50,384.1141407009624,382.09851774747494,-2.0156229534874797,78.99462330391223,265.2967611598876,598.7779744159527,1085.1961901341194,729.4357890980051,1700.040312372195
Sleeper shark,1998,CGOA,CG200,74,40,447.2332164447393,447.8366286857785,0.6034122410392229,70.18433911511839,319.7228009274019,601.1870173610635,1085.1961901341194,729.4357890980051,1700.040312372195
Sleeper shark,1998,CGOA,CG300500,9,1,3.5899534410226424,3.6623816888387113,0.07242824781606894,3.432225977535704,0,18.085296449573594,1085.1961901341194,729.4357890980051,1700.040312372195
Sleeper shark,1998,EY/SE,EY/SE0,19,0,0,0,0,0,0,0,22.687325904352555,8.892197974494017,48.4704864387351
Sleeper shark,1998,EY/SE,EY/SE100,70,9,19.834284275148793,19.947796988584994,0.11351271343620084,7.601261222037827,8.892197974494017,40.162056211951366,22.687325904352555,8.892197974494017,48.4704864387351
Sleeper shark,1998,EY/SE,EY/SE200,23,2,2.7451015906488734,2.7395289157675604,-0.005572674881312967,1.8501490760215982,0,8.308430226783734,22.687325904352555,8.892197974494017,48.4704864387351
Sleeper shark,1998,EY/SE,EY/SE300500,8,0,0,0,0,0,0,0,22.687325904352555,8.892197974494017,48.4704864387351
Sleeper shark,1998,WGOA,WG0,64,22,223.25256608533675,219.90497110652964,-3.347594978807109,47.92220304137396,150.26842818722355,349.1052333859263,387.9738263749973,252.47453029888345,637.8600981049382
Sleeper shark,1998,WGOA,WG100,49,26,149.7118070086496,149.5284466713549,-0.18336033729468681,31.475391917414964,99.53266012524752,231.9726272009353,387.9738263749973,252.47453029888345,637.8600981049382
