"year","NMFS_Area","Nfish","Type","Species"
1998,"wgoa",0,"Retained","All Sharks"
1998,"cgoa",565,"Retained","All Sharks"
1998,"egoa",198,"Retained","All Sharks"
1999,"wgoa",0,"Retained","All Sharks"
1999,"cgoa",457,"Retained","All Sharks"
1999,"egoa",216,"Retained","All Sharks"
2000,"wgoa",0,"Retained","All Sharks"
2000,"cgoa",427,"Retained","All Sharks"
2000,"egoa",326,"Retained","All Sharks"
2001,"wgoa",17,"Retained","All Sharks"
2001,"cgoa",478,"Retained","All Sharks"
2001,"egoa",484,"Retained","All Sharks"
2002,"wgoa",0,"Retained","All Sharks"
2002,"cgoa",358,"Retained","All Sharks"
2002,"egoa",228,"Retained","All Sharks"
2003,"wgoa",0,"Retained","All Sharks"
2003,"cgoa",754,"Retained","All Sharks"
2003,"egoa",444,"Retained","All Sharks"
2004,"wgoa",0,"Retained","All Sharks"
2004,"cgoa",398,"Retained","All Sharks"
2004,"egoa",347,"Retained","All Sharks"
2005,"wgoa",0,"Retained","All Sharks"
2005,"cgoa",950,"Retained","All Sharks"
2005,"egoa",633,"Retained","All Sharks"
2006,"wgoa",0,"Retained","All Sharks"
2006,"cgoa",554,"Retained","All Sharks"
2006,"egoa",313,"Retained","All Sharks"
2007,"wgoa",0,"Retained","All Sharks"
2007,"cgoa",555,"Retained","All Sharks"
2007,"egoa",567,"Retained","All Sharks"
2008,"wgoa",0,"Retained","All Sharks"
2008,"cgoa",559,"Retained","All Sharks"
2008,"egoa",358,"Retained","All Sharks"
2009,"wgoa",0,"Retained","All Sharks"
2009,"cgoa",213,"Retained","All Sharks"
2009,"egoa",183,"Retained","All Sharks"
2010,"wgoa",0,"Retained","All Sharks"
2010,"cgoa",286,"Retained","All Sharks"
2010,"egoa",46,"Retained","All Sharks"
2011,"wgoa",0,"Retained","All Sharks"
2011,"cgoa",469,"Retained","All Sharks"
2011,"egoa",62,"Retained","All Sharks"
2012,"wgoa",0,"Retained","All Sharks"
2012,"cgoa",126,"Retained","All Sharks"
2012,"egoa",75,"Retained","All Sharks"
2013,"wgoa",0,"Retained","All Sharks"
2013,"cgoa",538,"Retained","All Sharks"
2013,"egoa",173,"Retained","All Sharks"
2014,"wgoa",0,"Retained","All Sharks"
2014,"cgoa",1353,"Retained","All Sharks"
2014,"egoa",748,"Retained","All Sharks"
2015,"wgoa",0,"Retained","All Sharks"
2015,"cgoa",543,"Retained","All Sharks"
2015,"egoa",125,"Retained","All Sharks"
2016,"wgoa",0,"Retained","All Sharks"
2016,"cgoa",235,"Retained","All Sharks"
2016,"egoa",24,"Retained","All Sharks"
2017,"wgoa",0,"Retained","All Sharks"
2017,"cgoa",105,"Retained","All Sharks"
2017,"egoa",50,"Retained","All Sharks"
2018,"wgoa",0,"Retained","All Sharks"
2018,"cgoa",328,"Retained","All Sharks"
2018,"egoa",60,"Retained","All Sharks"
2019,"wgoa",0,"Retained","All Sharks"
2019,"cgoa",157,"Retained","All Sharks"
2019,"egoa",115,"Retained","All Sharks"
2020,"wgoa",0,"Retained","All Sharks"
2020,"cgoa",171,"Retained","All Sharks"
2020,"egoa",89,"Retained","All Sharks"
2021,"wgoa",0,"Retained","All Sharks"
2021,"cgoa",38,"Retained","All Sharks"
2021,"egoa",72,"Retained","All Sharks"
1998,"wgoa",0,"Discarded","All Sharks"
1998,"cgoa",10300,"Discarded","All Sharks"
1998,"egoa",4569,"Discarded","All Sharks"
1999,"wgoa",0,"Discarded","All Sharks"
1999,"cgoa",5217,"Discarded","All Sharks"
1999,"egoa",13202,"Discarded","All Sharks"
2000,"wgoa",0,"Discarded","All Sharks"
2000,"cgoa",8790,"Discarded","All Sharks"
2000,"egoa",16189,"Discarded","All Sharks"
2001,"wgoa",20,"Discarded","All Sharks"
2001,"cgoa",17159,"Discarded","All Sharks"
2001,"egoa",15965,"Discarded","All Sharks"
2002,"wgoa",0,"Discarded","All Sharks"
2002,"cgoa",7071,"Discarded","All Sharks"
2002,"egoa",4539,"Discarded","All Sharks"
2003,"wgoa",30,"Discarded","All Sharks"
2003,"cgoa",23941,"Discarded","All Sharks"
2003,"egoa",11785,"Discarded","All Sharks"
2004,"wgoa",37,"Discarded","All Sharks"
2004,"cgoa",16261,"Discarded","All Sharks"
2004,"egoa",9283,"Discarded","All Sharks"
2005,"wgoa",108,"Discarded","All Sharks"
2005,"cgoa",45453,"Discarded","All Sharks"
2005,"egoa",22797,"Discarded","All Sharks"
2006,"wgoa",0,"Discarded","All Sharks"
2006,"cgoa",38538,"Discarded","All Sharks"
2006,"egoa",19565,"Discarded","All Sharks"
2007,"wgoa",0,"Discarded","All Sharks"
2007,"cgoa",43615,"Discarded","All Sharks"
2007,"egoa",31004,"Discarded","All Sharks"
2008,"wgoa",410,"Discarded","All Sharks"
2008,"cgoa",22604,"Discarded","All Sharks"
2008,"egoa",29069,"Discarded","All Sharks"
2009,"wgoa",0,"Discarded","All Sharks"
2009,"cgoa",19446,"Discarded","All Sharks"
2009,"egoa",13255,"Discarded","All Sharks"
2010,"wgoa",13,"Discarded","All Sharks"
2010,"cgoa",18424,"Discarded","All Sharks"
2010,"egoa",11004,"Discarded","All Sharks"
2011,"wgoa",9,"Discarded","All Sharks"
2011,"cgoa",8802,"Discarded","All Sharks"
2011,"egoa",4808,"Discarded","All Sharks"
2012,"wgoa",7,"Discarded","All Sharks"
2012,"cgoa",6512,"Discarded","All Sharks"
2012,"egoa",6536,"Discarded","All Sharks"
2013,"wgoa",16,"Discarded","All Sharks"
2013,"cgoa",5859,"Discarded","All Sharks"
2013,"egoa",5175,"Discarded","All Sharks"
2014,"wgoa",0,"Discarded","All Sharks"
2014,"cgoa",13925,"Discarded","All Sharks"
2014,"egoa",14084,"Discarded","All Sharks"
2015,"wgoa",0,"Discarded","All Sharks"
2015,"cgoa",10549,"Discarded","All Sharks"
2015,"egoa",9226,"Discarded","All Sharks"
2016,"wgoa",0,"Discarded","All Sharks"
2016,"cgoa",11072,"Discarded","All Sharks"
2016,"egoa",5079,"Discarded","All Sharks"
2017,"wgoa",0,"Discarded","All Sharks"
2017,"cgoa",6179,"Discarded","All Sharks"
2017,"egoa",3316,"Discarded","All Sharks"
2018,"wgoa",0,"Discarded","All Sharks"
2018,"cgoa",12351,"Discarded","All Sharks"
2018,"egoa",5114,"Discarded","All Sharks"
2019,"wgoa",23,"Discarded","All Sharks"
2019,"cgoa",7182,"Discarded","All Sharks"
2019,"egoa",4280,"Discarded","All Sharks"
2020,"wgoa",0,"Discarded","All Sharks"
2020,"cgoa",4918,"Discarded","All Sharks"
2020,"egoa",4662,"Discarded","All Sharks"
2021,"wgoa",0,"Discarded","All Sharks"
2021,"cgoa",5219,"Discarded","All Sharks"
2021,"egoa",6399,"Discarded","All Sharks"
1998,"wgoa",0,"Retained","Salmon Shark"
1998,"cgoa",84,"Retained","Salmon Shark"
1998,"egoa",122,"Retained","Salmon Shark"
1999,"wgoa",NA,"Retained","Salmon Shark"
1999,"cgoa",NA,"Retained","Salmon Shark"
1999,"egoa",NA,"Retained","Salmon Shark"
2000,"wgoa",0,"Retained","Salmon Shark"
2000,"cgoa",99,"Retained","Salmon Shark"
2000,"egoa",76,"Retained","Salmon Shark"
2001,"wgoa",1,"Retained","Salmon Shark"
2001,"cgoa",85,"Retained","Salmon Shark"
2001,"egoa",98,"Retained","Salmon Shark"
2002,"wgoa",0,"Retained","Salmon Shark"
2002,"cgoa",90,"Retained","Salmon Shark"
2002,"egoa",110,"Retained","Salmon Shark"
2003,"wgoa",0,"Retained","Salmon Shark"
2003,"cgoa",97,"Retained","Salmon Shark"
2003,"egoa",86,"Retained","Salmon Shark"
2004,"wgoa",1,"Retained","Salmon Shark"
2004,"cgoa",56,"Retained","Salmon Shark"
2004,"egoa",103,"Retained","Salmon Shark"
2005,"wgoa",3,"Retained","Salmon Shark"
2005,"cgoa",38,"Retained","Salmon Shark"
2005,"egoa",202,"Retained","Salmon Shark"
2006,"wgoa",1,"Retained","Salmon Shark"
2006,"cgoa",37,"Retained","Salmon Shark"
2006,"egoa",246,"Retained","Salmon Shark"
2007,"wgoa",0,"Retained","Salmon Shark"
2007,"cgoa",37,"Retained","Salmon Shark"
2007,"egoa",207,"Retained","Salmon Shark"
2008,"wgoa",0,"Retained","Salmon Shark"
2008,"cgoa",13,"Retained","Salmon Shark"
2008,"egoa",81,"Retained","Salmon Shark"
2009,"wgoa",0,"Retained","Salmon Shark"
2009,"cgoa",13,"Retained","Salmon Shark"
2009,"egoa",50,"Retained","Salmon Shark"
2010,"wgoa",0,"Retained","Salmon Shark"
2010,"cgoa",7,"Retained","Salmon Shark"
2010,"egoa",20,"Retained","Salmon Shark"
2011,"wgoa",0,"Retained","Salmon Shark"
2011,"cgoa",7,"Retained","Salmon Shark"
2011,"egoa",1,"Retained","Salmon Shark"
2012,"wgoa",0,"Retained","Salmon Shark"
2012,"cgoa",10,"Retained","Salmon Shark"
2012,"egoa",11,"Retained","Salmon Shark"
2013,"wgoa",0,"Retained","Salmon Shark"
2013,"cgoa",4,"Retained","Salmon Shark"
2013,"egoa",3,"Retained","Salmon Shark"
2014,"wgoa",0,"Retained","Salmon Shark"
2014,"cgoa",5,"Retained","Salmon Shark"
2014,"egoa",17,"Retained","Salmon Shark"
2015,"wgoa",0,"Retained","Salmon Shark"
2015,"cgoa",14,"Retained","Salmon Shark"
2015,"egoa",10,"Retained","Salmon Shark"
2016,"wgoa",0,"Retained","Salmon Shark"
2016,"cgoa",7,"Retained","Salmon Shark"
2016,"egoa",3,"Retained","Salmon Shark"
2017,"wgoa",0,"Retained","Salmon Shark"
2017,"cgoa",9,"Retained","Salmon Shark"
2017,"egoa",8,"Retained","Salmon Shark"
2018,"wgoa",0,"Retained","Salmon Shark"
2018,"cgoa",8,"Retained","Salmon Shark"
2018,"egoa",6,"Retained","Salmon Shark"
2019,"wgoa",1,"Retained","Salmon Shark"
2019,"cgoa",14,"Retained","Salmon Shark"
2019,"egoa",7,"Retained","Salmon Shark"
2020,"wgoa",0,"Retained","Salmon Shark"
2020,"cgoa",7,"Retained","Salmon Shark"
2020,"egoa",8,"Retained","Salmon Shark"
2021,"wgoa",1,"Retained","Salmon Shark"
2021,"cgoa",14,"Retained","Salmon Shark"
2021,"egoa",18,"Retained","Salmon Shark"
