species,area_combo,survey_year,area,n_stations,n_pos_catch,area_cpue,boot_area_cpue,boot_bias,boot_sd,boot_lci,boot_uci,akfin_load_date
Spiny dogfish,FMP (without Inside waters),1999,BSAI,99,4,2.90152050881354e-4,2.84797984965767e-4,-5.35406591558663e-6,1.38707938610965e-4,7.1912504100555e-5,6.67166690759723e-4,2022-07-22T00:15:30Z
Spiny dogfish,FMP (without Inside waters),1999,CAN,169,154,0.132427619143773,0.132102386444571,-3.2523269920259e-4,0.013130424599911,0.107945140949358,0.159898371235238,2022-07-22T00:15:30Z
Spiny dogfish,FMP (without Inside waters),1999,GOA,701,264,0.0352380646892115,0.0353677558337721,1.29691144560594e-4,0.00359682305260959,0.0289017913527533,0.0434397125768634,2022-07-22T00:15:30Z
Spiny dogfish,FMP (without Inside waters),1999,WC,84,36,0.0470601893583313,0.047751409538992,6.91220180660701e-4,0.0127116670974156,0.0264128333233371,0.0794878691973034,2022-07-22T00:15:30Z
Spiny dogfish,FMP (without Inside waters),2000,BSAI,193,2,7.68053643316671e-5,7.9510162093218e-5,2.70479776155086e-6,5.42580506515664e-5,0,2.67931207153535e-4,2022-07-22T00:15:30Z
Spiny dogfish,FMP (without Inside waters),2000,CAN,129,114,0.10884724705807,0.107872839818651,-9.74407239419398e-4,0.0103932803813925,0.0920001662222901,0.133656793201223,2022-07-22T00:15:30Z
Spiny dogfish,FMP (without Inside waters),2000,GOA,688,286,0.0482832317735565,0.0482624119065353,-2.08198670211199e-5,0.00404469045798926,0.0413421826654798,0.057025800307104,2022-07-22T00:15:30Z
Spiny dogfish,FMP (without Inside waters),2001,BSAI,194,4,2.08654491077515e-4,2.10582560581262e-4,1.92806950374629e-6,1.01204046256302e-4,5.28056300898888e-5,5.18716591556925e-4,2022-07-22T00:15:30Z
Spiny dogfish,FMP (without Inside waters),2001,CAN,170,151,0.132518294797204,0.132504506640529,-1.37881566747156e-5,0.00985220923309286,0.114209544265442,0.153089768431518,2022-07-22T00:15:30Z
Spiny dogfish,FMP (without Inside waters),2001,GOA,682,345,0.0862204874520604,0.0865501852973728,3.29697845312435e-4,0.00562971348788623,0.0756043843295604,0.0981220240933795,2022-07-22T00:15:30Z
Spiny dogfish,FMP (without Inside waters),2001,WC,84,24,0.0317243851691418,0.031641664944644,-8.27202244977621e-5,0.00852140517505085,0.0179131399390896,0.053056218679075,2022-07-22T00:15:30Z
Spiny dogfish,FMP (without Inside waters),2002,BSAI,196,0,0,0,0,0,0,0,2022-07-22T00:15:30Z
Spiny dogfish,FMP (without Inside waters),2002,CAN,171,149,0.103040414746852,0.102947905476191,-9.25092706610953e-5,0.00778832327974517,0.0880315596917701,0.117935388813166,2022-07-22T00:15:30Z
Spiny dogfish,FMP (without Inside waters),2002,GOA,688,271,0.0516577687493437,0.0514990377178778,-1.58731031465853e-4,0.00477294740460132,0.043006636201404,0.0615375686340232,2022-07-22T00:15:30Z
Spiny dogfish,FMP (without Inside waters),2002,WC,84,19,0.0303290750827009,0.030273670764116,-5.54043185849139e-5,0.0102366956835524,0.0142725225481001,0.0558062524646153,2022-07-22T00:15:30Z
Spiny dogfish,FMP (without Inside waters),2003,BSAI,196,0,0,0,0,0,0,0,2022-07-22T00:15:30Z
Spiny dogfish,FMP (without Inside waters),2003,CAN,170,162,0.102852392800556,0.10305054283095,1.98150030393876e-4,0.0108084387233537,0.0836830744748948,0.127778387982072,2022-07-22T00:15:30Z
Spiny dogfish,FMP (without Inside waters),2003,GOA,696,388,0.110567452713461,0.110263434679507,-3.04018033954134e-4,0.00660577935277721,0.0989237514236107,0.12499274853058,2022-07-22T00:15:30Z
Spiny dogfish,FMP (without Inside waters),2003,WC,84,32,0.034079502844524,0.0339830104413379,-9.64924031860923e-5,0.00801191005486134,0.0208623473786249,0.0530983829262389,2022-07-22T00:15:30Z
Spiny dogfish,FMP (without Inside waters),2004,BSAI,191,6,1.57574612102481e-4,1.58375889289003e-4,8.01277186522414e-7,7.62860258691353e-5,5.32846883263678e-5,4.01744874980327e-4,2022-07-22T00:15:30Z
Spiny dogfish,FMP (without Inside waters),2004,CAN,170,153,0.088884928793313,0.089247969383642,3.63040590329031e-4,0.0109811054833289,0.0699932674839475,0.112735190364459,2022-07-22T00:15:30Z
Spiny dogfish,FMP (without Inside waters),2004,GOA,679,299,0.0908311502479071,0.0906486795982828,-1.82470649624275e-4,0.00696795554755163,0.0777457312268736,0.105012176698691,2022-07-22T00:15:30Z
Spiny dogfish,FMP (without Inside waters),2004,WC,83,25,0.0223241331699001,0.0223058755518159,-1.82576180841713e-5,0.00653839713604694,0.0119414675362766,0.0382034533885275,2022-07-22T00:15:30Z
