survey,year,strata,species_code,haul_count,catch_count,biomass,biomass_var,cv,se,bio_ll,bio_ul
GOA,2011,EASTERN GOA,232,124,0,0,0,0,0,0,0
GOA,2011,EASTERN GOA,320,124,0,0,0,0,0,0,0
GOA,1999,WESTERN GOA,232,147,0,0,0,0,0,0,0
GOA,1990,EASTERN GOA,320,202,1,172.9,29882.3883387262,0.9997989110655325,172.86523172323058,-165.91585417753194,511.7158541775319
GOA,2007,EASTERN GOA,232,141,2,12339.7,86020409.3124652,0.7516162326959931,9274.718826598746,-5838.748900133542,30518.148900133543
GOA,2015,WESTERN GOA,310,189,6,219.7,9757.17646544797,0.4496059219463088,98.77842105160403,26.094294738856092,413.3057052611439
GOA,1999,CENTRAL GOA,310,414,84,16215.8,4644153.6564183,0.1328969184665795,2155.0298504703596,11991.941493078095,20439.658506921904
GOA,2009,CENTRAL GOA,310,470,91,11156.8,3744030.04401866,0.17343231241231014,1934.9496231216615,7364.298738681543,14949.301261318455
GOA,1987,EASTERN GOA,232,160,0,0,0,0,0,0,0
GOA,1987,EASTERN GOA,310,160,49,7859.3,6923187.07615656,0.3347874480098174,2631.1949901435582,2702.157819318626,13016.442180681373
GOA,1987,EASTERN GOA,320,160,0,0,0,0,0,0,0
GOA,1987,WESTERN GOA,232,177,3,1051.3,443501.660038021,0.6334625729888724,665.9592029832015,-253.98003784707498,2356.580037847075
GOA,2013,CENTRAL GOA,310,313,25,19307.1,65072294.2457329,0.4178121002700525,8066.74000112393,3496.2895977970966,35117.9104022029
GOA,2003,CENTRAL GOA,310,420,133,59854.8,408324059.973127,0.3376008267369785,20207.0299641765,20249.021270214063,99460.57872978595
GOA,1990,WESTERN GOA,310,135,7,305.5,25660.7313002463,0.5243524480814394,160.18967288887976,-8.471758862204297,619.4717588622043
GOA,2013,WESTERN GOA,310,136,5,203.5,9029.36348765062,0.46694330687582003,95.02296294922938,17.254992619510404,389.7450073804896
GOA,2003,CENTRAL GOA,232,420,1,1756.4,3085092.16760727,1.0000245070742724,1756.443044225252,-1686.2283666814938,5199.028366681494
GOA,2003,CENTRAL GOA,320,420,18,38726.5,118530934.595412,0.2811302676163869,10887.191308846006,17387.60503466183,60065.39496533817
GOA,1990,WESTERN GOA,320,135,0,0,0,0,0,0,0
GOA,1987,CENTRAL GOA,232,446,12,11571.2,49959283.1939634,0.610843137489595,7068.188112519601,-2282.448700538418,25424.84870053842
GOA,1987,CENTRAL GOA,310,446,41,1592.2,448064.112223505,0.4204094413335376,669.3759124912585,280.22321151713345,2904.176788482867
GOA,2013,EASTERN GOA,232,99,0,0,0,0,0,0,0
GOA,2003,EASTERN GOA,232,159,0,0,0,0,0,0,0
GOA,1990,CENTRAL GOA,232,371,10,9811.9,11520723.427268,0.34592883324573437,3394.219118923821,3159.2305269093104,16464.56947309069
GOA,1990,CENTRAL GOA,310,371,59,15390.9,50846791.5640529,0.4633058251518408,7130.693624329467,1414.7404963142453,29367.059503685756
GOA,1987,CENTRAL GOA,320,446,6,919.2,202443.57142559,0.4894879212527207,449.9372972155009,37.322897457618296,1801.077102542382
GOA,2013,CENTRAL GOA,320,313,5,38288.7,342338600.483218,0.48323381187393893,18502.394452697685,2024.0068727125326,74553.39312728746
GOA,2013,EASTERN GOA,310,99,28,140873.7,4140256292.22758,0.4567554011303292,64344.82335221366,14757.846229661242,266989.55377033877
GOA,1990,WESTERN GOA,232,135,0,0,0,0,0,0,0
GOA,1993,WESTERN GOA,310,170,7,158,4568.07934140631,0.42776941740555224,67.58756795007726,25.528366817848564,290.47163318215144
GOA,2013,WESTERN GOA,232,136,0,0,0,0,0,0,0
GOA,2003,EASTERN GOA,310,159,69,38809.9,57703578.4704146,0.1957306550735664,7596.287150339605,23921.177185334374,53698.62281466563
GOA,1990,CENTRAL GOA,320,371,2,1478.5,1156345.42505407,0.7273148658868577,1075.335029213719,-629.1566572588895,3586.1566572588895
GOA,1993,EASTERN GOA,320,192,4,1155.2,415929.085378937,0.5582805083921287,644.9256432945871,-108.8542608573905,2419.2542608573904
GOA,2003,WESTERN GOA,310,230,2,79.1,3133.75062512381,0.7077106535154315,55.97991269307063,-30.620628878418444,188.82062887841843
GOA,1993,WESTERN GOA,232,170,0,0,0,0,0,0,0
GOA,1996,EASTERN GOA,320,214,2,3003.1,4513042.22595269,0.7073997540998787,2124.3922015373455,-1160.708715013197,7166.908715013196
GOA,1996,WESTERN GOA,320,200,0,0,0,0,0,0,0
GOA,1996,CENTRAL GOA,232,393,0,0,0,0,0,0,0
GOA,2013,EASTERN GOA,320,99,0,0,0,0,0,0,0
GOA,2013,WESTERN GOA,320,136,1,2559.4,6550447.60463833,0.9999938359468028,2559.384223722247,-2456.9930784956036,7575.793078495604
GOA,1999,CENTRAL GOA,232,414,0,0,0,0,0,0,0
GOA,2009,EASTERN GOA,310,157,76,16536.1,7357748.32423197,0.1640360769562086,2712.516972155561,11219.566734575099,21852.633265424898
GOA,2011,WESTERN GOA,310,163,0,0,0,0,0,0,0
GOA,2011,CENTRAL GOA,310,383,60,15677.8,25949327.6583995,0.3249211151022517,5094.048258350082,5693.4654136338395,25662.13458636616
GOA,2009,EASTERN GOA,320,157,0,0,0,0,0,0,0
GOA,1999,CENTRAL GOA,320,414,7,9536.8,40202017.2768387,0.6648462874538499,6340.506074189875,-2890.591905412155,21964.191905412154
GOA,1999,WESTERN GOA,310,147,3,182.1,14918.6706155267,0.6707414060162517,122.14201003555942,-57.298339669696475,421.49833966969646
GOA,2001,CENTRAL GOA,320,350,11,28023.4,149954087.166823,0.4369767475359169,12245.574186898015,4022.074593679892,52024.72540632011
GOA,2001,CENTRAL GOA,232,350,0,0,0,0,0,0,0
GOA,2001,WESTERN GOA,310,139,4,246.9,16895.1586282704,0.5264535358677094,129.98137800573744,-7.863500891245366,501.66350089124535
