Year,pkEvent_ID,Station,Survey,Date,ET_X,ET_Y,Quad,Set_Time_Start,Set_Time_End,Pull_Time_Start,Pull_Time_End,Depth_m_Avg,Salmon_Shark,Spiny_Dogfish,Sleeper_Shark
1997,1997L01001,L19,Prince William Sound Longline Survey,9/3/1997,-147.12375,60.81208,NW,30900,32100,47700,54600,441,0,0,0
1997,1997L01002,M19,Prince William Sound Longline Survey,9/3/1997,-147.119,60.77033,NW,33960,34500,60000,64800,441,0,0,0
1997,1997L01003,L18,Prince William Sound Longline Survey,9/4/1997,-147.21908,60.81642,NW,32100,32820,46500,51300,399,0,0,0
1997,1997L01004,M17,Prince William Sound Longline Survey,9/4/1997,-147.29933,60.75875,NW,35460,36120,54900,58800,411.5,0,0,0
1997,1997L01005,M15,Prince William Sound Longline Survey,9/5/1997,-147.462,60.77333,NW,33600,34260,49200,53700,473,0,0,0
1997,1997L01006,M13,Prince William Sound Longline Survey,9/5/1997,-147.60717,60.76675,NW,40920,41520,58500,62100,590,0,0,0
1997,1997L01007,X13,Prince William Sound Longline Survey,9/6/1997,-147.61367,60.322,SW,39180,39960,52200,55800,206.5,0,0.405953992,0
1997,1997L01008,V14,Prince William Sound Longline Survey,9/6/1997,-147.5265,60.44625,SW,44820,45540,59100,62700,195,0,1.082543978,0
1997,1997L01009,I14,Prince William Sound Longline Survey,9/7/1997,-147.56267,60.93408,NW,31080,31800,45900,48900,309,0,0,0
1997,1997L01010,J15,Prince William Sound Longline Survey,9/7/1997,-147.477,60.89783,NW,34800,35520,52200,56100,429.5,0,0,0
1997,1997L01011,Z13,Prince William Sound Longline Survey,9/10/1997,-147.649,60.2355,SW,30840,31560,46200,49980,265,0,0.674763833,0
1997,1997L01012,AB12,Prince William Sound Longline Survey,9/10/1997,-147.67967,60.15067,SW,33360,34080,52500,57480,223.5,0,2.578018996,0
1997,1997L01013,AD12,Prince William Sound Longline Survey,9/10/1997,-147.73917,60.0645,SW,36600,37500,60240,64920,279.5,0,6.199460916,0
1997,1997L01014,AA10,Prince William Sound Longline Survey,9/11/1997,-147.89483,60.19925,SW,33600,34380,49080,52500,419,0,0,0
1997,1997L01015,AC10,Prince William Sound Longline Survey,9/11/1997,-147.84492,60.11183,SW,36600,37200,55320,58200,269,0,0.93708166,0
1997,1997L01016,Z8,Prince William Sound Longline Survey,9/11/1997,-148.06483,60.23225,SW,42540,43140,61440,66900,485.5,0,0,0
1997,1997L01017,Y7,Prince William Sound Longline Survey,9/12/1997,-148.145,60.27158,SW,31860,32520,45420,48600,333.5,0,0,0
1997,1997L01018,Y8,Prince William Sound Longline Survey,9/12/1997,-148.00617,60.272,SW,35580,36240,51480,54900,585.5,0,0,0
1997,1997L01019,Y9,Prince William Sound Longline Survey,9/12/1997,-147.97033,60.27992,SW,38460,39060,57600,60300,593.5,0,0,0
1997,1997L01020,V9,Prince William Sound Longline Survey,9/13/1997,-147.93675,60.39808,SW,32040,32700,48900,52200,378.5,0,0,0
1997,1997L01021,V10,Prince William Sound Longline Survey,9/13/1997,-147.90467,60.40542,SW,34200,34860,54900,58500,351,0,0,0
1997,1997L01022,X9,Prince William Sound Longline Survey,9/13/1997,-147.98608,60.30667,SW,38580,39240,65400,69120,529,0,0,0
1997,1997L01023,R12,Prince William Sound Longline Survey,9/14/1997,-147.70467,60.56575,NW,27360,28020,45900,49200,724.5,0,0,0
1997,1997L01024,O13,Prince William Sound Longline Survey,9/16/1997,-147.65267,60.68242,NW,33600,34260,48240,51600,721,0,0,0
1997,1997L01025,P12,Prince William Sound Longline Survey,9/16/1997,-147.72567,60.64642,NW,36180,36960,55260,55380,752,0,0,0
1997,1997L01026,S10,Prince William Sound Longline Survey,9/17/1997,-147.89567,60.53742,NW,34200,34860,47100,50400,617,0,0,0
1997,1997L01027,R10,Prince William Sound Longline Survey,9/17/1997,-147.89558,60.54833,NW,39420,40200,52980,56100,556.5,0,0,0
1997,1997L01028,S11,Prince William Sound Longline Survey,9/17/1997,-147.80458,60.53758,NW,42060,42780,60180,63480,736.5,0,0,0
1997,1997L01029,Q7,Prince William Sound Longline Survey,9/18/1997,-148.12592,60.60783,NW,34500,35160,49440,52320,390.5,0,0.134408602,0
1997,1997L01030,S5,Prince William Sound Longline Survey,9/18/1997,-148.28308,60.52658,NW,39000,39660,57240,60300,528.5,0,0,0
1997,1997L01031,M2,Prince William Sound Longline Survey,9/19/1997,-148.54725,60.76342,NW,35820,36360,49560,52740,362.5,0,0,0
1997,1997L01032,M3,Prince William Sound Longline Survey,9/19/1997,-148.442,60.78067,NW,39540,40080,54900,58740,307,0,0.269541779,0
1997,1997L01033,J7,Prince William Sound Longline Survey,9/20/1997,-148.13958,60.90517,NW,32940,33480,47580,51180,397,0,0,0
1997,1997L01034,K6,Prince William Sound Longline Survey,9/20/1997,-148.18783,60.85242,NW,36180,36780,53700,58080,421,0,0,0
1998,1998L01001,P24,Prince William Sound Longline Survey,9/3/1998,-146.73358,60.63817,NE,31980,32580,46560,51960,213.5,0,38.68808568,0.267737617
1998,1998L01002,R23,Prince William Sound Longline Survey,9/3/1998,-146.79467,60.56275,NE,35880,36420,57060,62100,434,0,5.898123324,0.268096515
1998,1998L01003,T24,Prince William Sound Longline Survey,9/3/1998,-146.72608,60.47992,SE,40080,40680,67200,72480,231,0.13368984,51.73796791,0.267379679
1998,1998L01004,W23,Prince William Sound Longline Survey,9/4/1998,-146.79275,60.356,SE,33720,34320,46440,51960,293,0,18.76675603,0
1998,1998L01005,M13,Prince William Sound Longline Survey,9/5/1998,-147.60775,60.76642,NW,33180,33720,46860,50700,590,0,0,0.269905533
1998,1998L01006,M12,Prince William Sound Longline Survey,9/5/1998,-147.69275,60.7655,NW,35640,36180,56580,62100,546,0,0,0.809716599
1998,1998L01007,M17,Prince William Sound Longline Survey,9/6/1998,-147.30025,60.7585,NW,36600,37200,51600,55620,412,0,1.222826087,0.135869565
1998,1998L01008,M18,Prince William Sound Longline Survey,9/6/1998,-147.20358,60.77908,NW,43800,44340,60120,65880,376,0,1.484480432,0.674763833
1998,1998L01009,P18,Prince William Sound Longline Survey,9/7/1998,-147.19067,60.63792,NW,33120,33660,47520,52080,243,0,18.16958277,0.134589502
1998,1998L01010,P23,Prince William Sound Longline Survey,9/7/1998,-146.78358,60.65217,NE,40260,40860,57600,62220,380,0,3.225806452,0.403225806
1998,1998L01011,Q22,Prince William Sound Longline Survey,9/9/1998,-146.87325,60.60592,NE,34380,34980,47400,51300,444.5,0,0.67294751,0.269179004
