Year,Source,AFSC Trawl Surveys (t),AFSC LL Survey (#s),AFSC LL Survey (t),IPHC LL Survey (#s),IPHC LL Survey (t),ADF&G (t) (includes sport and research),FMP
1977,Assessment of the sharks in the Gulf of Alaska (Tribuzio et al. 2010),0.14,,,,,,GOA
1978,Assessment of the sharks in the Gulf of Alaska (Tribuzio et al. 2010),1.44,,,,,,GOA
1979,Assessment of the sharks in the Gulf of Alaska (Tribuzio et al. 2010),1,,,,,,GOA
1980,Assessment of the sharks in the Gulf of Alaska (Tribuzio et al. 2010),0.86,,,,,,GOA
1981,Assessment of the sharks in the Gulf of Alaska (Tribuzio et al. 2010),2.23,,,,,,GOA
1982,Assessment of the sharks in the Gulf of Alaska (Tribuzio et al. 2010),0.36,,,,,,GOA
1983,Assessment of the sharks in the Gulf of Alaska (Tribuzio et al. 2010),1.03,,,,,,GOA
1984,Assessment of the sharks in the Gulf of Alaska (Tribuzio et al. 2010),3.12,,,,,,GOA
1985,Assessment of the sharks in the Gulf of Alaska (Tribuzio et al. 2010),0.96,,,,,,GOA
1986,Assessment of the sharks in the Gulf of Alaska (Tribuzio et al. 2010),1.38,,,,,,GOA
1987,Assessment of the sharks in the Gulf of Alaska (Tribuzio et al. 2010),3.55,,,,,,GOA
1988,Assessment of the sharks in the Gulf of Alaska (Tribuzio et al. 2010),0.27,,,,,,GOA
1989,Assessment of the sharks in the Gulf of Alaska (Tribuzio et al. 2010),0.87,751,,,,,GOA
1990,Assessment of the sharks in the Gulf of Alaska (Tribuzio et al. 2010),3.52,583,,,,,GOA
1991,Assessment of the sharks in the Gulf of Alaska (Tribuzio et al. 2010),0.15,2039,,,,,GOA
1992,Assessment of the sharks in the Gulf of Alaska (Tribuzio et al. 2010),0.12,3881,,,,,GOA
1993,Assessment of the sharks in the Gulf of Alaska (Tribuzio et al. 2010),5.03,2557,,,,,GOA
1994,Assessment of the sharks in the Gulf of Alaska (Tribuzio et al. 2010),0.43,2323,,,,,GOA
1995,Assessment of the sharks in the Gulf of Alaska (Tribuzio et al. 2010),0.57,3882,,,,,GOA
1996,Assessment of the sharks in the Gulf of Alaska (Tribuzio et al. 2010),3.48,2206,,,,,GOA
1997,Assessment of the sharks in the Gulf of Alaska (Tribuzio et al. 2010),0.52,2822,,,,,GOA
1998,Assessment of the sharks in the Gulf of Alaska (Tribuzio et al. 2010),0.58,7701,,42361,,,GOA
1999,Assessment of the sharks in the Gulf of Alaska (Tribuzio et al. 2010),,1185,,21705,,,GOA
2000,Assessment of the sharks in the Gulf of Alaska (Tribuzio et al. 2010),,1212,,29257,,,GOA
2001,Assessment of the sharks in the Gulf of Alaska (Tribuzio et al. 2010),0.45,1726,,34227,,,GOA
