"","Metric","FMP.Area","OFL","ABC"
"1","T6mean","BSAI",269.830757304223,202.373067978167
"2","T6maxsp","BSAI",948.4155252648,711.3116439486
"3","T65ptl","BSAI",65.72715780986,49.295368357395
"4","T695ptl","BSAI",675.436583990399,506.577437992799
"5","T65pct","BSAI",101.190602905516,75.892952179137
"6","T6mean","GOA",568.980090909091,426.735068181818
"7","T6maxsp","GOA",2128.464,1596.348
"8","T65ptl","GOA",167.831,125.87325
"9","T695ptl","GOA",1470.182,1102.6365
"10","T65pct","GOA",161.395895743456,121.046921807592
"11","T6maxc","BSAI",689.399,517.04925
"12","T6maxc","GOA",1524.3,1143.225
