"Metric","FMP.Area","OFL","ABC","Biomass","FOFL","FABC"
"T5RFXq","GOA",4435.92380952381,3326.94285714286,23288.6,0.04,0.03
"T6mean","BSAI",270.104097791823,202.578073343867,NA,NA,NA
"T65pct","BSAI",101.542914111193,76.1571855833949,NA,NA,NA
"T695pct","BSAI",438.665281472453,328.99896110434,NA,NA,NA
"T65ptl","BSAI",65.56749830956,49.17562373217,NA,NA,NA
"T625ptl","BSAI",87.5422839421,65.656712956575,NA,NA,NA
"T6med","BSAI",133.6759742031,100.256980652325,NA,NA,NA
"T695ptl","BSAI",675.619246297539,506.714434723155,NA,NA,NA
"T699ptl","BSAI",894.225520154068,670.669140115551,NA,NA,NA
"T6maxsp","BSAI",948.8770886182,711.65781646365,NA,NA,NA
"T6mean","GOA",568.980090909091,426.735068181818,NA,NA,NA
"T65pct","GOA",161.395895743456,121.046921807592,NA,NA,NA
"T695pct","GOA",976.564286074726,732.423214556044,NA,NA,NA
"T65ptl","GOA",167.831,125.87325,NA,NA,NA
"T625ptl","GOA",319.9455,239.959125,NA,NA,NA
"T6med","GOA",400.958,300.7185,NA,NA,NA
"T695ptl","GOA",1470.182,1102.6365,NA,NA,NA
"T699ptl","GOA",1996.8076,1497.6057,NA,NA,NA
"T6maxsp","GOA",2128.464,1596.348,NA,NA,NA
"T6maxc","BSAI",689.399,517.04925,NA,NA,NA
"T6maxc","GOA",1524.3,1143.225,NA,NA,NA
