Year,Project,Station_No,Trip_No,Set_No,Lat,Long,Avg_Depth_fms,hooks_tot,hooks_bait,hooks_bare,hooks_inval,sable_no,dogf_no,PSS_no
1998,Chatham Sablefish LL Survey,1,1,11,56.52,-134.576667,277,2259,1064,419,22,365,0,1
1998,Chatham Sablefish LL Survey,10,1,13,56.813333,-134.53,386,1069,511,197,34,228,0,2
1998,Chatham Sablefish LL Survey,13,2,3,56.8245,-134.513333,212,1111,170,578,2,204,1,1
1998,Chatham Sablefish LL Survey,15,2,5,56.91,-134.639667,359,833,22,381,152,234,0,0
1998,Chatham Sablefish LL Survey,16,2,4,56.883833,-134.560167,353,1125,271,427,10,314,0,0
1998,Chatham Sablefish LL Survey,18,2,6,57.0105,-134.711333,345,1120,179,564,8,232,0,0
1998,Chatham Sablefish LL Survey,19,2,8,57.018333,-134.727833,342,1115,309,130,504,124,0,1
1998,Chatham Sablefish LL Survey,21,2,7,57.102,-134.7025,347,1110,384,378,4,283,0,0
1998,Chatham Sablefish LL Survey,22,2,9,57.1905,-134.804,319,1115,612,148,48,212,0,0
1998,Chatham Sablefish LL Survey,23,2,14,57.188167,-134.683,361,1124,533,188,162,188,0,0
1998,Chatham Sablefish LL Survey,24,3,13,57.219833,-134.676167,270,1069,472,243,35,185,0,0
1998,Chatham Sablefish LL Survey,25,2,15,57.278333,-134.645,260,1107,234,422,24,298,1,1
1998,Chatham Sablefish LL Survey,27,2,12,57.338833,-134.745167,387,1111,508,206,23,305,0,0
1998,Chatham Sablefish LL Survey,28,3,15,57.311167,-134.713167,322,1083,597,190,26,152,0,0
1998,Chatham Sablefish LL Survey,29,3,14,57.347167,-134.615833,279,1092,191,389,32,384,0,7
1998,Chatham Sablefish LL Survey,3,1,3,56.586667,-134.521667,359,1072,557,122,28,272,0,0
1998,Chatham Sablefish LL Survey,30,2,13,57.328833,-134.656167,302,1111,363,236,85,359,0,0
1998,Chatham Sablefish LL Survey,32,2,11,57.374667,-134.767833,359,1121,262,405,46,304,0,2
1998,Chatham Sablefish LL Survey,33,3,11,57.425167,-134.693,354,1090,600,137,6,325,0,0
1998,Chatham Sablefish LL Survey,35,2,10,57.5205,-134.701,314,1125,478,263,4,318,0,0
1998,Chatham Sablefish LL Survey,37,3,12,57.540167,-134.752,330,1102,605,114,56,289,0,0
1998,Chatham Sablefish LL Survey,39,3,10,57.579167,-134.701833,230,1102,274,320,79,314,0,0
1998,Chatham Sablefish LL Survey,4,1,2,56.693333,-134.58,372,1156,219,464,37,385,0,0
1998,Chatham Sablefish LL Survey,41,3,8,57.669833,-134.872667,311,1105,603,96,7,318,0,0
1998,Chatham Sablefish LL Survey,42,3,9,57.713833,-134.882833,298,1094,606,131,14,305,0,0
1998,Chatham Sablefish LL Survey,43,3,5,57.738167,-134.762167,275,1062,438,181,32,331,0,0
1998,Chatham Sablefish LL Survey,44,3,7,57.772,-134.812833,277,1098,709,87,54,207,0,0
1998,Chatham Sablefish LL Survey,45,3,6,57.766167,-134.835833,293,1093,626,110,70,249,0,0
