"YEAR","REGULATORY_AREA_NAME","Biom_est","Biom_CV","Biom_LL","Biom_UL","Group"
"1980","AI","3.59195","0.821904","0.717317","17.9866","Spiny_Dogfish"
"1980","ALEUTIANS","1.56039","0.930817","0.251713","9.67298","Spiny_Dogfish"
"1980","S BERING SEA","2.03156","1.06056","0.254133","16.2405","Spiny_Dogfish"
"1981","AI","3.59195","0.750103","0.825713","15.6254","Spiny_Dogfish"
"1981","ALEUTIANS","1.56039","0.844982","0.297831","8.17515","Spiny_Dogfish"
"1981","S BERING SEA","2.03156","0.98611","0.29406","14.0353","Spiny_Dogfish"
"1982","AI","3.59195","0.674095","0.958359","13.4627","Spiny_Dogfish"
"1982","ALEUTIANS","1.56039","0.749392","0.359201","6.77841","Spiny_Dogfish"
"1982","S BERING SEA","2.03156","0.905556","0.344354","11.9854","Spiny_Dogfish"
"1983","AI","3.59195","0.592503","1.12456","11.473","Spiny_Dogfish"
"1983","ALEUTIANS","1.56039","0.639687","0.445369","5.46695","Spiny_Dogfish"
"1983","S BERING SEA","2.03156","0.817077","0.409562","10.0772","Spiny_Dogfish"
"1984","AI","4.03333","0.591717","1.26469","12.863","Spiny_Dogfish"
"1984","ALEUTIANS","1.80426","0.678945","0.476836","6.82697","Spiny_Dogfish"
"1984","S BERING SEA","2.22907","0.815125","0.451103","11.0147","Spiny_Dogfish"
"1985","AI","4.53202","0.592899","1.41777","14.487","Spiny_Dogfish"
"1985","ALEUTIANS","2.08624","0.723707","0.505049","8.6178","Spiny_Dogfish"
"1985","S BERING SEA","2.44578","0.808919","0.501016","11.9394","Spiny_Dogfish"
"1986","AI","5.09586","0.598848","1.57568","16.4804","Spiny_Dogfish"
"1986","ALEUTIANS","2.4123","0.773043","0.530156","10.9764","Spiny_Dogfish"
"1986","S BERING SEA","2.68356","0.798364","0.561216","12.8319","Spiny_Dogfish"
"1987","AI","5.58785","0.645684","1.57626","19.809","Spiny_Dogfish"
"1987","ALEUTIANS","2.61955","0.834564","0.510306","13.4469","Spiny_Dogfish"
"1987","S BERING SEA","2.96831","0.846534","0.564839","15.5989","Spiny_Dogfish"
"1988","AI","6.12787","0.689025","1.58781","23.6494","Spiny_Dogfish"
"1988","ALEUTIANS","2.8446","0.886527","0.500489","16.1677","Spiny_Dogfish"
"1988","S BERING SEA","3.28327","0.89279","0.570621","18.8914","Spiny_Dogfish"
"1989","AI","6.72064","0.729424","1.60884","28.0743","Spiny_Dogfish"
"1989","ALEUTIANS","3.08899","0.930528","0.49858","19.138","Spiny_Dogfish"
"1989","S BERING SEA","3.63165","0.937408","0.578317","22.8056","Spiny_Dogfish"
"1990","AI","7.37137","0.767436","1.63792","33.1744","Spiny_Dogfish"
"1990","ALEUTIANS","3.35437","0.967676","0.503395","22.3519","Spiny_Dogfish"
"1990","S BERING SEA","4.017","0.980611","0.587744","27.4546","Spiny_Dogfish"
"1991","AI","8.08579","0.803622","1.67365","39.0642","Spiny_Dogfish"
"1991","ALEUTIANS","3.64256","0.998738","0.514355","25.7958","Spiny_Dogfish"
"1991","S BERING SEA","4.44323","1.02257","0.598787","32.9705","Spiny_Dogfish"
"1992","AI","8.87019","0.838548","1.71454","45.8901","Spiny_Dogfish"
"1992","ALEUTIANS","3.9555","1.02421","0.531344","29.446","Spiny_Dogfish"
"1992","S BERING SEA","4.9147","1.0634","0.611383","39.5076","Spiny_Dogfish"
"1993","AI","9.73151","0.87286","1.75868","53.8485","Spiny_Dogfish"
"1993","ALEUTIANS","4.29533","1.04454","0.554458","33.2754","Spiny_Dogfish"
"1993","S BERING SEA","5.43619","1.10325","0.625448","47.2495","Spiny_Dogfish"
"1994","AI","10.6774","0.907214","1.80396","63.1976","Spiny_Dogfish"
"1994","ALEUTIANS","4.66435","1.06004","0.584077","37.2488","Spiny_Dogfish"
"1994","S BERING SEA","6.01301","1.14224","0.640906","56.4143","Spiny_Dogfish"
"1995","AI","11.2447","0.94164","1.77586","71.2015","Spiny_Dogfish"
"1995","ALEUTIANS","4.9201","1.10734","0.561549","43.1083","Spiny_Dogfish"
"1995","S BERING SEA","6.32464","1.17464","0.632648","63.228","Spiny_Dogfish"
"1996","AI","11.8423","0.971902","1.76253","79.5675","Spiny_Dogfish"
"1996","ALEUTIANS","5.18987","1.14938","0.545489","49.3774","Spiny_Dogfish"
"1996","S BERING SEA","6.65242","1.20233","0.630284","70.214","Spiny_Dogfish"
"1997","AI","12.4716","0.998315","1.76254","88.2483","Spiny_Dogfish"
"1997","ALEUTIANS","5.47444","1.1867","0.534815","56.0371","Spiny_Dogfish"
"1997","S BERING SEA","6.99719","1.22568","0.633289","77.3117","Spiny_Dogfish"
"1998","AI","13.0045","1.04359","1.68178","100.559","Spiny_Dogfish"
"1998","ALEUTIANS","5.77461","1.21977","0.528725","63.0688","Spiny_Dogfish"
"1998","S BERING SEA","7.22994","1.27639","0.592442","88.2314","Spiny_Dogfish"
"1999","AI","13.5617","1.08583","1.61449","113.917","Spiny_Dogfish"
"1999","ALEUTIANS","6.09123","1.24892","0.526752","70.4375","Spiny_Dogfish"
"1999","S BERING SEA","7.47042","1.32325","0.558433","99.9355","Spiny_Dogfish"
"2000","AI","14.1441","1.12529","1.5585","128.365","Spiny_Dogfish"
"2000","ALEUTIANS","6.42522","1.27436","0.528601","78.0994","Spiny_Dogfish"
"2000","S BERING SEA","7.71891","1.36666","0.529941","112.431","Spiny_Dogfish"
