metric,fmp_area,OFL,ABC,Biomass,FOFL,FABC
T5RFXq,GOA,5951,4463,31243,0.04,0.03
T610ptl,BSAI,81,61,NA,NA,NA
T65pct,BSAI,103,77,NA,NA,NA
T65ptl,BSAI,66,50,NA,NA,NA
T690ptl,BSAI,81,61,NA,NA,NA
T695pct,BSAI,440,330,NA,NA,NA
T699ptl,BSAI,894,670,NA,NA,NA
T6maxsp,BSAI,949,712,NA,NA,NA
T6mean,BSAI,270,202,NA,NA,NA
T6med,BSAI,133,100,NA,NA,NA
T610ptl,GOA,203,152,NA,NA,NA
T65pct,GOA,161,121,NA,NA,NA
T65ptl,GOA,169,127,NA,NA,NA
T690ptl,GOA,203,152,NA,NA,NA
T695pct,GOA,977,733,NA,NA,NA
T699ptl,GOA,1997,1498,NA,NA,NA
T6maxsp,GOA,2129,1597,NA,NA,NA
T6mean,GOA,570,428,NA,NA,NA
T6med,GOA,401,301,NA,NA,NA
T6maxc,BSAI,689,517,NA,NA,NA
T6maxc,GOA,1524,1143,NA,NA,NA
