"SURVEY","YEAR","REGULATORY_AREA_NAME","Biomass","Variance","SE","CV","HAUL_COUNT","CATCH_COUNT","Group"
"AI",1980,"AI",0,0,0,0,127,0,"Spiny Dogfish"
"AI",1980,"ALEUTIANS",0,0,0,0,109,0,"Spiny Dogfish"
"AI",1980,"S BERING SEA",0,0,0,0,18,0,"Spiny Dogfish"
"AI",1983,"AI",2.22489954773785,1.95338352963924,1.39763497725237,0.628178912020279,290,3,"Spiny Dogfish"
"AI",1983,"ALEUTIANS",1.03562526163344,0.539010202050097,0.734173141738444,0.708917761025321,256,2,"Spiny Dogfish"
"AI",1983,"S BERING SEA",1.18927428610441,1.41437332758915,1.18927428610441,1,34,1,"Spiny Dogfish"
"AI",1986,"AI",13.8786068400976,49.0865376018712,7.00617853054511,0.504818575183146,383,6,"Spiny Dogfish"
"AI",1986,"ALEUTIANS",11.4548688124382,43.2120315751491,6.57358589927515,0.573868283165082,320,5,"Spiny Dogfish"
"AI",1986,"S BERING SEA",2.42373802765936,5.87450602672207,2.42373802765936,1,63,1,"Spiny Dogfish"
"AI",1991,"AI",0,0,0,0,331,0,"Spiny Dogfish"
"AI",1991,"ALEUTIANS",0,0,0,0,276,0,"Spiny Dogfish"
"AI",1991,"S BERING SEA",0,0,0,0,55,0,"Spiny Dogfish"
"AI",1994,"AI",46.8907849750742,301.68176718052,17.3689886631467,0.370413689435559,380,9,"Spiny Dogfish"
"AI",1994,"ALEUTIANS",8.21834466481111,18.665341467417,4.32034043420389,0.525694724474443,316,3,"Spiny Dogfish"
"AI",1994,"S BERING SEA",38.6724403102631,283.016425713103,16.8230920378242,0.43501501076361,64,6,"Spiny Dogfish"
"AI",1997,"AI",11.4061883055011,65.1035643543899,8.06867798058578,0.707394772423169,396,2,"Spiny Dogfish"
"AI",1997,"ALEUTIANS",0,0,0,0,344,0,"Spiny Dogfish"
"AI",1997,"S BERING SEA",11.4061883055011,65.1035643543899,8.06867798058578,0.707394772423169,52,2,"Spiny Dogfish"
"AI",2000,"AI",25.0715740368471,243.362722024984,15.6000872441465,0.622222091888584,419,3,"Spiny Dogfish"
"AI",2000,"ALEUTIANS",0,0,0,0,361,0,"Spiny Dogfish"
"AI",2000,"S BERING SEA",25.0715740368471,243.362722024984,15.6000872441465,0.622222091888584,58,3,"Spiny Dogfish"
"AI",2002,"AI",0,0,0,0,414,0,"Spiny Dogfish"
"AI",2002,"ALEUTIANS",0,0,0,0,353,0,"Spiny Dogfish"
"AI",2002,"S BERING SEA",0,0,0,0,61,0,"Spiny Dogfish"
"AI",2004,"AI",0,0,0,0,419,0,"Spiny Dogfish"
"AI",2004,"ALEUTIANS",0,0,0,0,366,0,"Spiny Dogfish"
"AI",2004,"S BERING SEA",0,0,0,0,53,0,"Spiny Dogfish"
"AI",2006,"AI",61.8048723388728,902.796458412517,30.0465714918111,0.486152148766968,357,6,"Spiny Dogfish"
"AI",2006,"ALEUTIANS",61.8048723388728,902.796458412517,30.0465714918111,0.486152148766968,313,6,"Spiny Dogfish"
"AI",2006,"S BERING SEA",0,0,0,0,44,0,"Spiny Dogfish"
"AI",2010,"AI",0,0,0,0,418,0,"Spiny Dogfish"
"AI",2010,"ALEUTIANS",0,0,0,0,367,0,"Spiny Dogfish"
"AI",2010,"S BERING SEA",0,0,0,0,51,0,"Spiny Dogfish"
"AI",2012,"AI",0,0,0,0,420,0,"Spiny Dogfish"
"AI",2012,"ALEUTIANS",0,0,0,0,365,0,"Spiny Dogfish"
"AI",2012,"S BERING SEA",0,0,0,0,55,0,"Spiny Dogfish"
"AI",2014,"AI",22.6588828514465,261.235882699611,16.1627931589689,0.713309357082318,410,2,"Spiny Dogfish"
"AI",2014,"ALEUTIANS",22.6588828514465,261.235882699611,16.1627931589689,0.713309357082318,366,2,"Spiny Dogfish"
"AI",2014,"S BERING SEA",0,0,0,0,44,0,"Spiny Dogfish"
"AI",2016,"AI",6.59580596020132,43.5046562646273,6.59580596020132,1,419,1,"Spiny Dogfish"
"AI",2016,"ALEUTIANS",6.59580596020132,43.5046562646273,6.59580596020132,1,376,1,"Spiny Dogfish"
"AI",2016,"S BERING SEA",0,0,0,0,43,0,"Spiny Dogfish"
"AI",2018,"AI",0,0,0,0,420,0,"Spiny Dogfish"
"AI",2018,"ALEUTIANS",0,0,0,0,375,0,"Spiny Dogfish"
"AI",2018,"S BERING SEA",0,0,0,0,45,0,"Spiny Dogfish"
"AI",2022,"AI",0,0,0,0,399,0,"Spiny Dogfish"
"AI",2022,"ALEUTIANS",0,0,0,0,352,0,"Spiny Dogfish"
"AI",2022,"S BERING SEA",0,0,0,0,47,0,"Spiny Dogfish"
"EBS_SHELF",1982,"EBS_SHELF",0,0,0,0,329,0,"Spiny Dogfish"
"EBS_SHELF",1983,"EBS_SHELF",380.694761389224,99232.9162783306,315.012565270547,0.827467559892364,353,2,"Spiny Dogfish"
"EBS_SHELF",1984,"EBS_SHELF",0,0,0,0,355,0,"Spiny Dogfish"
"EBS_SHELF",1985,"EBS_SHELF",45.6854385715029,2087.15929747057,45.6854385715029,1,353,1,"Spiny Dogfish"
"EBS_SHELF",1986,"EBS_SHELF",0,0,0,0,354,0,"Spiny Dogfish"
"EBS_SHELF",1987,"EBS_SHELF",212.593278679791,16197.575951315,127.269697694758,0.598653440433797,343,3,"Spiny Dogfish"
"EBS_SHELF",1988,"EBS_SHELF",246.767754363137,60894.3245934254,246.767754363137,1,353,1,"Spiny Dogfish"
"EBS_SHELF",1989,"EBS_SHELF",0,0,0,0,354,0,"Spiny Dogfish"
"EBS_SHELF",1990,"EBS_SHELF",0,0,0,0,351,0,"Spiny Dogfish"
"EBS_SHELF",1991,"EBS_SHELF",0,0,0,0,352,0,"Spiny Dogfish"
"EBS_SHELF",1992,"EBS_SHELF",0,0,0,0,336,0,"Spiny Dogfish"
"EBS_SHELF",1993,"EBS_SHELF",0,0,0,0,355,0,"Spiny Dogfish"
"EBS_SHELF",1994,"EBS_SHELF",0,0,0,0,355,0,"Spiny Dogfish"
"EBS_SHELF",1995,"EBS_SHELF",0,0,0,0,356,0,"Spiny Dogfish"
"EBS_SHELF",1996,"EBS_SHELF",0,0,0,0,355,0,"Spiny Dogfish"
"EBS_SHELF",1997,"EBS_SHELF",36.2660976690612,1315.22984014189,36.2660976690612,1,356,1,"Spiny Dogfish"
"EBS_SHELF",1998,"EBS_SHELF",255.304717379524,65180.4987162388,255.304717379524,1,355,1,"Spiny Dogfish"
"EBS_SHELF",1999,"EBS_SHELF",0,0,0,0,353,0,"Spiny Dogfish"
